제목,날짜,기자명,본문
"국민의힘 ""또 '남 탓' 못된 버릇‥부동산 대책, 극심한 혼란 초래""국민의힘이 이재명 정부가 수도권 주택담보대출을 최대 6억 원으로 제한하는 정책을 시행한 것에 대해 극심한 혼란을",2025-06-28 16:12,기자명 없음,"국민의힘 박민영 대변인 [자료사진] 국민의힘이 이재명 정부가 수도권 주택담보대출을 최대 6억 원으로 제한하는 정책을 시행한 것에 대해 극심한 혼란을 초래했다고 평가했습니다. 국민의힘 박민영 대변인은 논평에서 ""강유정 대통령실 대변인이 부정적인 반응을 의식해 ""대통령실 대책이 아니""라는 해괴한 브리핑으로 시장에 더 큰 혼란을 초래했다""며 이같이 비판했습니다. 이어 ""집권한 이상 모든 국정 실패에 대한 책임은 오롯이 이재명 대통령과 민주당의 몫이라는 점을 명심해야 한다""고 덧붙였습니다. 국민의힘 최수진 원내대변인도 논평을 내고 ""첫 부동산 정책인데도 방관자적 입장을 표명했다""며 ""남 탓만 하던 습관을 버리지 못했다""라고 지적했습니다."
"국민의힘 ""김민석 청문회 '배추'만 남아‥지명철회·사퇴하라""국민의힘이 김민석 국무총리 후보자에 대한 지명 철회와 김 후보자의 자진 사퇴를 촉구했습니다. 함인경 대변인은 오늘 논평을",2025-06-28 13:58,기자명 없음,"국민의힘 총리 인사특위 기자회견 국민의힘이 김민석 국무총리 후보자에 대한 지명 철회와 김 후보자의 자진 사퇴를 촉구했습니다. 함인경 대변인은 오늘 논평을 내고, ""인사청문 과정에서 국민이 납득할 수 있는 해명은 없었다""며 ""증인이나 참고인 한 명 없이 깜깜이 청문회를 만들어놓고 자료 제출이 없어 청문회는 파행됐다""고 비판하며 이같이 밝혔습니다. 이어 청문회 과정에서 ""생활비·유학비 등 수상한 자금 흐름에 대해서도 명쾌한 설명은 없었다""며 ""때아닌 '배추'만 남았다""고 꼬집었습니다. 그러면서 ""김 후보자는 올해 국가 예산 규모조차 제대로 답하지 못했다""며 ""민생위기를 극복할 자질이 있나""라고 지적했습니다. 함 대변인은 ""김 후보자 지명 철회를 강력히 요구한다""며 ""부적격 후보자에 대한 지명 철회는 당연한 책임이고, 그 책임을 방기하는 순간 이재명 정부의 도덕성과 실용성은 모두 무너질 것""이라고 경고했습니다. 김기현 의원은 본인의 SNS에 ""사상 초유의 '증인 없는 청문회'라는 막장 드라마가 강제 종료되자 민주당은 김 후보자 임명동의안을 강제 통과시키겠다고 한다""고 비판했습니다. 그러면서 김 후보자에 대해서 ""도덕성과 실력, 그 어느 하나도 갖추지 못한, 한마디로 최소한의 자질조차 없는 빵점 후보""라고 평가하고 ""오늘이라도 즉각 사퇴하라""고 촉구했습니다."
"정부, G20 준비회의서 ""국제법 존중 외교적 해법"" 강조정부는 주요 20개국, G20 정상회의 준비를 위한 고위급 회의에서 유엔헌장과 국제법에 기반한 외교적 해법의 중요성을 재차",2025-06-28 12:35,기자명 없음,"정부는 주요 20개국, G20 정상회의 준비를 위한 고위급 회의에서 유엔헌장과 국제법에 기반한 외교적 해법의 중요성을 재차 강조했습니다. 외교부는 송인창 G20 국제협력대사가 지난 25일부터 27일까지 남아프리카공화국 선 시티에서 열린 제3차 G20 셰르파회의에 참석해, 우리 정부의 외교적 입장을 국제사회에 전달했다고 밝혔습니다. 이번 회의에서는 러시아-우크라이나 전쟁과 중동 지역의 무력 갈등, 아프리카 지역 내 분쟁 상황 등이 논의됐으며, 참석자들은 평화적 해결을 촉구했습니다. 송 대사는 국제사회가 유엔헌장과 국제법에 대한 존중을 바탕으로 외교적 해법을 통해 지속 가능한 평화를 달성해가야 한다는 우리 정부 입장을 강조했다고 외교부는 전했습니다. 올해 G20 정상회의는 11월 22일부터 23일까지 남아프리카공화국 요하네스버그에서 열릴 예정입니다."
"국민의힘 ""민주당, 반기업적 법안 강행‥샴페인 터뜨릴 때 아냐""국민의힘이 경제위기가 계속되고 있다며 대통령 취임으로 샴페인을 터뜨릴 때가 아니라는 입장을 내놨습니다. 국민의힘 최수",2025-06-28 11:33,기자명 없음,"최수진 원내대변인 국민의힘이 경제위기가 계속되고 있다며 대통령 취임으로 샴페인을 터뜨릴 때가 아니라는 입장을 내놨습니다. 국민의힘 최수진 원내대변인은 서면브리핑에서 ""이재명 정부와 여당이 집권하자마자 국회에서 반기업적인 법안들을 강행 추진하고 있다""며 이같이 비판했습니다. 이어 ""최근 코스피 지수가 3천 포인트를 넘어선 것은 이재명 정부의 공이 아니라 그동안 저평가된 한국 증시에 대한 인식전환 등이 원인""임에도 ""집권하자마자 기업들을 압박하는 반기업적·반시장적 법안 추진에만 골몰하고 있다""고 밝혔습니다. 그러면서 ""기업 연쇄부도와 구조조정 소식이 이어지고 있는 등 경제 위기는 아직도 계속되고 있다""며 ""대통령 취임으로 샴페인을 터뜨릴 때가 아니""라고 강조했습니다. 또 ""민노총 출신의 고용노동부 장관 내정으로 노조 편향적 노동정책과 반기업적·포퓰리즘식 정책이 우려되고 있다""며 ""민생경제와 기업 살리기, 일자리 지원을 위한 실효성 있는 정책과 산업발전을 위한 규제 혁신에 나서야 할 때""라고 덧붙였습니다."
"민주당 ""특검 출석 면죄부 될 수 없어‥윤, 무릎 꿇고 사죄해야""더불어민주당은 특검 조사에 출석한 윤석열 대통령을 두고 ""특검 출석은 결코 면죄부가 될 수 없다""며, ""역사와 국민",2025-06-28 11:29,기자명 없음,"백승아 원내대변인 더불어민주당은 특검 조사에 출석한 윤석열 대통령을 두고 ""특검 출석은 결코 면죄부가 될 수 없다""며, ""역사와 국민 앞에 무릎 꿇고 사죄하고, 마땅한 법적 책임을 져야 한다""고 말했습니다. 백승아 원내대변인은 오늘 서면브리핑에서 ""법꾸라지 처럼 온갖 꼼수를 부리다 마침내 특검 조사에 출석했다""며 이같이 논평했습니다. 이어 이번 출석이 ""자발적 결단이 아니라, 국민적 분노와 거센 여론에 떠밀린 끝에 마지못해 응한 것""이라며 ""또다시 진실을 은폐하고 책임을 회피한다면 국민적 분노는 더 커질 것""이라고 강조했습니다. 또 특검에 대해서는 ""내란 혐의와 권력형 비리에 대해 철저히 수사해야 한다""며 ""그것이 국민에 대한 최소한의 도리이며, 대한민국의 정의와 법치를 바로 세우는 길""이라고 밝혔습니다."
"통일차관 ""분단으로 인한 인도적 문제 해결, 국가 기본 책무""김남중 통일부 차관은 ""남북의 분단으로 인해 발생한 인도적 문제를 해결하는 것은 국가의 기본 책무이자 최우선 과제""라고",2025-06-28 11:28,기자명 없음,"한반도 심포지엄 환영사하는 김남중 차관 김남중 통일부 차관은 ""남북의 분단으로 인해 발생한 인도적 문제를 해결하는 것은 국가의 기본 책무이자 최우선 과제""라고 밝혔습니다. 김 차관은 오늘 파주 임진각에서 열린 제1회 '6·25전쟁 납북자 기억의 날' 기념식에 참석해 ""전시납북자 문제는 분단과 전쟁의 가장 어두운 그늘""이라며 이렇게 말했습니다. 이어 ""남북 간 지속 가능한 평화와 공존을 위해서는 새로운 미래를 개척하기 위한 노력과 함께 과거의 상처를 치유하는 일도 같이 이루어져야 한다""고 강조했습니다. 특히 ""납북된 가족들의 생사를 확인하고, 그로 인해 쌓인 응어리를 치유하는 일은 더 이상 미룰 수 없는 시급한 과제""라며, 위로의 말을 전했습니다. 김 차관은 ""이재명 정부에서 통일부는 다시는 전쟁의 비극이 발생하지 않도록 한반도에서의 군사적 긴장을 완화하고, 지속 가능한 평화를 만들어 나가기 위해 최선을 다할 것""이라고 덧붙였습니다. 오늘 기념식은 통일부와 6·25전쟁납북인사가족협의회가 공동으로 주관했으며, 지난해 말 6월 28일이 법정기념일 '6·25전쟁 납북자 기억의 날'로 지정된 이후 처음 열린 행사입니다."
"북한 ""G7, 대결 조장하는 평화의 파괴자"" 맹비난북한이 주요 7개국, G7을 겨냥해 ""서방집단이야말로 대결과 충돌을 조장하는 평화의 파괴자""라고 강하게 비난했습니다. 노동신문은",2025-06-28 11:13,기자명 없음,"G7 정상회의 기념촬영 북한이 주요 7개국, G7을 겨냥해 ""서방집단이야말로 대결과 충돌을 조장하는 평화의 파괴자""라고 강하게 비난했습니다. 노동신문은 오늘, '전쟁 청부집단의 추악한 몰골'이라는 제목의 기사에서, 이스라엘 지지를 담은 G7 공동성명을 거론하며 ""중동 평화의 악성종양인 이스라엘과 한짝임을 공공연히 드러냈다""고 주장했습니다. 또, 이란의 보복 군사작전에 대해 G7이 공동성명을 발표한 것을 두고도 ""유엔헌장과 국제협약을 난폭하게 위반한 서방집단이 오히려 이란의 대응을 문제시 한다""고 비판했습니다. 신문은 우크라이나를 침공한 러시아와 이를 돕고 있는 북한을 비판한 G7 국방장관들에 대해서도 진영 대결을 조장하고 있다고 반발했습니다. 하지만 북한은 G7을 맹비난하면서도 그 일원인 미국을 직접 거명하지 않아 대외 메시지의 수위를 조절한 것으로 보입니다."
"박찬대 ""추석 전 검찰개혁 4법 책임지고 통과""박찬대 더불어민주당 대표가 ""추석이 오기 전에 검찰개혁 4법을 더불어민주당이 책임지고 통과시키겠다""고 말했습니다. 박 대표는 어젯밤",2025-06-28 10:02,기자명 없음,"박찬대 더불어민주당 대표가 ""추석이 오기 전에 검찰개혁 4법을 더불어민주당이 책임지고 통과시키겠다""고 말했습니다. 박 대표는 어젯밤 본인의 SNS에 광주에서 열린 토크콘서트에서 검찰개혁을 주제로 이야기를 나눴다며, ""권력이 시민을 감시하고 통제하던 시대를 넘어 시민이 권력기관을 주도하는 미래를 열겠다""며 이같이 밝혔습니다. 그러면서 ""시민의 편이 아닌 권력은 개혁의 대상에 불과하다""며, ""다시는 역사의 역행이 있을 수 없도록 혼신의 힘을 다하겠다""고 강조했습니다."
법사·예결위 다시 민주당에‥국힘은 표결 불참현재 공석인 4개 상임위원장을 국회가 선출했습니다. 예결위원장은 양보하겠지만 법사위원장을 달라고 했던 국민의힘이 표결에 불참하면서 민주당,2025-06-28 07:24,김세영 기자,"◀ 앵커 ▶ 현재 공석인 4개 상임위원장을 국회가 선출했습니다. 예결위원장은 양보하겠지만 법사위원장을 달라고 했던 국민의힘이 표결에 불참하면서 민주당 주도로 원 구성이 마무리됐습니다. ◀ 리포트 ▶ 본회의 시작에 맞춰 회의장 안으로 입장했던 국민의힘 의원들이 자리에 항의 피켓을 붙인 뒤 곧바로 퇴장합니다. ""곽규택 의원님! 들어오세요! <좀 기다려!>"" 법제사법위원장 자리를 달라고 요구했지만, 민주당이 이를 받아들이지 않자 표결에 불참하고 자리를 떠난 겁니다. 국민의힘 없이 표결을 진행한 국회는 공석인 4개 상임위원장을 선출했습니다. 예결위원장에 한병도, 법제사법위원장에 이춘석, 문화체육관광위원장에 김교흥, 운영위원장에 김병기 의원이 각각 선출됐습니다. [우원식/국회의장] ""총 투표수 171표 중 166표를 얻은 이춘석 의원이 법제사법위원장에 당선되었음을 선포합니다."" 신임 예결위원장과 법사위원장은 각각 추경안 심사와 개혁 입법에 매진하겠다고 밝혔습니다. [이춘석/국회 법제사법위원장] ""저는 법사위가 싸우는 게 맞다고 생각합니다. 그런데 이제는 정쟁을 위해서 싸우는 것이 아니라 어렵고 힘든 국민들의 민생을, 삶을 위해서…"" 국민의힘은 강하게 반발했습니다. 특히 법제사법위원회를 장악한 민주당이 검찰과 사법부를 무력화시킬 것이라며 날을 세웠습니다. [송언석/국민의힘 원내대표] ""사법부를 협박해서 이재명 대통령의 재판을 중단시키고, 야당과 보수 진영을 특검으로 모두 단죄하려 들 것입니다."" 민주당은 새 정부에 힘을 실어주기 위해서는 예결위와 법사위 차원의 지원이 뒷받침되어야 한다는 입장입니다. 두 상임위 모두 민주당이 가져가면서 윤석열 정부의 거부권에 가로막혔던 상법 개정안과 노란봉투법 등의 법안 통과가 속도를 낼 걸로 보입니다. MBC뉴스 김세영입니다."
"내란 특검 ""윤 전 대통령, 오후 조사실 입실 거부""오늘 내란 특검에 출석한 윤석열 전 대통령이 오전 조사를 마친 뒤 오후 조사를 거부하고 있다고 특검 측이 밝혔습니다. 박지영 특",2025-06-28 15:21,기자명 없음,"오늘 내란 특검에 출석한 윤석열 전 대통령이 오전 조사를 마친 뒤 오후 조사를 거부하고 있다고 특검 측이 밝혔습니다. 박지영 특검보는 오후 언론브리핑에서 ""윤석열 전 대통령이 조사자 교체를 요구하며 조사실 입실을 거부한 채 대기실에 있다""면서 ""사실상 조사를 거부하고 있다""고 밝혔습니다. 그러면서 ""계속 윤 전 대통령이 대기실에서 조사를 거부할 경우 출석 거부로 간주하겠다""면서 ""더 이상 본인이 조사를 안 받는다고 하면 조사는 중단된다""고 밝혔습니다. 박 특검보는 윤 전 대통령 변호인단이 특검 조사와 관련해 문제제기하는 것에 대해 ""허위사실로 수사 방해하는 건 선 넘는 행위인 것 같다""고 말했습니다. 또 ""내란법에 따르면 수사를 방해하는 경우 처벌할 수 있는 규정이 있다""면서, ""내란특검은 윤 전 대통령 측 변호인들이 허위사실 유포하며 수사 방해하는 걸로 평가하고, 이들 변호인 4명에 대해 수사에 착수한다""고 밝혔습니다. 내란 특검은 오전 중 윤 전 대통령을 상대로 지난 1월 대통령경호처에 고위공직자범죄수사처의 체포영장 집행을 막으라고 지시한 혐의를 집중적으로 확인했습니다. 오전 조사는 1시간가량 진행됐으며 앞서 사건을 수사해온 박창환 경찰청 중대범죄수사과장이 맡았습니다. 이에 윤 전 대통령 측 변호인단은 ""불법 체포를 지휘해 고발된 경찰이 수사를 맡는 것은 이해 충돌""이라고 주장하며 검사가 직접 신문하라고 요구했습니다. 박지영 특검보 박지영 내란 특검보는 ""당시 체포 영장은 공수처가 집행했으며 박 총경은 이와 무관하다""고 반박하면서 ""조사 대상과 무관한 사건으로 피고발됐다는 사정으로 업무를 배제할 수 없다""고 말했습니다. 또한 윤 전 대통령 측이 반발하는 데 대해 ""전직 대통령이라고 경찰 수사받지 않으라는 법이 없으며, 경찰 제도 자체를 인정하지 않는 것과 마찬가지""라고 밝혔습니다. 박지영 특검보는 ""누가 저를 수사하게 해주세요 라고 선택할 수 있는 사람은 우리나라 어디에도 없습니다""라며 경찰이 아닌 검사가 수사하게 해달라는 윤 전 대통령 측 변호인단 요구를 수용하지 않겠다는 뜻을 분명히 밝혔습니다. 또한 오전 조사에서 윤 전 대통령 측이 영상 녹화에 대해 동의하지 않았다고 특검 측은 밝혔습니다."
