제목,날짜,기자명,본문
진주 고물상에서 화재 4시간 만에 진화…점포 5개 전소 피해,2025-06-28 16:41:00,심우섭 기자,오늘(28일) 오전 8시 20분 쯤 경남 진주시 상평동의 한 고물상에 불이 나 4시간여 만에 꺼졌습니다. 불은 근처 타이어 가게 등 주변으로 옮겨 붙어 총 5개 점포가 전소했습니다. 인명 피해나 대피 인원은 없었습니다. 소방 당국은 오전 한때 대응 1단계를 발령했다가 해제하고 오전 9시 40분 쯤 큰 불길을 잡았습니다. 이후 진화 작업을 벌이던 소방 당국은 4시간 20분 만인 오후 12시 41분 쯤 불을 모두 껐습니다.
"111억 가로챈 투자리딩방 20대 총책, 필리핀서 강제송환",2025-06-28 16:35:00,김태원 기자,100억 원이 넘는 돈을 가로챈 투자 리딩방 사기 총책이 오늘(28일) 오전 필리핀에서 강제 송환됐습니다. 경찰청은 오늘 오전 투자 전문가를 사칭하며 리딩방을 운영한 20대 A씨를 필리핀 현지에서 검거해 인천 국제공항을 통해 강제 송환했다고 밝혔습니다. A씨는 가상 자산이나 비상장 주식 등 투자를 권유해 피해자 199명으로부터 약 111억 원을 편취한 혐의를 받고 있습니다. 경찰은 2023년 8월부터 인터폴 적색 수배를 신청하고 한국과 필리핀 합동 작전팀을 편성해 집중 추적에 나서 지난해 11월 A 씨를 포함한 조직원 5명을 검거했습니다.
"이 대통령 ""국가를 위해 바친 삶, 이제 국가가 지킬 것""",2025-06-28 16:27:00,강민우 기자,"▲ 이재명 대통령 부부, '호국보훈의 달, 대통령의 초대' 국가유공자 초청 행사 참석 이재명 대통령이 호국 국가유공자와 보훈가족과의 오찬 행사를 소개하며, ""국가를 위해 바친 삶, 이제는 국가가 지키겠다""고 강조했습니다. 이 대통령은 오늘(28일) 자신의 SNS에 전날 청와대 영빈관에서 열린 '호국보훈의 달, 대통령의 초대' 행사를 소개하면서, ""그동안 나라가 국민을 위해 모든 것을 바쳐 희생하신 분들께 충분한 예우를 다하지 못했다""고 밝혔습니다. 그러면서, ""'독립운동을 하면 3대가 망하고 친일을 하면 3대가 흥한다'는 말이 우리 사회에서 더 이상 통용되어선 안 된다""고 덧붙였습니다. 이 대통령은 ""국민 안전과 생명, 그리고 국가 공동체의 존속을 위해 헌신하신 분들께 걸맞은 보상이 이뤄져야 한다""면서, ""각별한 관심과 합당한 보상, 예우를 위한 필요한 조치를 적극 마련해 나가겠다""고 약속했습니다. 또, ""나라의 고비마다 기꺼이 조국을 위해 헌신한 분들이 계셨기에 오늘날 우리가 자유와 평화를 누리며 미래를 꿈꿀 수 있다""며, ""이 모든 역사가 지금의 대한민국을 만들었다""고도 말했습니다. 이날 행사에는 독립운동 유공자, 6·25 전쟁 참전용사, 4·19 혁명 및 5·18 민주화운동 열사를 비롯해 제2연평해전 및 연평도 포격전 전사자 유가족들까지 160여 명의 국가유공자와 보훈가족이 참석했습니다. 특히, 천안함 피격사건 당시 함장이었던 최원일 326호국보훈연구소장과 5·18 유가족이 모두 함께 초청된 것이 이목을 끌었습니다. 최 전 소장은 문재인 정부 때, 5·18 유가족은 윤석열 정부 때, 각각 '6월 호국보훈의 달'과 관련한 대통령 오찬 행사에 초청되지 않았습니다. 대통령실 관계자는 ""국가에 대한 희생과 헌신을 기리는 데에 진영 논리가 있어선 안 된다""고 이번 초청의 의미를 설명했습니다."
"[현장영상] 수급 대신 대출 억제 정책 내놓은 정부 ""6억 한도 직격탄 아무래도""",2025-06-28 16:25:00,심우섭 기자,"정부가 어제(27일) 발표한 가계부채 관리 강화 방안에 대해 전문가들은 강남권을 중심으로 과열된 부동산 시장의 분위기를 어느 정도 가라앉히는 효과가 있을 것으로 평가했습니다. 다만 중저가 주택이나 비인기 지역을 중심으로 실수요자의 구매를 제한하고, 고액 자산가의 투자에는 영향이 없어 시장 양극화가 더욱 심화할 가능성도 있다는 지적도 나왔습니다. 상당수 전문가들은 시중 유동성이 계속 늘어나는 상황에서 현금을 풍부하게 보유한 자산가나 고소득자에게는 영향이 없는 반면, 중저가 주택 실수요자에게는 타격을 줘 시장 양극화를 더욱 부추길 수 있다고 우려를 표했습니다. (취재: 심우섭, 채희선 / 영상편집: 이기은 / 제작: 디지털뉴스편집부)"
"통일차관 ""분단으로 인한 인도적 문제 해결, 국가 기본책무""",2025-06-28 16:24:00,김수영 기자,"▲ 28일 오전 경기도 파주시 임진각에서 열린 제1회 6·25 전쟁 납북자 기억의 날 기념식에서 김남중 통일부 차관이 기념사하고 있다. 김남중 통일부 차관은 오늘(28일) 남북의 분단으로 인해 발생한 인도적 문제를 해결하는 것이 국가의 기본 책무이자 최우선 과제라고 말했습니다. 김 차관은 오늘 파주 임진각 평화누리공원에서 열린 제1회 '6·25전쟁 납북자 기억의 날' 기념식에서 ""전시납북자 문제는 분단과 전쟁의 가장 어두운 그늘""이라며 이같이 밝혔습니다. 남북 간 지속 가능한 평화와 공존을 위해서 새로운 미래를 개척하기 위한 노력과 함께 과거의 상처를 치유하는 일도 같이 이루어져야 한다며, ""납북된 가족의 생사를 확인하고 응어리진 마음을 치유하는 일은 이제 더 이상 미룰 수 없는 시급한 과제""라고 김 차관은 덧붙였습니다. 김 차관은 ""이재명 정부에서 통일부는 다시는 전쟁의 비극이 발생하지 않도록 한반도에서의 군사적 긴장을 완화하고 국민 모두가 안심하고 살아갈 수 있는 지속 가능한 평화를 만들어 나가기 위해 최선을 다할 것""이라고 강조했습니다. 통일부가 6·25전쟁납북인사가족협의회와 공동으로 주관한 오늘 기념식은 지난해 법정기념일 '6·25전쟁 납북자 기억의 날'로 지정된 후 처음으로 열렸습니다."
"삼성 박병호, 내복사근 미세 손상으로 엔트리 제외",2025-06-28 16:21:00,배정훈 기자,"▲ 삼성 라이온즈의 박병호 최근 물오른 장타력을 과시하던 삼성 라이온즈의 거포 박병호가 오늘(28일) 1군 엔트리에서 말소됐다. 부상 때문입니다. 삼성 관계자는 이날 ""박병호는 27일 서울 고척스카이돔에서 열린 2025 프로야구 키움 히어로즈전 6회 초 타격 후 왼쪽 옆구리 통증을 느꼈다""며 ""경기 후 병원에서 자기공명영상장치(MRI) 검사한 결과 왼쪽 내복사근 미세 손상 진단을 받았다""고 전했습니다. 박병호는 약 3~4주 정도 휴식을 취하며 회복에 전념할 계획입니다. 박병호는 올 시즌 61경기에서 타율 0.214, 15홈런, 33타점의 성적을 냈습니다. 5월까지는 다소 부진했으나 6월 이후 타율 0.265, 6홈런, 13타점으로 활약했습니다. 특히 지난 19일 두산 베어스전부터 25일 한화 이글스전까지 4경기에서 5개 홈런을 몰아치는 등 중심 타자 역할을 톡톡히 했습니다."
보행자신호에 횡단보도 미처 못건넌 70대 시내버스에 치여 숨져,2025-06-28 16:12:00,김태원 기자,"보행자 신호가 켜져 있는 동안 횡단보도를 다 건너가지 못한 70대 보행자가 시내버스에 치여 숨지는 사고가 발생했습니다. 광주 북부경찰서에 따르면 오늘(28일) 오전 7시 56분쯤 광주 북구 문흥동 한 교차로에서 60대 A 씨가 몰던 시내버스가 횡단보도를 건너고 있던 70대 여성 A 씨를 치었습니다. 여성은 병원으로 이송됐지만 숨졌습니다. A 씨는 보행자 신호에 횡단보도를 건너가기 시작했지만, 신호가 바뀔 때까지 도로를 다 건너지 못한 것으로 전해졌습니다. 버스 운전사는 좌회전 신호를 받고 좌회전을 하던 중 아직 횡단보도에 있던 A씨를 발견하지 못하고 사고를 낸 것으로 파악됐습니다. 경찰은 버스 운전사를 교통사고처리 특례법상 치사 혐의로 입건하고 정확한 사고 경위를 조사하고 있습니다."
"""미군, 이란 핵시설 한곳 너무 깊어 벙커버스터 못 썼다""",2025-06-28 16:09:00,윤창현 기자,"▲ 22일(현지시간) 이란 포르도 핵시설을 촬영한 위성사진에서 GBU-57 벙커버스터 폭탄이 떨어져 만들어진 것으로 추정되는 구멍들이 보인다. 미군이 지난 22일 이란의 핵시설 3곳을 직접 공격할 당시 한 곳에는 '벙커버스터' 폭탄을 쓰지 않았다고 공식 확인하면서 그 이유로 ""시설이 너무 깊이 있었다""고 밝힌 것으로 전해졌습니다. 현지시간 27일 미국 CNN 방송에 따르면, 댄 케인 미군 합참의장은 하루 전 상원의원들을 대상으로 이란 핵시설 공습 효과를 설명하는 정보 브리핑을 하면서 미군이 이란 핵시설 3곳 중 하나에는 벙커버스터를 사용하지 않았다고 밝혔습니다. 브리핑 참석자 등의 전언에 따르면 케인 합참의장은 해당 시설이 지하에 너무 깊숙이 존재해 벙커버스터를 사용해도 효과가 없을 것 같았다고 그 이유를 설명했습니다. 미군은 지난 22일 이란의 주요 핵농축 시설을 파괴하기 위해 이란의 포르도, 나탄즈, 이스파한에 있는 핵시설 3곳을 타격했습니다. 당시 케인 합참의장은 미군이 당시 B-2 폭격기를 동원해 벙커버스터로 불리는 공중투하용 초대형 관통 폭탄)'GBU-57' 14발을 투하했다고 밝혔는데, 포르도 시설에 12발, 나탄즈 시설에 2발이 떨어진 것으로 관측됐습니다. 이스파한 핵시설은 벙커버스터가 아닌 중동 지역에 배치된 미 잠수함이 발사한 토마호크 순항미사일의 공격을 받았는데, 그 이유가 이번 브리핑에서 언급된 것입니다. 이스파한 핵시설은 이란이 그간 생산한 농축 우라늄의 약 60%가 저장된 것으로 추정됩니다. 농축 우라늄은 핵탄두의 원료로 이란은 단시간에 무기급으로 가공할 수 있는 수준으로 농축된 우라늄을 보유하고 있습니다. 이란은 준무기급 농축 우라늄을 미국의 폭격 전에 몰래 안전한 곳으로 옮겼다고 주장하고 있습니다. 존 랫클리프 중앙정보국 국장도 이번 브리핑에서 이란의 농축 핵물질 대부분이 이스파한과 포르도에 매장된 것으로 평가했다고 CNN은 전했습니다. 이스파한 핵시설이 벙커버스터도 뚫을 수 없는 지하 깊숙이 있다는 사실이 확인되면서 이란 핵시설 폭격 성과에 대한 논란은 계속 이어질 전망입니다. 크리스 머피 민주당 상원의원은 브리핑을 받은 후 CNN과 가진 인터뷰에서 ""이란의 핵시설 중 일부는 지하에 너무 깊이 있어 우리가 결코 접근할 수 없다""면서 ""따라서 이란은 비축된 것의 상당량을 미국의 폭격 능력이 닿지 않는 지역으로 이동시킬 수 있는 능력을 갖추고 있다""고 말했습니다. 무기 전문가인 미들베리 국제연구소의 제프리 루이스 교수는 위성 사진을 분석한 결과 이란 차량이 26일 이스파한 시설 터널에 접근했고 27일에는 입구 장애물이 제거된 것이 확인된다면서 ""이란이 입구를 봉쇄했을 당시 고농축 우라늄 비축량이 터널 안에 있었다면, 지금은 다른 곳에 있을 수 있다""고 분석했습니다. 군과 정보당국이 상원의원들에게 브리핑한 후 공화당에서도 미군의 공격이 이란의 핵물질을 완전히 제거하는데 이르지는 못했다는 언급이 나왔습니다. 마이클 매콜 공화당 하원의원은 ""이번 임무의 목적은 핵 프로그램의 어떤 부분을 제거하는 것이었고 그 부분은 제거되었다""며 ""핵 물질을 제거하는 것은 임무의 일부가 아니었다""고 말했습니다. 대표적인 친트럼프 매파인 린지 그레이엄 공화당 상원의원은 ""3곳에서 핵 프로그램이 완전히 폐기됐다""면서도 ""900파운드의 고농축 우라늄이 어디에 있는지는 모른다""고 말했습니다. (사진=AP, 연합뉴스"
"윤, 조사 거부…특검 ""수사받는 사람이 수사하는 사람 선택하려 해""",2025-06-28 16:07:00,권지윤 기자,"▲ 윤석열 전 대통령이 28일 피의자 신분으로 내란특검 조사를 받기 위해 서울 서초구 서울고검 청사로 출석하고 있다. 내란특검에 소환된 윤석열 전 대통령이 오후부터 조사 거부를 하고 대기실에 머물고 있습니다. 윤 전 대통령 측은 오전 공수처의 체포영장 집행을 방해한 혐의를 조사하는 담당자인 박창환 경찰청 중대범죄수사과장(총경)의 교체를 요구하고 있습니다. 변호인들은 ""공수처 체포영장 집행은 불법 체포""라며 경찰 관계자를 고발했는데, 피고발인 가운데 한 명이 박 총경이라고 밝혔습니다. ""가해자가 피해자를 조사하고 있다""며 위법한 조자라는 겁니다. 특검팀은 오전 조사를 마친 뒤 점심식사 이후 신문을 재개하려고 했지만, 윤 전 대통령 측은 조사실 입실을 거부한 채 대기실에서 머물고 있습니다. 내란특검팀은 윤 전 대통령측 변호인의 주장은 허위라며 ""더 이상 조사를 받지 않으면 출석 거부로 간주하겠다""고 밝혔습니다. 조사 담당자인 박 총경은 공수처 체포영장 집행 당시 현장에 있지 않았다는 겁니다. 박지영 특검보는 ""허위 사실 유포해서 수사를 방해하는 이들에 대해 수사 착수와 함께 변협 징계 통보를 검토할 예정""이라고 경고했습니다. 또 계속 조사를 거부하는 윤 전 대통령에 대해선 ""형사소송법에 따른 조치를 검토할 것""이라고 말했습니다. 윤 전 대통령과 변호인단을 양쪽을 향해 압박에 나선 건데, 조사 거부 상황이 지속될 경우 체포영장 청구 등을 염두에 둔 발언으로 풀이됩니다. 내란특검팀은 또 윤 전 대통령 측 변호인단이 경찰이 신문을 진행하는 점도 문제 삼고 있다고 밝혔습니다. 박 특검보는 ""전직 대통령이라고 경찰 수사받지 않을 수 없다""며 ""경찰 제도 자체를 인정하지 않는 것과 마찬가지""라고 비판했습니다. 윤 전 대통령 측 변호인단이 특검의 수사 방식을 위법하다고 주장하고 있고, 내란특검팀은 ""수사받는 사람이 수사하는 사람을 선택할 수는 없다""며 윤 전 대통령의 조사 태도를 문제 삼고 있는 것으로, 소환 전부터 시작해 조사 과정에서도 양측의 대립은 격화되고 있습니다. 윤 전 대통령은 오늘 오전에 한 시간 정도 실제 조사가 이뤄진 것으로 알려졌습니다. 공수처의 체포영장 집행 방해 부분에 대한 조사가 진행됐고, 비화폰 삭제 혐의에 대한 조사 시작도 못한 것으로 알려졌습니다."
"특검 ""윤 오후조사 사실상 거부중…변호인단 수사 방해 선넘어""",2025-06-28 16:06:00,전연남 기자,"▲ 윤석열 전 대통령이 28일 피의자 신분으로 내란특검 조사를 받기 위해 서울 서초구 서울고검 청사로 출석하고 있다. 내란 특검팀이 윤석열 전 대통령이 오후 조사를 사실상 거부하고 있다면서 변호인단의 수사 방해가 선을 넘는 행위라고 비판했습니다. 박지영 특검보는 오늘(28일) 오후 이뤄진 언론 브리핑에서 ""(윤 전 대통령이) 현재 대기실에서 (머물며) 조사실에 입실하고 있지 않은 상황""이라며 ""출석을 거부하는 것과 같다""고 말했습니다. 앞서 특검팀은 오전 10시 14분부터 낮 12시 44분까지 오전 조사를 마친 뒤 낮 1시 30분부터 조사를 재개하려 했지만, 변호인단이 조사자 교체를 요구하며 사실상 조사를 거부하고 있다고 설명했습니다. 오늘 오전 윤 전 대통령 측은 불법 체포 혐의로 고발된 박 총경이 신문을 담당하는 것은 부당하고 검사가 윤 전 대통령을 신문해야 한다고 밝힌 바 있습니다. 이에 대해 박 특검보는 ""'불법 체포' 가해자인 박창환 총경이 피해자를 조사하고 있다는 윤 전 대통령 변호인단 측의 주장은 사실이 아니""라고 반박했습니다."
