제목,날짜,기자명,본문
"안재현, '종이인형' 오명 벗었다..반전 '턱걸이 실력'(가오정)",2025-06-28 06:10:00,미상,배우 안재현이 특유의 다정함으로 안방극장을 따스하게 물들였다.안재현은 지난 27일(금) 밤 10시 방송된 KBS 2TV 예능프로그램 ‘가는정 오는정 이민정 - 오징어 게임‘ 특집에서 남다른 활약을 펼쳤다.이날 방송에서 안재현은 각자 먹고 싶은 메뉴를 한 가지만 가져오는 릴레이 점심 만찬 게임에서 다른 멤버들이 원한 잡채를 정확히 픽
"[공식발표] 日 축구 미쳤다! 하루에 빅리거 2명 탄생...190cm CB·혼혈 MF, 분데스 동반 입성",2025-06-28 06:08:00,미상,"일본 축구가 날이 갈수록 강해지고 있다. 이번엔 국가대표 센터백 마치다 고키(28)와 미드필더 후지타 조엘 치마(23)가 나란히 분데스리가에 입성했다.TSG 호펜하임은 28일(한국시간) 구단 홈페이지를 통해 ""일본 국가대표 수비수 마치다를 영입하며 수비진을 강화했다. 27세의 왼발잡이 센터백인 그는 벨기에 챔피언 로얄 위니옹 생질루"
"드래곤포니, '2025 서울 파크 뮤직 페스티벌' 출격…강렬X청량 록 밴드",2025-06-28 06:08:00,미상,"'K-밴드씬 최고 루키' 드래곤포니(Dragon Pony)가 무더위도 잊게 하는 파워풀한 밴드 퍼포먼스를 선사한다.드래곤포니(안태규, 편성현, 권세혁, 고강훈)는 28일 서울 올림픽공원 88잔디마당 PARK STAGE에서 개최되는 '2025 서울 파크 뮤직 페스티벌'에 출격한다.'서울 파크 뮤직 페스티벌'은 매해 다양한 장르의 아티"
"'큐브 신인' 나우즈, 신보 'IGNITION' 키워드 필름 공개..감각적 무드 '눈길'",2025-06-28 06:06:00,미상,"큐브엔터테인먼트 신인 보이그룹 NOWZ (나우즈)가 감각적인 영상으로 첫 미니 앨범 발매를 예고했다.큐브엔터테인먼트는 지난 27일 공식 채널에 나우즈(현빈, 윤, 연우, 진혁, 시윤) 첫 미니 앨범 'IGNITION'의 개인 키워드 필름을 공개했다.이번 영상에서는 잔디밭에 앉아 스프링클러 물줄기를 느끼는 현빈, 회전하는 전자기기 사"
"'역시 악마의 협상가' 레비, 절대 양보 안 한다...""로메로? 1123억 들고 와"" ATM 압박에도 단호",2025-06-28 06:05:00,미상,"다니엘 레비 회장다운 행보다. 토트넘 홋스퍼가 크리스티안 로메로(27)를 절대 싼 값에 놓아주지 않겠다는 각오다.영국 '텔레그래프'는 27일(한국시간) ""토트넘은 로메로를 헐값에 팔게 하려는 매각 압박에 굴하지 않고 있다. 토트넘은 그의 몸값으로 6000만 파운드(약 1123억 원) 이상을 원한다""라고 보도했다.토트넘 부주장이자 아"
"은퇴식 앞둔 김강민, 1번 중견수 선발 출장…이숭용 감독 ”정말 짐승 같은 선수, 20-20 아쉬워” [오!쎈 인천]",2025-06-28 06:02:00,미상,프로야구 SSG 랜더스 이숭용 감독이 은퇴식을 앞둔 김강민에 대해 이야기했다. 이숭용 감독은 28일 인천 SSG랜더스필드에서 열리는 ‘2025 신한은행 SOL Bank KBO리그’ 한화 이글스와의 경기 전 인터뷰에서 “김강민은 선발로 나갔다가 플레이볼이 되면 최지훈과 교체할 예정이다”라고 밝혔다. SSG는 김강민(중견수)-기
"지누션 지누, '한고은 닮은꼴' 13살 연하 변호사 아내 공개…4살 아들 최초 등장 (살림남2)",2025-06-28 05:58:00,미상,힙합 전설 지누션의 지누가 ‘살림하는 남자들 시즌2’에 합류한다.지누는 28일 방송되는 KBS2 '살림하는 남자들 시즌2'(이하 '살림남')를 통해 새로운 '살림남'으로 첫 등장한다.이날 지누는 13세 연하로 '한고은 닮은꼴'의 남다른 미모를 자랑하는 초엘리트 변호사 아내와 그의 귀여운 붕어빵 4세 아들을 방송 최초로 공개한다. 특
"'청담국제고2' 이은샘→김예림, 이런모습 낯설어..'과몰입 방지' 비하인드 공개",2025-06-28 05:58:00,미상,"‘청담국제고등학교 2’가 배우들의 매력이 돋보이는 비하인드 스틸을 대방출했다.오는 7월 3일(목) 오후 5시 국내 OTT에 첫 공개를 앞둔 새 드라마 ‘청담국제고등학교 2’(연출 임대웅, 박형원 / 극본 곽영임 / 제작 와이낫미디어, 리안컨텐츠)는 귀족학교 청담국제고등학교에서 벌어지는 권력 게임에 청춘 로맨스가 가미된 하이틴 심리"
"'문항 거래 의혹' 조정식 ""부끄러운 짓 안했다"" 연이은 결백 호소 [핫피플]",2025-06-28 05:30:00,미상,"불법 문항 거래 의혹을 받고 있는 일타강사 조정식이 다시 한번 자신의 입장을 밝히며 눈길을 끌고 있다.26일 조정식은 자신의 소셜 계정에 ""책임을 지는 게 사람답게 사는 것이라 배웠다""며 ""나와 관련된 일련의 사태에서 도망치지도, 숨지도 않고 져야 할 책임이 있다면 끝까지 지고 갈 것""이라고 적었다.다만 그는 ""해당 건에 대해 도덕"
"'이럴 수가' 실책 2개 문보경 선발 제외, 트레이드 천성호 3루수, LG 라인업 공개",2025-06-28 05:29:00,미상,프로야구 LG 트윈스는 28일 잠실구장에서 KIA 타이거즈와 시즌 7차전 맞대결을 한다. LG는 전날 박동원의 역전 스리런 홈런과 8회 문성주의 결승타로 4-3으로 승리했다. LG는 한화 이글스와 공동 1위로 올라섰다. LG는 신민재(2루수) 김현수(좌익수) 오스틴(1루수) 박동원(지명타자) 문성주(우익수) 천성호(3루수)
