제목,날짜,기자명,본문
민주노총 도심 집회…“최저임금 대폭 인상 필요”,,제공 기자,"민주노총 도심 집회…“최저임금 대폭 인상 필요” - 경향신문 전국민주노동조합총연맹이 내년도 최저임금 심의 법정 시한을 하루 앞둔 28일 서울 도심에서 집회를 열었다. 민주노총 조합원들은 이날 최저임금 인상과 노랑봉투법으로도 불리는 노동조합법 2·3조 개정 등을 촉구했다. 양경수 민주노총 위원장은 ""노동자들의 최저임금 대폭 인상이야말로 한국 사회, 경제를 회복하고 민생을 위기에서 구할 수 있는 유일한 수단""이라고 말했다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 민주노총 조합원들이 28일 서울 광화문에서 열린 ‘최저임금 인상과 노동기본권 쟁추’ 결의대회에서 구호를 외치고 있다. 민주노총 제공 전국민주노동조합총연맹(민주노총)이 내년도 최저임금 심의 법정 시한을 하루 앞둔 28일 서울 도심에서 집회를 열었다.민주노총은 이날 오후 3시께 서울 중구 숭례문 앞에서 ‘최저임금 인상과 노동기본권 쟁취’ 결의대회를 개최했다. 집회에는 주최 측 추산 2만여명이 참가했다. 민주노총 조합원들은 이날 최저임금 인상과 노랑봉투법으로도 불리는 노동조합법 2·3조 개정 등을 촉구했다.양경수 민주노총 위원장은 “노동자들의 최저임금 대폭 인상이야말로 한국 사회, 경제를 회복하고 민생을 위기에서 구할 수 있는 유일한 수단”이라고 말했다.허원 금속노조 부위원장은 “모든 노동자가 노동3권을 온전히 누릴 수 있도록 노조법 2조는 반드시 개정돼야 한다”고 말했다.민주노총은 집회를 마친 뒤 용산구 대통령실과 종로구 국정기획위원회까지 양방향 행진을 이어갔다. 내란특검 “윤석열 외환 혐의, 자료 축적돼있다···조사 시 별도 호칭도 준비” 한편 최저임금위원회는 지난 26일 제7차 전원회의를 열고 내년도 최저임금 수준을 논의했지만, 노동계와 경영계가 입장 차를 좁히지 못해 결론을 내지 못했다."
초록불에 횡단보도 미처 못 건넌 70대…버스에 치여 숨져,,제공 기자,"초록불에 횡단보도 미처 못 건넌 70대…버스에 치여 숨져 - 경향신문 초록불에 횡단보도 미처 못 건넌 70대…버스에 치여 숨져 보행자 신호가 켜져 있는 동안 횡단보도를 다 건너가지 못한 70대 여성이 시내버스에 치여 숨졌다. 28일 광주 북부경찰서에 따르면 이날 오전 7시56분께 북구 문흥동 한 교차로에서 횡단보도를 건너던 A씨가 시내버스에 치이는 사고가 발생했다. A씨는 보행자 신호에 횡단보도를 건넜지만, 신호가 바뀔 때까지 도로를 다 건너지 못한 것으로 조사됐다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 초록불에 횡단보도 미처 못 건넌 70대…버스에 치여 숨져 보행자 신호가 켜져 있는 동안 횡단보도를 다 건너가지 못한 70대 여성이 시내버스에 치여 숨졌다.28일 광주 북부경찰서에 따르면 이날 오전 7시56분께 북구 문흥동 한 교차로에서 횡단보도를 건너던 A씨가 시내버스에 치이는 사고가 발생했다. A씨는 병원으로 이송됐지만 사망했다.A씨는 보행자 신호에 횡단보도를 건넜지만, 신호가 바뀔 때까지 도로를 다 건너지 못한 것으로 조사됐다. 내란특검 “윤석열 외환 혐의, 자료 축적돼있다···조사 시 별도 호칭도 준비”"
본격 피서 시즌 시작…강릉 경포 해수욕장 개장,,제공 기자,"본격 피서 시즌 시작…강릉 경포 해수욕장 개장 - 경향신문 강원특별자치도에 따르면 28일 강릉 경포해수욕장을 시작으로 다음달 19일까지 강원 동해안 해수욕장 86곳이 잇따라 문을 연다. 경포를 제외한 강릉지역 17곳과 속초지역 2곳은 다음달 4일, 동해지역 6곳과 삼척지역 9곳은 다음달 9일 개장한다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 본격 피서철을 맞아 강원 동해안 해수욕장들이 개장한다.강원특별자치도에 따르면 28일 강릉 경포해수욕장을 시작으로 다음달 19일까지 강원 동해안 해수욕장 86곳이 잇따라 문을 연다. 내란특검 “윤석열 외환 혐의, 자료 축적돼있다···조사 시 별도 호칭도 준비” 28일 강원 강릉 경포해수욕장이 개장해 피서객 맞이에 나섰다. 연합뉴스 메밀? 밀회? - 소바를 다 먹은 남녀는 2층으로 향했다, 그리고 한참을 나오지 않았다 [속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다” 윤석열 측, 특검파견 경찰이 조사하자 “불법체포 지휘한 가해자가 피해자 조사” 반발"
"내란특검, 박안수 전 계엄사령관 소환···‘2차계엄 시도’ 수사",,선임 기자,"내란특검, 박안수 전 계엄사령관 소환···‘2차계엄 시도’ 수사 - 경향신문 내란특검, 박안수 전 계엄사령관 소환···‘2차계엄 시도’ 수사 윤석열 전 대통령의 내란 및 외환 혐의룰 수사하는 조은석 내란 특별검사가 12·3 불법계엄 당시 계엄사령관으로 임명됐던 박안수 전 육군참모총장을 불러 조사했다. 박 전 총장 역시 2차 계엄 준비 차원에서 계엄사 내 육군 2신속대응사단 출동 준비를 논의했다는 의혹을 받는다. 윤 전 대통령의 내란·외환 혐의에 대해 광범위한 수사를 진행 중인 특검이 박 전 총장을 불러 조사한 것은 이 같은 2차계엄 선포 의혹을 본격적으로 들여다보기 위한 작업이 아니냐는 분석이 나온다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 내란특검, 박안수 전 계엄사령관 소환···‘2차계엄 시도’ 수사 박안수 전 계엄사령관이 지난 1월 14일 국회 국방위 회의실에서 열린 국회 내란 혐의 진상규명 국정조사특위에서 답변을 하고 있다. 박민규 선임기자 윤석열 전 대통령의 내란 및 외환 혐의룰 수사하는 조은석 내란 특별검사가 12·3 불법계엄 당시 계엄사령관으로 임명됐던 박안수 전 육군참모총장을 불러 조사했다. 박 전 총장은 국회의 비상계엄 해제 요구안 의결 이후 윤 전 대통령과 합동참모본부 결심지원실(결심실)에 함께 있었던 인물이다. 윤 전 대통령은 당시 결심실에서 2차 계엄 선포를 시도했다는 의혹을 받고 있다.28일 법조계에 따르면 내란 특검은 지난 23일 박 전 총장을 소환 조사했다. 특검이 지난 18일 정식으로 수사를 개시한 지 닷새 만이다. 특검은 진술조서를 작성하지 않고 면담 형식으로 박 전 총장을 조사한 것으로 알려졌다. 특검은 박 전 총장에게 지난해 12월4일 새벽 12·3 불법계엄이 해제되는 상황에 대해 캐물은 것으로 전해졌다. 불법계엄 당시 계엄사령관으로 임명됐던 박 전 총장은 지난해 12월4일 오전 1시쯤 국회에서 계엄 해제 요구안이 의결된 뒤 국방부 전투통제실 안에 있는 합참 결심실에서 윤 전 대통령, 김용현 전 국방부 장관 등과 30분가량 함께 있었던 것으로 나타났다.김철진 전 국방부 군사보좌관은 지난 16일 열린 윤 전 대통령의 내란 혐의 형사 재판에 증인으로 출석해 “윤 전 대통령이 결심실 회의에서 ‘국회에 (병력) 1000명은 보냈어야 했다’며 김 전 장관을 질책했다”는 취지의 증언을 하기도 했다."
윤석열 “경찰에 조사 못 받는다”···특검 “피의자가 조사자 선택하나”,,정효진 기자,"윤석열 “경찰에 조사 못 받는다”···특검 “피의자가 조사자 선택하나” - 경향신문 윤석열 “경찰에 조사 못 받는다”···특검 “피의자가 조사자 선택하나” 윤석열 전 대통령에 대한 28일 내란 특별검사팀 첫 조사가 시작 1시간 만에 중단됐다. 경찰도 이날 ""박 총경은 2차 체포영장 집행시 경호처 김성훈 전 차장과 이광우 전 경호본부장에 대한 체포영장 집행을 위해 현장에 갔다""면서 박 총경은 윤 전 대통령이 조사를 받는 1차 체포시도 저지 지시 혐의와는 무관하다고 밝혔다. 특검은 윤 전 대통령 측이 허위사실로 여론을 호도하려 한다며 변호인들을 내란 특검법상 수사대상인 수사방해 혐의로 조사하는 방안을 검토하겠다고 밝혔다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 윤석열 “경찰에 조사 못 받는다”···특검 “피의자가 조사자 선택하나” 윤석열 전 대통령이 28일 대면 조사를 받기 위해 서울 서초구 서울고검에 마련된 내란특검 사무실로 출석하고 있다. 정효진 기자 윤석열 전 대통령에 대한 28일 내란 특별검사팀 첫 조사가 시작 1시간 만에 중단됐다. 윤 전 대통령 측은 조사를 이끌고 있는 박창환 경찰청 중대범죄수사과장(총경)이 윤 전 대통령에 대한 불법 체포시도를 지휘했다며 이날 오후 조사를 거부하고 있다. 특검 측은 윤 전 대통령 측 주장은 전혀 사실이 아니며, 허위사실을 유포한 변호인들에 대한 수사 착수를 검토하겠다고 으름장을 놨다.박지영 내란 특검보는 이날 오후 특검 사무실이 차려진 서울고검 기자실에서 기자들과 만나 “오전에는 조사가 잘 진행됐고, 잠시 휴식 후에 점심을 먹고 오후 1시30분부터 수사를 재개하려고 했다”며 “(하지만 윤 전 대통령이) 현재 대기실에서 조사실에 입실하지 않고 있는 상황”이라고 밝혔다. 박 특검보는 “대기실에서 조사실에 입실하지 않고 있는 것은 출석을 거부하는 것과 같다”며 “법정에서 피고인이 피고인석에 서지 않고 방청석에 앉아있는 것과 같은 상황”이라고 지적했다. 윤 전 대통령은 오전 10시14분부터 약 1시간가량 진행된 오전 조사에선 진술거부권을 행사하지 않았다고 한다. 윤 전 대통령이 동의하지 않으면서 조사에 대한 영상녹화는 하지 않았다.윤 전 대통령 측은 현재 조사자 교체를 요구하고 있다고 한다. 윤 전 대통령 측은 이날 오전 조사를 마친 뒤 낸 입장문에서 “가해자가 피해자를 조사하고 있다”고 주장했다. 윤 전 대통령 측은 “윤 전 대통령의 체포 방해 혐의는 경찰 공무집행의 적법성과 영장의 위법성이 먼저 밝혀져야 한다”며 “이미 경찰 관련자들을 고발했는데, 현재 조사를 진행 중인 박창환 총경 역시 불법체포를 지휘한 혐의로 고발돼 있다”고 주장했다.하지만 특검과 경찰에 따르면, 윤 전 대통령 측 주장은 사실과 다르다. 박 특검보는 “윤 전 대통령에 대한 1차 체포영장 집행과 관련해 박 총경이 현장에 없었을 뿐 아니라 지휘에도 관여한 사실이 전혀 없다”며 “윤 전 대통령 측이 고발한 사건은 이번 조사 사건과는 전혀 무관한 내용”이라고 밝혔다. 경찰도 이날 “박 총경은 2차 체포영장 집행시 경호처 김성훈 전 차장과 이광우 전 경호본부장에 대한 체포영장 집행을 위해 현장에 갔다”면서 박 총경은 윤 전 대통령이 조사를 받는 1차 체포시도 저지 지시 혐의와는 무관하다고 밝혔다.특검은 윤 전 대통령 측이 허위사실로 여론을 호도하려 한다며 변호인들을 내란 특검법상 수사대상인 수사방해 혐의로 조사하는 방안을 검토하겠다고 밝혔다. 박 특검보는 “허위사실을 유포해 수사를 방해하는 것은 선을 넘는 행위”라며 “수사방해에 대한 수사 착수를 검토하고, 대한변호사협회에 징계 통보할 것을 검토 중”이라고 밝혔다."
제주행 여객기서 소란 피운 40대 경찰에 붙잡혀,,제공 기자,"제주행 여객기서 소란 피운 40대 경찰에 붙잡혀 - 경향신문 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 김포에서 출발해 제주도로 향하던 여객기에서 소란을 피운 승객이 경찰에 붙잡혔다.제주서부경찰서는 비행 중인 여객기에서 소란을 피운 혐의(항공보안법 위반)로 40대 A씨를 붙잡아 조사하고 있다고 28일 밝혔다. A씨는 지난 27일 오후 김포공항에서 출발해 제주공항으로 운항하는 여객기 안에서 소리를 지르고 다른 승객과 승무원에게 위협적인 행동을 한 혐의다.A씨는 여객기가 제주공항에 도착한 직후 출동한 경찰에 체포됐다. 내란특검 “윤석열 외환 혐의, 자료 축적돼있다···조사 시 별도 호칭도 준비” 수도권 주택대출 6억원 한도로 제한한다…“필요시 추가 조치 시행” 이제 아이폰도 찍고 탄다···애플페이, 티머니 연동 ‘대중교통’ 이용 가능 [속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다” 윤석열 측, 특검파견 경찰이 조사하자 “불법체포 지휘한 가해자가 피해자 조사” 반발 다시 구속된 김용현, ‘슬리퍼 활보’하다 특검 소환 받은 윤석열 [법정 417호, 내란의 기록]"
"중국 CCTV 업체, 캐나다서 퇴출…“국가 안보 위협 우려”",,제공 기자,"중국 CCTV 업체, 캐나다서 퇴출…“국가 안보 위협 우려” - 경향신문 중국 CCTV 업체, 캐나다서 퇴출…“국가 안보 위협 우려” 중국 감시장비 제조업체 하이크비전이 캐나다에서 퇴출당했다. 앞서 캐나다 정부는 지난해 하이크비전을 포함한 중국 감시장비 업체들에 대해 제재를 부과하는 방안을 검토 중이라고 밝혔다. 하이크비전 등이 중국 신장웨이우얼 자치구의 소수민족 위구르 탄압과 감시에 관여하고 있다는 인권단체들의 주장 때문이었다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) 중국 CCTV 업체, 캐나다서 퇴출…“국가 안보 위협 우려” 중국 감시장비 제조업체 하이크비전(Hikvision·海康威視)이 캐나다에서 퇴출당했다.28일 로이터통신에 따르면 캐나다 산업부는 이날 세계 최대 감시장비 제조업체로 알려진 하이크비전의 캐나다 내 영업 중단을 명령했다. 멜라니 졸리 산업부 장관은 엑스(X)에 “정부는 하이크비전의 지속적인 영업이 국가 안보를 해칠 수 있다고 판단했다”고 설명했다.졸리 장관은 “캐나다 정부 부처와 기관에서 하이크비전 제품을 구매하는 것을 금지하고 기존에 설치된 제품도 사용을 중단하도록 점검하겠다”고 말했다.이번 결정은 캐나다 정보기관의 보고 등을 바탕으로 이뤄진 것으로 알려졌지만, 하이크비전이 어떻게 캐나다의 국가 안보를 위협하는지에 대한 언급은 없었다.앞서 캐나다 정부는 지난해 하이크비전을 포함한 중국 감시장비 업체들에 대해 제재를 부과하는 방안을 검토 중이라고 밝혔다.하이크비전 등이 중국 신장웨이우얼 자치구의 소수민족 위구르 탄압과 감시에 관여하고 있다는 인권단체들의 주장 때문이었다. 봉준호 ‘기생충’, NYT 선정 ‘21세기 최고의 영화’ 1위"
[속보]특검 “윤석열 측 변호사 ‘수사방해’로 수사 착수 검토”,,정효진 기자,"[속보]특검 “윤석열 측 변호사 ‘수사방해’로 수사 착수 검토” - 경향신문 [속보]특검 “윤석열 측 변호사 ‘수사방해’로 수사 착수 검토” 내란 특별검사팀이 28일 윤석열 전 대통령이 오후에 조사를 사실상 거부하고 있다면서 변호인단의 수사 방해가 선을 넘는 행위라고 비판했다. 이날 조사에 입회한 윤 전 대통령 측 변호인은 김홍일·채명성·송진호·윤갑근 변호사다. 특검팀은 윤 전 대통령 변호인 측이 밝힌 내용에 대해 수사 방해로 규정하고 수사에 착수하겠다고 밝혔다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) [속보]특검 “윤석열 측 변호사 ‘수사방해’로 수사 착수 검토” 윤석열 전 대통령이 28일 대면 조사를 받기 위해 서울 서초구 서울고검에 마련된 내란특검 사무실로 출석하고 있다. 정효진 기자 내란 특별검사팀이 28일 윤석열 전 대통령이 오후에 조사를 사실상 거부하고 있다면서 변호인단의 수사 방해가 선을 넘는 행위라고 비판했다. 이어 허위 사실을 밝히며 문제를 제기하는 변호인단의 행동을 수사방해 행위로 규정하고 수사 착수를 검토하겠다고 밝혔다.박지영 특검보는 이날 오후 3시쯤 브리핑을 하고 “(윤 전 대통령이) 현재 대기실에서 조사실에 입실하고 있지 않은 상황”이라며 “출석을 거부하는 것과 같다”고 말했다. 특검팀은 오전 10시 14분부터 약 1시간 동안 오전 조사를 한 뒤 오후 1시 30분부터 조사를 재개하려 했으나, 변호인단이 조사자 교체를 요구하며 사실상 조사를 거부하고 있다고 한다.박 특검보는 “변호인들이 허위 사실로 수사를 방해하는 것은 선을 넘는 행위 같다”고 밝혔다."
"[속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다”",,오후 기자,"[속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다” - 경향신문 [속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다” 윤석열 전 대통령이 28일 오후 내란 특별검사팀 조사에 응하지 않고 있다. 박지영 내란 특검보는 이날 오후 기자들과 만나 ""윤 전 대통령이 현재 대기실에서 조사실에 입실하지 않고 있는 상황""이라며 ""통상 조사실에서는 진술을 거부할 수 있으나, 대기실에서 조사실에 입실하지 않고 있는 것은 출석 거부와 같다""고 밝혔다. 박 특검보는 "" 조사자 교체를 요구하면서 사실상 조사를 거부하고 대기실에서 조사실 입실을 거부하는 상황""이라고 밝혔다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) [속보]내란특검 “윤석열, 조사실 입실 거부···오후 조사 못하고 있다” 윤석열 전 대통령이 내란 특검 조사를 위해 28일 서울 서초구 서울고검에 출석하고 있다. 정효진 기자 윤석열 전 대통령이 28일 오후 내란 특별검사팀 조사에 응하지 않고 있다.박지영 내란 특검보는 이날 오후 기자들과 만나 “윤 전 대통령이 현재 대기실에서 조사실에 입실하지 않고 있는 상황”이라며 “통상 조사실에서는 진술을 거부할 수 있으나, 대기실에서 조사실에 입실하지 않고 있는 것은 출석 거부와 같다”고 밝혔다. 박 특검보는 “(윤 전 대통령 측이) 조사자 교체를 요구하면서 사실상 조사를 거부하고 대기실에서 조사실 입실을 거부하는 상황”이라고 밝혔다. 이날 윤 전 대통령 오전 조사는 박창환 경찰청 중대범죄수사과장(총경)과 최상진·이장필 경감 등 특검에 파견된 경찰이 하고 있다. 전직 대통령에 대한 예우 차원에서 검사장급인 특검보가 윤 전 대통령을 직접 조사할 거란 예상과는 달랐다. 박 특검보는 “사건의 연계성 등을 고려해 경찰에서 이 사건(체포 저지 지시, 비화폰 정보 삭제 지시) 수사를 맡아온 박 총경이 조사를 담당한다”며 “이 사건 수사를 처음부터 이끌어와 (사건 내용을) 누구보다도 잘 파악하고 있는 점을 고려했다. 오로지 수사 논리, 수사의 효율성에 따른 것”이라고 말했다.박 특검보는 “수사를 받는 사람이 수사하는 사람을 선택할 수 있느냐”고 말했다."
"[속보]내란특검 “윤석열 변호인, 허위사실로 수사방해하는 건 선 넘는 것”",,정효진 기자,"[속보]내란특검 “윤석열 변호인, 허위사실로 수사방해하는 건 선 넘는 것” - 경향신문 [속보]내란특검 “윤석열 변호인, 허위사실로 수사방해하는 건 선 넘는 것” 내란 특별검사팀이 28일 윤석열 전 대통령 변호인 측이 경찰의 윤 전 대통령 대면조사와 관련해 ""허위사실로 수사방해를 하는 건 선 넘는 것""이라고 비판했다. 윤 전 대통령 측이 박창환 경찰청 중대범죄수사과장이 대면 조사를 맡은 데 대해 ""박 총경 역시 불법체포를 지시한 사람으로 고발돼 있다""고 주장했으나 경찰청이 ""사실이 아니다""라고 반박하자 특검팀도 변호인 측이 허위사실을 주장하는 것이라고 맞받은 것이다. 내란 특검팀의 박지영 특검보는 이날 오후 3시쯤 브리핑을 하고 ""점심 식사 이후 오후 1시30분부터 조사를 재개하려고 했으나 외부에서 변호인들이 연락해서 문제를 제기하는 걸로 안다""며 ""변호사로서 다양한 주장을 하고 최선을 다하는 거에 대해서는 저희도 환영하는데, 허위 사실로 수사를 방해하는 건 선 넘는 행위 같다""고 밝혔다. 인공지능 기술로 자동 요약된 내용입니다. 전체 내용을 이해하기 위해 본문과 함께 읽는 것을 추천합니다.(제공 = 경향신문&NAVER MEDIA API) [속보]내란특검 “윤석열 변호인, 허위사실로 수사방해하는 건 선 넘는 것” 윤석열 대통령이 내란 특검 조사를 위해 28일 서울 서초구 서울고검에 출석하고 있다. 2025.06.28. 정효진 기자 내란 특별검사팀이 28일 윤석열 전 대통령 변호인 측이 경찰의 윤 전 대통령 대면조사와 관련해 “허위사실로 수사방해를 하는 건 선 넘는 것”이라고 비판했다. 윤 전 대통령 측이 박창환 경찰청 중대범죄수사과장(총경)이 대면 조사를 맡은 데 대해 “박 총경 역시 불법체포를 지시한 사람으로 고발돼 있다”고 주장했으나 경찰청이 “사실이 아니다”라고 반박하자 특검팀도 변호인 측이 허위사실을 주장하는 것이라고 맞받은 것이다.내란 특검팀의 박지영 특검보는 이날 오후 3시쯤 브리핑을 하고 “점심 식사 이후 오후 1시30분부터 조사를 재개하려고 했으나 외부에서 변호인들이 연락해서 문제를 제기하는 걸로 안다”며 “변호사로서 다양한 주장을 하고 최선을 다하는 거에 대해서는 저희도 환영하는데, 허위 사실로 수사를 방해하는 건 선 넘는 행위 같다”고 밝혔다. 이어 “변호인의 주장 중에 ‘가해자가 피해자를 조사하고 있다’고 주장하는데 윤 전 대통령에 대한 1차 체포영장 집행과 관련해선 (오늘) 특검의 조사자인 박창환 총경이 (체포)현장에 없었을 뿐 아니라 지휘에도 관여한 사실이 전혀 없다”고 밝혔다. 그러면서 “당시 영장은 법원으로부터 공수처(고위공직자범죄수사처)가 발부받은 영장으로, 집행 주체는 공수처이고 박 총경은 이 사건과 무관하다”며 “윤 전 대통령 측이 고발한 사건은 이 사건과는 전혀 무관한 내용”이라고 설명했다.박 특검보는 “통상 우리가 수사 방해나 지연 목적으로 누구를 조사하면 저를 상대로 고발하는 사람이 많다”며 “수사 검사나 사법경찰을 상대로 고소·고발이 빈발하는 현실에서 조사와 무관한 사람을 업무에서 배제할 수 없다. 이런 경우 업무배제를 한다면 형사사법 절차는 마비된다”고 말했다.그러면서 “경찰이 수사하는 것 자체에 문제제기를 하는데 전직 대통령이라고 경찰 수사 받지 말라는 법도 없다”고 했다."
