제목,날짜,기자명,본문
"트럼프 ""김정은과 매우 잘 지내... 북한과 갈등 해결할 것""",2025-06-28 05:58:56,윤현,"도널드 트럼프 미국 대통령이 ""북한과 갈등이 있다면 해결할 것""이라고 밝혔다.

AP·로이터통신에 따르면 트럼프 대통령은 27일(현지시각) 백악관 집무실에서 기자들이 '김정은 북한 국무위원장에게 서한을 보낸 것이 사실인가'라는 물음에 ""나는 그와 좋은 관계를 유지해 왔고, 매우 잘 지내고 있다""라고 말했다.

그는 김 위원장에게 서한을 발송했는지에 대해서는 명확히 답하지 않고 ""앞으로 어떻게 될지 지켜보자""라고 덧붙였다. 그러면서 ""누군가 이것을 잠재적 갈등이라고 말한다""라며 ""나는 우리가 해결할 것이라고 생각한다""라고 강조했다.

앞서 미국의 북한전문매체 NK뉴스는 지난 11일 트럼프 대통령이 김 위원장에게 친서를 보내려고 했으나, 미국에서 활동하는 북한 외교관들이 수령을 거부했다고 보도한 바 있다. 당시에도 백악관은 친서 여부에 답하지 않고 ""트럼프 대통령은 김 위원장과의 서신 교환에 여전히 열려 있다""라며 ""트럼프 대통령은 2018년 싱가포르 정상회담에서 이뤄진 진전을 보길 원할 것""이라고 밝혔다."
"""철도를 인문학적으로 바라봐야""",2025-06-28 05:47:42,고창남,"""철도를 인문학적으로 바라봐야 한다""는 주장이 제기되어 철도산업 종사자들의 눈길을 끌고 있다. 이같은 주장은 한국철도학회가 26일 롯데호텔 서울서 개최한 '2025 철도의 날' 기념 세미나에서 주제발표자로 나선 이용상 우송대 부총장에 의해 제기되었다.

이날 '2025 철도의 날' 기념 세미나에서는 이용상 우송대 부총장과 이준 한국철도기술연구원 교통물류본부장이 각각 주제발표를 했다.

먼저 한국철도문화재단 이사장 겸 이용상 우송대 부총장이 '한국 철도의 인문적 지평과 경계'라는 제목으로 주제발표를 했다.

이 부총장은 '왜 철도를 인문학적으로 바라보는가'라는 질문으로 발표를 시작했다. 그에 의하면, 철도는 단순한 이동수단이 아니라 문화와 시간, 인간의 삶을 싣고 달리는 공간이며 인문학은 기술 바깥의 인간을 다시 보는 렌즈이다. 이 부총장은 철로 위의 기억과 삶, 그리고 철학을 연계하며 발표를 이어갔다.

그는 한국 철도의 인문학적 의미를 반추하면서 기억의 공간으로 우리나라의 근대화·식민지·해방· 분단의 흔적을 환기했고, 시간적으로 선형적 흐름과 반복되는 일상 속 인간의 철학(시결: 時結)을 조명했다. 그러면서 우리들의 삶과 이야기가 교차하는 역과 열차가 서사의 무대로 등장하고 있다고 설명했다.

우리나라 철도의 역사적 지평을 살펴볼 때, 1894년 대한제국 시기 '철도국'의 전신인 '공무아문(工務衙門)'이 설립되었고 1899년 경인선이 개통되었으며 1910년 일제 조선총독부에 철도국이 설치되었다. 이와 같은 과정을 통해 철도는 제국주의적 수탈과 근대화라는 이중적 의미를 지니게 되었으며, 오늘날 우리 철도망의 기반은 일제에 의해 형성된 유산 위에 놓여 있다.

    

이 부총장은 1904년 러일전쟁 시기에, '보스트윅 사진첩'에 담겨 있는 경인선, 독일인 헤르만 구스타프 테오도르 산더가 1906년 9월 27일, 러·일 전쟁 여파를 조사하며 여행하던 중 안양역에 정차한 기차와 그 주변 풍경을 촬영한 사진 등을 보여주여 설명을 이어갔다. 또한, 1910~20년대 독립운동과 한민족 디아스포라(Diaspora) 지도와 1915년 당시 유라시아 교통망 지도를 보여주며 당시 철도망에 대해 설명했다.

그는 이어서 이광수의 유정 등 작품속에 나오는 시베리아 횡단철도, 1937년 연해주에 살았던 고려인 17만~20만 명이 중앙아시아로 이동했는데 당시 블라디보스토크에서 이르쿠츠크, 노보시비르스크-카자흐스탄과 우즈베키스탄까지 철도를 이용하여 이주했던 상황 등을 설명했다.

그는 또한 해방 이후와 분단시기의 철도에 대해서도 설명했다. 남북분단과 함께 경의선과 경원선 등이 단절되었으며, 철도는 분단의 상징이자 동시에 평화의 가능성을 내포한 존재였다고 말했다. 신의주가 고향인 신모씨는 1948년 8월 신의주에서 기차를 타고 사리원과 해주로 이동해서 배를 타고 월남했고 다시 한국전쟁 당시 기차와 배로 부산과 제주도로 이동했던 사연을 소개했다.

이 부총장은 철도의 문화적 지평을 설명하며, 서울역·부산역·대전역 등 주요 기차역과 그 주변의 지역문화를 조명했다. 예를 들어, 대전역 관사촌 인근의 70년 된 대창이발관을 소개하며, 철도역 주변이 상업공간이자 주민들의 삶의 터전으로 기능해 왔다고 강조했다. 그는 철도 개통으로 형성된 도시들에 대해 설명하며, 대전, 이리, 목포를 대표적인 철도 관련 도시로 꼽았다.

그는 이어서 ""제주도에도 철도가 있었다는 사실을 아시나요?""라고 하면서 이야기를 이어갔다. 1929년에 제주순환궤도주식회사가 설립되어 제주 일주 193.1km 순환궤도 건설허가를 받았는데, 1929년 9월 6일 1단계로 협제~김녕간 55.5km 개통되었던 사실을 소개했다. 당시 궤간은 610mm, 차량은 수압식이었으며 2량으로 구성되어 1량은 4인의 여객, 1량은 화물용으로 이용되었으나 잦은 사고로 인해 1931년 9월에 폐선되었다.

이 부총장은 문화적 지평에서 철도와 문학의 관계를 설명하며, 조정래, 김훈, 채만식의 소설 속 철도 장면을 소개했다. 특히 김훈의 '하얼빈', 염상섭의 '만세전', 그리고 무라카미 하루키의 '색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해(2013)'에서도 철도가 중요한 배경이자 상징으로 등장한다고 덧붙였다.

1990년대에는 김정환 시인의 시집 '기차에 대하여'는 철도와 기차를 통해 새 세상을 만들어가는 노동자의 삶을 그렸다고 소개했다."
"""민주주의전당, 목이 터져라 불렀던 민중가요 한 곡 없다""",2025-06-28 05:33:09,윤성효,"""파도 소리만 들리고, 민주주의를 외치면서 당시 목이 터져라 불렀던 민중가요 한 곡 없다. 이게 무슨 대한민국민주주의전당이냐.""

지난 10일 임시운영에 들어간 창원마산 대한민국민주주의전당(아래 민주전당)을 둘러 본 한 관람객이 한 말이다.

민주전당의 전시물이 이승만·박정희 독재를 제대로 나타내지 않고 부실하다는 등 여러 지적을 받는 가운데 과거 민주화 투쟁 당시 불렀던 '저항의 노래'들이 없다는 지적도 받고 있다.

민주전당 상설전시관에는 ""마산 바다에 흐른 시간""이라는 제목의 마산 앞바다를 담은 영상이 나온다. 이곳에는 ""바다는 모든 것을 품고 기억하며 별빛이 일렁이는 내일을 소망합니다""라는 문구가 새겨져 있다. 그 밑에는 ""이 영상은 마산만과 돝섬이라는 상징적인 공간을 통해 민주주의를 위해 싸워온 평범한 사람들의 여정을 되돌아봅니다. 어둠 속에서도 꺼지지 않았던 시민들의 용기와 염원은 하나둘 별이 되어, 마침내 민주주의의 하늘을 수놓게 되었습니다""라는 설명이 되어 있다.

    

영상 화면은 '마산만 잔잔한 물결, 호수와 같은 바다'라든지, '눈부신 봄. 우리의 소망이 빚어낸 희망의 봄', '3·15의거', '부마민주항쟁', '시민', '참여', '소망', '자유', '연대', '빛', '저항', '갈등', '소통' 등의 글자가 나온다. 물결이 일렁이는 영상 속에서는 파도소리만 나올 뿐이다.

민주전당에는 1960년 이승만 자유당정권의 부정선거에 항거에 일어났던 3·15의거, 1979년 10월 박정희 정권의 유신독재체제 철폐를 외치며 부산·마산에서 일어났던 부마항쟁, 1987년 전두환의 4.13호헌조치 발표 뒤 일어난 반독재민주화운동인 6·10항쟁 때 불렀던 노래소리는 들리지 않는다.

3·15의거와 김주열열사의 시신이 마산 앞바다에서 떠오른 뒤 일어난 4·11민주항쟁 때 시민들이 불렀던 노래는 &lt;애국가&gt; &lt;통일행진곡&gt; &lt;전우야 잘 자라&gt; &lt;승리의 노래&gt; &lt;학도호국단 노래&gt; 등이었다.

김주열 열사와 옛 마산상고(현 용마고) 입학 동기인 김영만 열린사회희망연대 상임고문은 ""3·15와 4·11 당시에는, 지금으로서는 도저히 상상이 안 될 정도로 '반공' 관련 노래들이 대부분이었다. 전쟁이 끝나고 나서 얼마 지나지 않은 탓이기도 했다""라며 ""그런데도 3·15와 4·11에 가담했던 시민들이 빨갱이로 몰릴 정도였다""라고 기억했다."
카자흐스탄의 잊혀진 역사,2025-06-28 05:23:48,이승주,"지난 11일부터 20일까지 필자는 아시아평화네트워크 대표이자 비핵평화시민연대 회원으로 활동하고 있는 이대수 목사님이 기획한 실크로드 3국의 중앙아시아 여행에 동참했다. 전체 여행은 6월 11일부터 7월 1일까지 카자흐스탄, 키르기스스탄, 우즈베키스탄을 걸친 기획으로, 필자는 카자흐스탄의 역사와 핵실험 피해, 그리고 연대 차원에서 카자흐스탄 방문 동안에만 함께 했다. 이번 여행에는 우연히도 그 구성에 있어서 목사님들과 함께하는 여행이 되었다. 이춘섭 목사님, 김호열 목사님, 박종국 목사님, 심우철 목사님이 함께 했다.

이번 방문은 지난 3월 비핵평화시민연대 방미증언단이 핵무기금지협약 3차당사국 회의 참가하여 인연을 맺은 카자흐스탄의 반핵운동가들로부터 극진한 환대와 환영을 받았다. 아래 소개할 카자흐스탄 반핵운동가 마이라님은 2025년 3월 핵무기금지협약 3차당사국 회의에서 증언을 하셨고, 비핵평화시민연대 방미증언단의 식사초대로 만나 함께 이야기를 나눈 것이 그 인연이 되었다. 세메이 공항에서 우리를 맞아주었고 3일 동안 핵실험 피해에 대한 역사와 카자흐스탄의 전통에 대해 배울 수 있도록 정말 많은 애를 써주셨다. 

    

세메이에 위치한 본 추모비는 1991년 8월 29일 세메이 핵실험장 폐쇄 10년이 되는 해인, 2001년 건립되었다고 한다. ""죽음보다 강하다""라고 불리는 이 기념비는 버섯구름이 형상화되어있고 그 아래 아이를 지키기 위해 감싸는 어머니의 상이 놓여있다. 이 동상의 높이는 핵실험장이 폐쇄된 29일을 기억하기 위해 29미터의 높이로 건립했다고 한다.

    

세메이 핵실험장에서 마지막 핵실험은 1989년 10월 19일이라고 한다. 우리 방문단을 맞아 환대를 하면서 이곳 추모공간 소개를 해주었던 마이라님과 마이라님이 창립한 카자흐스탄 반핵운동 시민단체 DOM과 Polygon21에 따르면, 소련은 카자흐스탄 사람들의 땅에서 1949년부터 1989년까지 약 456회 이상의 핵실험을 하였고 50만여 명이 희생되었다고 한다. 카자흐스탄의 반핵활동가 아이게림에 따르면, 당시 소련 지도자들은 카자흐스탄의 땅이 '사람이 살지 않는 땅'이라 하며 그곳에 핵실험을 하였다고 한다.

DOM의 현대표 마이라님에 따르면, 공식적으로 피해자로 인정받아 건강수첩을 가지고 지원을 받는 분의 수가 약 150만여 명이라고 한다. 카자흐스탄의 경우에 소련이 1949년에서 1989년 실험할 당시 그 곳에 거주하지 않은 분들은 피해자로 인정받지 못하고 있다고 한다. 

건강수첩을 받는다고 하더라도 그 증상에 따라 그 보상도 다르다고 한다. 건강수첩의 제도에 대해서 모르는 분들도 많은데다가 유전으로 인한 2세 3세의 피해까지 감안하면, 사각지대에 있는 피해자의 수와, 피해의 규모는 훨씬 클 것으로 짐작된다. 한국의 히로시마와 나가사키 원폭 피해자 2세, 3세분들이 피해자로 인정받지 못하고 있는 현실과 크게 다르지 않다.

    

카자흐스탄 세메이를 방문하였을때 극진히 환대를 해주셨던 사진에 보이는 분이 마이라님이다. 수학교사로 지내며, 대학교에서도 짧은 기간 교직 생활을 하셨다고 한다. 그러던 어느 날 마이라님의 가족이 매해 한분 한분 암으로 돌아가셨다고 한다. 남편과 남동생, 어머니이 모두 암으로 돌아가신 후 2021에 폴리곤21을 창립하고 현재는 카자흐스탄분들의 주거문제를 위한 DOM단체를 만들어 활동을 하고 계신다고 한다. 주거문제 해결을 위한 단체이기는 하지만 반핵운동은 여전히 마이라님의 중심 활동이라고 한다."
"삼풍 후 30년, 6.29언니와 4.16동생 찌른 ""집값 떨어진다""는 말",2025-06-28 05:15:27,이진민,"""(돌아가신) 동생이 몇 살인데요?""
""그때 23살이었고, 나이는 73년생.""
""동생이 나랑 동갑이네? 내 언니였네! 우리 언니가 여기 왔네, 이제 왔네...""

첫인사 대신 그들은 서로를 말없이 끌어안았고, 어깨동무한 채 위령탑으로 향했다. 세월호 참사 유족 장순복씨는 삼풍 참사 유족 정군자씨를 ""우리 언니""라고 불렀다. 그런 순복씨를 군자씨는 세상을 떠난 동생을 대하듯 애틋하게 바라봤다.

&lt;오마이뉴스&gt;는 삼풍백화점 붕괴 참사 30주기(6월 29일)를 앞두고 지난 17일 서울 서초구 양재시민의숲에 있는 삼풍 참사 위령탑에서 두 사람을 만났다. 이들은 ""여전히 사람 목숨을 최우선으로 여기지 않는 비상식적인 나라에 살고 있다""며 ""사회가 그간 발생한 참사들을 외면했고 제대로 기억하지 않았다. 이제 시스템을 바꿔 안전한 사회를 구축해야 한다""고 목소리 냈다.

그러면서 ""대한민국에서 유가족으로 살아간다는 건 힘든 일이다. 온전한 추모 대신 끊임없이 싸우며 세상에 알려야 한다""라며 ""계속해서 반복되는 참사를 지켜보는 것도 괴롭다""고 고백했다.

'노래'로 인연 맺은 두 사람

    

정씨는 '생애 마지막'이란 심정으로 올해 삼풍 참사 30주기 추모식을 준비했다. 작년부터 항암치료를 시작하며 '언제까지 살아있을지' 걱정이 들어서다. 하지만 정씨의 분주한 마음이 허탈해진 순간도 있었다. 그는 ""서초구청에서 '구청장이 시간상 추모식에 참석하기 어렵다'고 전달했다""며 ""시커멓던 위령탑도 유족 한 분이 추모식을 위해 일주일 넘게 닦았다. 이것도 원래 서울시가 관리해 주기로 했다""고 속상함을 내비쳤다.

그런 정씨의 모습에 장씨는 깊이 공감했다. 그는 ""삼풍 참사 유족들을 보면 꼭 미래의 내 모습 같아 마음이 아프다""며 ""나도 그분들처럼 얼마나 아프고 모질게 싸워야 할지, 그때까지 살아있을지 걱정이 든다""고 털어놨다. 두 사람의 인연은 2022년으로 거슬러 올라간다. 추모식 때마다 추모곡이 없어 애국가를 불러야 했던 삼풍 참사 유가족들이 416합창단을 찾아갔기 때문이다."
"""억울한 옥살이에 마침표를"" 김용 전 민주연구원 부원장 석방 촉구 탄원",2025-06-28 04:57:29,박정훈,"""억울하게 수감중인 김용 부원장의 파기환송 및 조속한 석방을 탄원합니다.""

김용 전 민주연구원 부원장의 파기환송과 조속한 석방을 촉구하는 탄원 호소의 목소리가 나오고 있다.

27일 검사를 검사하는 변호사모임 오동현 상임대표, 임윤태 공동대표, 민생경제연구소 안진걸 소장은 탄원서를 통해 ""2022년 제20대 대선 직후 검찰 특수부의 정치적 수사로 억울한 누명을 쓰고 3년째 수감 중""이라며 ""정치검찰의 표적이 되어 법적 원칙이 무시된 재판이 진행됐다""고 주장했다. 이어 ""이번 사건은 무죄추정의 원칙, 증거재판주의, 검사의 객관의무 등 형사사법의 기본 원칙을 정면으로 위반한 것""이라며 ""정치검찰이 만들어낸 기획수사와 언론플레이에 의해 여론재판이 이뤄졌다""고 강력 비판했다.

이들은 ""20대 대선에서 윤석열 검찰 정권을 탄생시킨 최대의 사건은 대장동""이라며 ""검찰 수사의 주요 인물인 유동규 전 성남도시개발공사 기획본부장은 위례신도시 개발사업에서의 뇌물 수수, 유원홀딩스를 통한 11억 8천만 원의 불법 자금 수수 등 중대한 범죄 혐의가 있음에도 불구하고, 김 전 부원장의 체포 다음날인 2022년 10월 20일 석방됐다""고 목소리를 높였다."
"미 대법원, 트럼프 출생시민권 제한 정책에 힘 실어",2025-06-28 04:53:37,박정길,"27일(현지시각), 미국 대법원이 도널드 트럼프 대통령이 추진한 출생시민권 제한 행정명령과 관련해 하급심의 '전국 효력 중단' 가처분에 제동을 거는 판결을 내렸다. 대법원은 보수 성향 대법관들이 주도한 6대 3 판결을 통해, 하급심이 내린 전국 단위 정책 중단 명령의 효력을 소송을 제기한 주와 당사자에게만 제한적으로 적용해야 한다고 결정했다.

이 판결로 인해 트럼프 대통령의 출생시민권 제한 정책은 오는 30일 후부터 일부 주에서 시행될 가능성이 열렸다. 전국 단위의 정책 시행을 막을 수 없게 되면서, 주별로 상이한 정책 적용이라는 혼란이 현실화될 수 있다는 우려도 제기된다.

트럼프 대통령은 판결 직후 ""헌법, 삼권분립, 법치주의의 중대한 승리""라며 환영의 뜻을 밝혔다. 그는 ""출생시민권 제한뿐만 아니라, 피난처 도시(Sanctuary City)에 대한 연방자금 중단, 난민 재정착 프로그램 중단, 불필요한 연방 지출 동결, 연방 납세자의 세금으로 진행된 트랜스젠더 수술 비용 지원 중단 등 다양한 정책을 신속히 추진할 수 있게 됐다""고 강조했다.

보수 진영에서는 ""대통령 권한의 대승리""라는 평가가 쏟아지고 있다. 조지 W. 부시 행정부에서 법무부 차관보를 지낸 존 유 UC버클리 로스쿨 교수는 폭스뉴스와의 인터뷰에서 ""이번 판결은 대통령직에 있어 큰 승리""라며 ""대통령이 국민에 의해 선출된 권한자로서 자신의 정책을 추진할 수 있도록 법원이 그 정당성을 인정한 셈""이라고 밝혔다.

반면 민주당과 진보 진영, 인권단체들은 강하게 반발하고 있다. 민주당 소속 22개 주 정부와 이민자 권리 단체들은 ""출생시민권은 수정헌법 제14조에 명시된 권리""라며 즉각 위헌 소송을 제기했다. 미국시민자유연맹(ACLU)은 ""이번 행정명령은 명백히 불법이고 잔혹하다. 그 누구에게도 적용되어선 안 된다""고 비판했다."
'비전시 계엄'? 우린 그걸 내란이라 부르기로 했어요,2025-06-28 04:30:16,참여연대,"지난 6월 3주차에는 윤석열의 공판, 조지호 김봉식 공판이 있었습니다. 국회의 계엄 해제 요구 결의안 의결 직후 윤석열의 행적과 발언에 대한 검증, 군과 경찰이 주요 정치인을 체포하기 위해 협력했던 과정에 대한 검증이 진행됐습니다.

이번 주에는 세개의 재판이 모두 한번씩 공판을 진행했는데요, 김용현 추가 구속영장 발부와 윤석열 체포영장 기각 등 굵직한 이슈들도 많았습니다. 특히 조은석 특검의 종횡무진이 돋보였는데요. 군사재판 근황까지 포함해서 돌아봅니다.

1. '비전시 계엄' 우린 그걸 내란이라 부르기로 했어요 : 윤석열 재판(2025고합129)

지난 23일(월)에는 윤석열의 8차 공판이 있었습니다. 이날은 조은석 내란 특검이 공소유지를 인계받은 후 첫 공판이었는데요, 박억수 특검보가 처음으로 출석했습니다. 박 특검보가 재판부에게 주요 피고인들의 구속 만료 석방을 막기 위해 재판 진행을 더 서둘러달라고 요청하자, 윤석열의 변호인도 특검법이 위헌이라며 일장연설을 늘어놓는 등 신경전이 오가기도 했습니다.

증인으로는 이재식 합참 전비태세검열차장, 권영환 합참 계엄과장이 차례대로 출석했는데요, 계엄 선포 직후부터 계엄군이 철수할때까지 합참 전투통제실의 상황을 진술했습니다. 둘은 공통적으로 당시는 계엄 선포가 가능한 상황이 아니었다고 증언했습니다. 또한 국회에 침투한 계엄군이 시민들의 저항에 가로막히자, 박안수 계엄사령관이 제2신속대응사단(헬기 투입이 가능한 부대)을 언급하면서 출동 가능하냐 확인해보라고 했다고 증언했습니다.

특히 권영환 계엄과장은 국회가 계엄 해제 결의안을 통과시킨 직후 계엄을 즉각 해제해야 한다고 박안수 육군참모총장(계엄사령관)에게 말했지만, 오히려 박안수는 ""일이 되게끔 만들어야지, 너는 일머리가 없다, 왜 그런 말을 하냐""라며 핀잔을 줬다고 증언했습니다. 이는 계엄군이 헌법에 따른 국회의 계엄 해제 결의조차 무시하고 내란 상태를 지속하려 했다는 중요한 진술입니다.

그 외에도 권영환 증인은 계엄이 선포된다고 해도 모든 군부대가 자동으로 계엄임무수행군이 되지 않는다며, 방첩사령부나 특전사령부가 계엄임무를 수행하려면 국방부장관의 제청으로 대통령의 재가를 받아야 했지만 그런 절차가 없었다고 지적했습니다. 또한 합동참모의장이 아닌 육군참모총장이 계엄사령관이 되는 경우도 없으며, 계엄은 애초에 전시를 상정한 것이지 비전시 상황에 선포되는 계엄은 없다고 지적했습니다. 12.3 비상계엄은 선포 전 뿐 아니라 선포 후 실무단계에서도 절차를 크게 위반했다는 점을 드러낸 것입니다.

그러자 윤석열은 또다시 재판 말미에 직접 발언했습니다. 계엄의 전례들을 나열하면서, '실제로 국가비상사태, 전쟁이 터지면 합참의장은 국지전이나 전면전을 대비해야 하기 때문에 계엄 업무를 할수 없다, 그래서 육군참모총장을 지정한 것'이라는 취지로 주장했습니다. 12.3 비상계엄이 국민들에게 ""메세지""를 전하기 위한 계엄이기 때문에 일반적 계엄 매뉴얼과는 다르다는 것입니다. 그런데, 12월 3일에는 그 어떤 전시나 그에 준하는 비상사태도 없었습니다. 국정 최고책임자로써의 책임감은 커녕, 자기가 무슨말을 하고 있는건지도 모르는것 같습니다.

오늘 재판 이후로 윤석열 재판은 한동안 매주 목요일에 진행이 됩니다. 다음 공판 기일은 7월 3일인데요, 권영환 증인에 대한 추가 신문에 이어 중앙선관위 점거에 투입되었던 고동희 정보사령부 계획처장이 출석할 예정입니다. 12.3내란의 세가지 사실관계 중 국회 침투 과정에 대한 검증을 일단락 내고 선관위 점령 관련 검증에 들어가는 것입니다.

2. 정치인 체포 작전, 예비 감옥까지 확보하려 했다 : 조지호, 김봉식, 윤승영 등 재판(2025고합51)

25일(수)에는 조지호, 김봉식 등 경찰 간부들의 10차 공판이 있었습니다. 이 재판 역시 내란특검이 공소유지에 참여했는데요. 이날은 국방부 조사본부의 이상민 반부패수사단 수사팀장, 수도군단 군사경찰의 백철기 단장 등이 출석했습니다.

조사본부 소속 간부들이 출석한 이유는, 당시 여의도에서 방첩사와 국가수사본부가 합동으로 조를 편성할때 국방부 조사본부 인원들도 함께 편성되었기 때문입니다. 이상민 수사팀장은 당시 국회로 출발한 이후 방첩사 김기령 중령의 통제를 받아 국회로 향했는데, 당시 상관으로부터 검은옷에 마스크를 착용하고, 조사본부 휘장을 부착하지 말고, 수갑을 챙기라는 등의 지시를 받았다고 증언했습니다.

뒤이어 출석한 백철기 단장은 여의도에서 사람들이 체포되면 수도방위사령부 B1벙커 뿐만 아니라 군사경찰단 미결수용실의 수용자들을 다른 곳으로 옮겨 빈방을 만들면서까지 구금하려 했던 정황을 증언했습니다. 당초에 알려진 14명의 정치인 및 언론인 명단 뿐 아니라 훨씬 많은 수의 사람들을 대규모로 체포하는 것까지 고려했다는 것입니다. 다만 백철기 단장은 비상계엄이 '중학생정도만 되어도 이 계엄이 말도안되는 것라는걸 알 것'이라고 생각했다며, 기존 수용자들을 깨우지 말라고 지시했다고 증언했습니다.

이날 출석한 증인들은 여의도에서 벌어진 군과 경찰의 정치인 체포 합동작전에 국방부 조사본부의 관여 정황을 증언했는데요, 국방부 조사본부는 국방부장관, 즉 김용현 직속의 군 내 수사기관입니다. 체포 대상 14명의 명단 작성자가 김용현으로 추정되고, 방첩사령관 여인형이 김용현의 지시를 받아 조지호 경찰청장에게 협력을 요청한 만큼, 향후 국방부 조사본부 고위 간부가 나오면 김용현 – 여인형 – 조지호 사이의 소통 과정이 검증될 것으로 예상됩니다."
"""사회복지·돌봄임금은 어떻게 결정되는가?""",2025-06-28 04:14:31,김호세아,"지난 26일 오전 서울 여의도 국회에서는 공공운수노조, 공공운수노조 사회서비스협의회, 더불어민주당 이수진 국회의원 공동주최로 사회복지 현장의 임금문제에 대해 머리를 맞대는 토론회가 진행되었다.

""사회복지·돌봄임금은 어떻게 결정되는가?""라는 주제로 진행된 '공공운수노조 사회서비스 최저임금 토론회'에는 학자, 노조, 정부부처 관계자 등이 참석해 사회복지 현장 임금문제에 대해 의견을 교환했다.

발제는 두 개의 주제로 이뤄졌다. 조선대학교 행정복지학부 문용필 교수는 '장기요양시설 요양보호사의 임금 결정 요인 및 관련쟁점' 발제를 맡았으며, 일하는시민연구소의 윤정향 연구위원은 '사회복지·돌봄노동자의 처우개선에 대한 고찰'이라는 주제로 발제했다. 문용필 교수는 발제를 통해 윤석열 정부의 장기요양위원회에 양대노총 배제, 요양보호사에 대한 목소리 대변이 잘 안 이뤄지고 있는 상황 등을 언급했다.

윤정향 연구위원은 ""사회복지·돌봄노동자의 임금체계와 임금 수준의 결정 키는 정부가 쥐고 있다""라면서 정부가 예산을 어떻게 쓸거냐의 문제하고 연관이 돼 있다고 말했다. 윤 연구위원은 '사회복지 종사자 인건비 가이드라인'이 정규직·장기근속 노동자에게 유리한 임금구조라고 이야기하면서 제1조(목적) ""장기근속을 유도하고 전문성을 높이고 사회복지 증진에 기여""라는 문구에 대해 전체 사회복지·돌봄노동자의 저임금 불안정 일자리와는 격차가 있다고 지적했다."
"부천시, 카이스트와 손잡고 '스마트 모빌리티 도시' 준비",2025-06-28 04:04:08,박정길,"부천시가 인공지능(AI) 기술과 교통 데이터를 함께 활용하는 미래형 교통 도시, 이른바 '스마트 모빌리티 도시'로 나아가기 위한 준비에 본격적으로 나섰다.

26일 부천시는 카이스트(KAIST)와 부천도시공사가 '부천시 교통데이터 활용을 위한 업무협약(MOU)'을 체결했으며, 앞으로 국내외 다양한 연구기관과 협력해 AI를 활용한 도시 교통 시스템을 만들겠다고 발표했다.

이번 협약은 부천시 전역 286개 교차로와 1453개 폐쇄회로(CC)TV에서 실시간으로 수집되는 방대한 교통데이터를 개방하고, 이를 인공지능 모빌리티 분야 연구 및 실증에 활용하도록 하는 내용을 담고 있다. 부천시는 이를 계기로 자율주행, 교통예측 분석 등 차세대 교통 시스템 개발에 필요한 기반을 민·관·학 협력으로 확대할 방침이다.

부천시 스마트교통팀 관계자는 27일 기자와의 통화에서 ""이번 협약은 정부의 디지털 모빌리티 정책 흐름에 부응하면서, 부천시가 보유한 ITS(지능형교통체계) 인프라를 활용해 중장기적인 기술 교류와 연구개발로 나아가기 위한 사전 포석""이라고 밝혔다. 그는 ""카이스트는 AI 교통 분야에서 국내 최고 수준의 연구기관이고, 부천시는 실증 가능한 교통 인프라를 갖추고 있어 시너지 효과가 기대된다""고 덧붙였다."
