제목,날짜,기자명,본문
휠체어 밀며 김건희 퇴원 도운 윤석열hellip;quot;왜 휠체어를 타고 나와? 제대로 수사받길quot;,2025-06-28 15:34:23,미상,"최종편집 2025년 06월 28일 15시 04분 휠체어 밀며 김건희 퇴원 도운 윤석열…""왜 휠체어를 타고 나와? 제대로 수사받길"" 이소영 더불어민주당 의원이 윤석열 전 대통령 부인 김건희 전 코바나 대표가 퇴원한 모습을 두고 ""휠체어를 타고 나와서 의아했다""고 평가했다. 최근 우울증 등 증세로 병원에 입원했던 김건희 전 대표는 입원 11일만에 휠체어를 타고 퇴원했다. 윤 전 대통령은 병원을 찾아 김 전 대표를 마중했고, 직접 휠체어를 밀며 퇴원을 도왔다. 이 의원은 27일 CBS라디오에 출연해 ""보통은 재벌 회장님들이나 높은 정치인 분들 또는 그에 상응하는 권력을 가지고 계신 분들이 수사 대상이 됐을 때 그런 모습을 자주 연출했던 것 같다""며 이 같이 말했다. 이 의원은 ""그럼에도 불구하고 어쨌든 김건희 여사 측에서 수사를 제대로 받겠다 피할 생각이 없다 이런 입장을 냈었기 때문에 그 약속이 지켜지면 좋겠다""며 ""특검 혐의가 16개가 될 정도로 지난 3년 동안 논란과 혐의의 당사자였다""고 주장했다. 이 의원은 ""사실 수사에 응했던 거는 작년에 경호처 비공개 공간에서 검사들 핸드폰까지 다 압수하고 그렇게 황제 조사 받았던 한 번이 전부지 않는가""라며 ""그래서 이거는 다른 공직자나 정치인 공인 또는 일반 국민들하고 비교해 보더라도 상식적이지 않다. 그래서 이번에 약속대로 하신 말씀대로 제대로 수사받기를 바란다""고 촉구했다. 2009년 프레시안에 입사한 이후, 사람에 관심을 두고 여러 기사를 썼다. 2012년에는 제1회 온라인저널리즘 '탐사 기획보도 부문' 최우수상을, 2015년에는 한국기자협회에서 '이달의 기자상'을 받기도 했다. 현재는 기획팀에서 일하고 있다. 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved."
세월호 진상규명과 책임자 처벌을 약속하라,2025-06-28 15:34:24,미상,"최종편집 2025년 06월 28일 15시 04분 세월호 진상규명과 책임자 처벌을 약속하라 우리 속담에 ""부모가 죽으면 산에 묻지만, 자식이 죽으면 가슴에 묻는다""고 한다. 세월호 참사로 생때같은 자식을 잃은 부모의 마음은 단장의 고통이 아닐까. ""내가 죽고 네가 사는 게 올바른 이치인데 네가 죽고 내가 사는 것은 무슨 괴상한 이치란 말인가. 온 세상이 깜깜하고 해조차 색바래 보인다. 슬프다! 내 작은 아들, 나를 버리고 어디로 갔느냐?"" 이는 이순신이 정유재란 때 셋째 아들 '이면'의 전사 소식을 듣고 <난중일기>에 쓴 글이다. 얼마나 아팠을까? 창자가 끊어지는 고통이었을 것이다. 11년 전 세월호 유가족들의 심정이 그랬을 것이다. 2014년 4월 16일, 대한민국은 초상집과 유가족이 되었다. 그날 차가운 진도 앞바다에 가라앉은 건 단지 세월호만이 아니었다. 그 안에는 수많은 꿈과 희망도, 미래도, 그리고 반드시 지켜졌어야 생명도 침몰하고 말았다. 세월호는 왜 침몰했는지? 아이들은 왜 구조하지 않았는지? 왜 죽어야 하는지 이유조차 모른 채 별이 된 아이들! 세월호의 진실을 밝히는 게 그렇게 복잡하고 어려운 일이란 말인가? 세월호 참사가 일어난 지 11년이 지났지만, 아무것도 해결된 게 없다. 세월호 진상규명과 책임자 처벌이 11년 동안 표류하고 있다. 그동안 특별법에 따른 정부 차원의 두 개의 조사위, 곧 선체조사위원회(2017)와 사회적 참사 특별조사위원회(2018)가 활동했다. 세월호 선체가 목포 신앙에 거치된 뒤 특별조사기구인 선조위가 출범하여 침몰원인을 조사했다. 선조위는 2018년 8월 활동을 종료한 뒤 두 개의 결론을 담은 보고서를 내놓았다. 그것이 '내인설'과 '열린설'이다. 내인설은 복원성 불량에 초점을 두었고, 열린설은 외력 가능성에 무게를 두었다. 또 2022년 6월에 활동을 종료한 사참위는 ""외력 가능성을 조사했지만, 외력이 침몰원인인지 확인되지 않았다""는 확실하지 않은 결론을 내렸다. 사실, 두 개의 국가 조사위가 출범하기 전에 세월호 침몰원인에 대한 중앙 해양안전심판원은 특별조사부를 꾸려 조사를 진행했다. 사고 8개월여 만인 2014년 12월 29일, 중앙 해심의 특별조사부는 침몰원인을 '복원성 불량'으로 발표했다. 이것은 앞선 검찰 수사 결과와 같은 내용이었다. 여기서 의문이 든다. 세월호 선체가 인양되지 않은 상태에서 해심은 왜 침몰원인을 '복원성 불량'에 무게를 둔 섣부른 결론을 내렸을까? 또 두 개의 특별조사기구인 선조위와 사참위가 명확한 침몰원인을 규명하지 못했는데 목포 해심은 10년 7개월 만인 2024년 11월 26일에 사실상 선조위의 내인설(복원성 불량)을 채택한 것이다. 그것도 12.3 내란이 일어나기 일주일 전이다. 윤석열 정부는 왜, 무엇 때문에 서둘러 세월호 침몰원인을 '내인설'로 결론을 내렸을까? 이에 더욱 의문이 드는 것은 세월호 침몰원인을 한결같이 '내인설'로 결론지으려고 했다는 것이다. 이에 세월호잊지않기목포지역공동실천회의(이하 세월호잊지않기실천회의)는 25년 2월 총회에서 4.16연대..."
"포항향토청년회, 신축 회관 개관hellip; 지진 피해 8년 만에 새 출발",2025-06-28 15:34:26,미상,"최종편집 2025년 06월 28일 15시 04분 포항향토청년회, 신축 회관 개관… 지진 피해 8년 만에 새 출발 “단합된 힘으로 더 큰 포항향청 만들자” 경북 포항 지역 청년들의 중심 단체인 포항향토청년회(이하 ‘포항향청’)가 지난 2017년 포항 지진으로 회관이 전파된 이후 8년 만에 새 보금자리를 마련하고 새로운 도약을 시작했다. 포항향청은 지난 27일 포항시 북구 장성동 1589-9 일원에서 신축 회관 개관식을 갖고 본격적인 활동 재개를 알렸다. 이날 개관식에는 이강덕 포항시장, 김일만 포항시의회 의장을 비롯해 지역 정치인과 향청 회원들이 대거 참석해 회관 개관을 축하했다. 신축 회관은 연면적 959㎡ 규모로, 1층에는 대회의실과 대식당, 2층에는 대연회장 겸 공연장이 조성돼 있어 청년들의 교류와 지역 사회와의 소통 공간으로 활용된다. 이강덕 포항시장은 축사를 통해 “지진이라는 아픔을 딛고 다시 일어선 포항향토청년회의 새로운 출발을 진심으로 축하드린다”며 “청년들이 주축이 되어 더 큰 포항을 만들어가는 데 힘이 되어주길 바란다”고 전했다. 오무환 포항향청 회장은 “이 회관은 포항을 사랑하는 많은 이들의 열정과 정성이 모여 완성된 공간”이라며 “앞으로 서로의 생각을 존중하고, 단합된 힘으로 더욱 발전하는 포항향청을 만들어 가자”고 강조했다. 포항향청은 지역의 미래를 이끌어갈 청년 리더 양성과 지역 사회 공헌 활동을 이어오고 있는 대표적인 청년단체다. 그러나 지난 2017년 11월 포항 지진으로 기존 북구 환여동 회관이 완파되면서 임시 사무실에서 활동을 이어가야 했다. 협소한 공간과 불편한 환경에도 꿋꿋이 활동을 이어온 포항향청은 이번 신축 회관 개관을 계기로 다시 한 번 조직의 정체성과 활동력을 강화해 나갈 방침이다. 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved."
[인사] 청도군,2025-06-28 15:34:27,미상,최종편집 2025년 06월 28일 15시 04분 ▲문화예술체육과장 윤은경 ▲건강증진과장 정경령 ▲화양읍장 이화일 ▲농촌기술지원과장 양태식 ▲친환경농업과장 변태연 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved.
[인사] 경주시,2025-06-28 15:34:28,미상,최종편집 2025년 06월 28일 15시 04분 ▲경제정책과 김지연 ▲문화예술과 김현수 ▲안강읍 지역개발과 김홍진 ▲외동읍 오귀애 ▲건설과 오선혜 ▲회계과 이장호 ▲아동청소년과 이정림 ▲대외소통협력관 최경돈 ▲총무새마을과 추승아 ▲세정과 최선례 ▲미래전략실 송영경 ▲아동청소년과 김신희 ▲회계과 김광호 ▲건축허가과 이동희 ▲안강읍 지역개발과 조석후 ▲보건행정과 이가영 ▲보건행정과 윤여진 ▲농촌활력과 배정용 ▲건설과 조용민 ▲안강읍 지역개발과 안창규 ▲도로과 이동진 ▲상수도과 이태훈 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved.
"국힘, 또 나토 타령hellip;대통령 광주 방문 비판하며 트럼프 떠난 quot;나토 갔어야quot;",2025-06-28 15:34:29,미상,"최종편집 2025년 06월 28일 15시 04분 국힘, 또 나토 타령…대통령 광주 방문 비판하며 트럼프 떠난 ""나토 갔어야"" 대통령 일정 비난까지…""광주 가시는 건 그렇게 급한 것 아닌거 같고"", ""내년 선거 앞두고 선심 공약하며 선거운동"" 이재명 대통령의 나토(NATO, 북대서양조약기구) 정상회의 불참을 비판하던 국민의힘이 대통령의 광주 방문에 대해 급한 일이 아닌 것 같다며 공세를 이어갔다. 그런데 일본과 호주 총리가 모두 불참했고 IP4 국가 중에 유일한 정상급 참석 인사였던 뉴질랜드 총리는 도널드 트럼프 미국 대통령과 만나지 못했다. 27일 국회 외교통일위원회에서 국민의힘 김건 의원은 ""(트럼프 대통령이) 화란(네덜란드)의 야당 대표도 만났더라. 우리 대통령께서 이번에 나토 정상회담을 가졌으면 한미 정상회담을 가지는 건 그렇게 어렵지 않았을 거라는 생각이 든다""라며 이 대통령의 나토 정상회의 불참을 언급헀다. 이에 대해 박윤주 외교부 1차관은 ""제가 여기서 말씀을 드리기가 어려운 점은 있는데 여건 자체는 그렇게 정식 회담을 갖기에는 수월한 상황은 아니었다""라고 답했다. 김 의원은 ""(트럼프 대통령이) 네덜란드 야당 대표도 만난다는데 대한민국 대통령을 시간이 없어서 못 만난다는 뜻이냐""고 묻자 박 1차관은 ""여러 가지 미측과 소통을 한 상황에 따른 판단""이라고 말했다. 김 의원은 ""미국과 소통해 보는데 확정이 될지 안 될지 좀 모르겠으니까 아예 위험 요소를 피하기 위해서 안 가셨다는 이야기냐""라고 묻자 박 1차관은 ""어떤 그런 단일 요소에 의해서 내려진 결정이라기보다는 국정 전반과 외교를 따져서 한 종합적 판단""이라고 밝혔다. 그러자 김 의원은 ""그 종합적 판단을 국민들이 납득을 못 할 것 같다. 국내 일정 뭐 이렇게 얘기하셨는데 광주 가셨지 않았나? 광주 가시는 건 그렇게 급한 거 아닌 것 같고""라며 대통령의 국내 일정의 중요성 여부에 대해 문제 삼았다. 국민의힘 김기현 의원은 이재명 대통령이 울산과 광주 등 지방을 방문해 '타운홀 미팅' 형식의 만남을 가지는 것을 두고 ""대통령이 각 지역을 순방하면서 내년 지방선거를 앞두고서 지역 지역용 선심 공약을 하며 선거 운동하고 계시는데, 무슨 긴급한 현안이 있었냐""며 나토 정상회의에 참석하지 않을 정도의 긴급한 일은 없다고 주장하기도 했다. 국민의힘 외통위 위원들은 23일 이 대통령의 불참을 문제 삼으며 한국만 빠지는 것이 문제라고 주장했는데, 나토의 인도·태평양 파트너국인 'IP4'(Indo-Pacific 4)의 네 나라 중 한국뿐만 아니라 일본과 호주도 이번 회의에 참석하지 않았다. 뉴질랜드의 크리스토퍼 럭슨 총리만이 네 나라 정상급 인사 중에서는 유일하게 이번 회의에 참석했는데, 트럼프 대통령과 면담은 성사되지 않아 ""한미 정상회담을 할 수 있는 기회"" 였다는 야당의 지적이 설득력이 떨어진다는 관측도 나온다. 더불어민주당 김영배 의원은 ""뉴질랜드 총리가 트럼프 대통령을 만났나?""라고 물었고 박 1차관은 ""만나지 못했다""라고 답했다. 김 의원은 ""IP4 국가들이 초청이 되기는 했지만..."
학생들이 한국어를 배우는 동안 나도 그들에 대해 배웠다,2025-06-28 15:34:31,미상,"최종편집 2025년 06월 28일 15시 04분 학생들이 한국어를 배우는 동안 나도 그들에 대해 배웠다 지난 5월 스승의날을 맞아 직장갑질119와 온라인노조 한국어교원지부가 '교단 너머 이야기'라는 이름으로 한국어교원 수기 공모전을 열었다. 수기에는 외국인이 한국을 접하며 처음 만나는 선생님이자 초단기 계약과 공짜 노동에 시달리는 비정규직 노동자인 한국어교원들이 겪는 고충, 그리고 애환이 담겼다. 세 편의 수상작을 최우수상 한 편과 우수상 두 편 순으로 싣는다. 편집자 ""선생님, 한국어는 진짜로 왜 이렇게 어려운 거예요?"" 그날도 평소처럼 수업을 마친 뒤였다. 아직 환기가 덜 된 교실 안엔 따뜻한 햇살이 창가에 걸려 있었고, 학생 하나가 책상을 정리하다 말고 나에게 툭 하고 말을 던졌다. 그 학생의 손엔 낡은 한국어 수업 노트가 들려 있었고, 그 사이사이엔 손때 묻은 낱말 카드가 삐죽삐죽 튀어나와 있었다. 자세히 보니 몇 장은 테이프로 붙여놓기까지 했더라. 이마에 땀방울까지 맺힌 걸 보니, 한국어라는 낯선 언어와 오늘도 치열하게 싸운 흔적이었다. 나는 피식 웃으며 되물었다. ""그럼 중국어는 배우기 쉬울까?"" 학생은 잠깐 멈칫하더니, 눈을 동그랗게 뜨고 어깨를 으쓱하며 말했다. ""솔직히… 그것도 잘 모르겠어요. 저도 가끔 중국어 단어 중에 처음 보는 게 있어요. 그런데 한국어는… 뭔가 더 무서워요. 조사 하나만 잘못 써도 전혀 다른 뜻이 되잖아요. 단어도 무섭게(?) 생긴 게 많고요!"" 그 말에 교실은 금세 웃음바다가 됐다. 나도 한동안 웃음을 멈추지 못했다. 그러다 문득 마음속에서 무언가가 스르르 내려앉았다. 이 학생에게 한국어는 단순한 언어가 아니었다. 매일 도전해야 하는 거대한 미로 같았고, 익숙해지기 어려운 외국의 세계였다. 그러나 그 한마디는 나를 다시 일으켜 세웠다. ""그래도 너희들은 선생님이 기대한 것보다 훨씬 잘하고 있어. 겁먹지 마. 너희가 한국어를 배우는 동안, 선생님도 그 덕분에 매일 중국에 대해, 배움의 진심에 대해 배우고 있거든."" 학생은 어깨를 으쓱이며 웃었다. ""그럼 우리, 선생님이랑 같이 공부하는 전사들이네요?"" 나는 손을 들어 그와 하이파이브를 했다. 어설픈 동작이었지만 그 속에는 언어를 넘어선 따뜻한 연대감이 있었다. 후난성 창사. 중국 화중 지역에 위치한 이 도시는 나에게 단순한 거주지가 아닌 '두 번째 고향'이다. 2017년 9월, 나는 이곳에서 처음으로 정식 한국어 강사로 강단에 섰다. 그때의 떨림은 지금도 생생하다. 교탁 앞에 선 나는, 눈앞의 학생들이 나를 어떻게 받아들일지 몰라 숨조차 조심스럽게 쉬었다. 그 학기의 수업 중 하나는 'K-드라마로 배우는 한국어'였고, 교재는 '이태원 클라쓰'였다. 박새로이의 고집과 신념, 그의 말투와 감정을 따라가며 학생들은 자연스럽게 한국어의 억양과 문장을 익혔다. ""선생님! '개떡같이 말해도 찰떡같이 알아듣는다'는 표현 진짜 너무 멋져요!"" 학생 하나가 환호하듯 외쳤고, 그 말은 곧 우리 반의 별명이 되었다. 서로를 '찰떡 조'라 부르며 우리는 점점 말보다 마음..."
이춘석 quot;민생 위해 싸우는 게 맞다quot; vs 조배숙 quot;폭주 막기 위해 싸우겠다quot;,2025-06-28 15:34:32,미상,"최종편집 2025년 06월 28일 15시 04분 이춘석 ""민생 위해 싸우는 게 맞다"" vs 조배숙 ""폭주 막기 위해 싸우겠다"" 전북 여야 정치권 법사위원장 선출 대립각 국회 법제사법위원장에 4선의 전북출신 이춘석 더불어민주당 의원이 27일 선출된 것과 관련해 전북 여야 정치권이 극한의 대립각을 형성하고 있다. 이춘석 법사위원장은 이날 페이스북에 '민생을 위해서라면, 싸우는 게 맞다'는 글을 올리고 ""지금 법사위는 여야 정쟁의 최전선에 서 있다. 저는 법사위에서 싸워야 한다고 생각한다""고 주장했다. 이춘석 위원장은 ""정쟁이 아니라, 어렵고 힘든 국민들을 위한 정책적 대안을 놓고 싸우는 경쟁의 장이 됐으면 좋겠다""며 ""법사위 소관 권력기관들이 약하고 어려운 국민들을 대변해 정의를 실현하는 기관이 될 수 있기를 바란다""고 강조했다. 이 위원장은 ""법사위에서도 민생을 보호하는 법을 만들고 정책을 펴는 상임위로 변화할 수 있도록 최선을 다하겠다""고 언급, 시급히 처리해야 할 법안에 대한 의지를 강하게 피력했다. 하지만 야권의 호남 유일 현역인 국민의힘 조배숙 전북자치도당위원장은 상임위원장의 일방적 선출을 민주당의 폭거로 규정하고 강력히 반발하고 있다. 조배숙 위원장은 이재명 정부와 민주당의 폭거를 막기 위해 강하게 싸우겠다며 27일부터 국회 철야 농성에 돌입했다. 조 위원장은 ""그동안 법사위원장은 정부 견제를 위해 야당에서 맡아왔다. 민주당은 이러한 오랜 관례를 무시하고 결국 법사위원장을 가져갔다""며 ""이재명 대통령이 국민 앞에 약속한 협치는 말뿐이었느냐?""고 성토했다. 조배숙 위원장은 ""민주당은 200석에 가까운 거대 의석을 무기로 입법부를 장악하고 있다. 사법부 수장에 대한 특검 수사, 사실상 모든 권력기관을 장악한 민주당 앞에 이제 어떤 견제도 작동하지 않고 있다""며 ""대한민국의 삼권분립은 흔들리고 있으며 민주주의는 위기를 맞고 있다""고 주장했다. 조배숙 위원장은 ""다수 여당의 브레이크 없는 폭주를 막을 사람은 국민""이라며 ""민주당이 다수 의석을 무기로 의회민주주의를 파괴하고 삼권분립을 형해화시키는 위기 앞에 이를 국민에게 알리고 바로잡으려는 우리의 열정은 멈출 수 없다""고 주장했다. 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved."
"강득구 quot;주진우, 만성간염이면 검사 못돼hellip;군은 면제인데, 검사는 임용?quot;",2025-06-28 15:34:33,미상,"최종편집 2025년 06월 28일 15시 04분 강득구 ""주진우, 만성간염이면 검사 못돼…군은 면제인데, 검사는 임용?"" 더불어민주당이 주진우 국민의힘 의원의 '병역 면제 의혹'과 관련해 ""기록으로 소명하라""고 공세를 폈다. 민주당 강득구 의원은 27일 기자회견을 열고 ""주진우 의원 본인의 병역 면제 의혹을 짚어보겠다. 침묵과 동문서답으로 회피하지 말고, 제대로 소명하기 바란다""고 요구했다. 강 의원은 ""(주진우 의원은) '고1 때 (간염이) 발병했고, 조직검사 결과 B형 간염으로 판명되어 군 면제됐고, 32년째 치료 중'이라고 했다. 32년째 치료 중이니 분명히 만성이다. 만성 B형 간염이라는 답변으로 들린다""며 ""그러나, 주진우 의원은 만성 B형 간염일 수 없다. 주진우 의원은 1994년 10월 첫 징병신체검사에서 3급 현역 판정을 받는데, 당시의 병역신체검사규칙 평가기준에 따르면, 만성 간염이라면 무조건 5급 면제 판정을 받아야 한다""고 주장했다. 이어 강 의원은 ""주진우 의원은 불과 5개월 후인 1995년 3월 재검에서는 조직검사 결과 B형 간염으로 판명되어 면제 판정을 받는다. 대체 5개월 동안 무슨 일이 벌어졌길래 간염이 악화된 건가? 간염 바이러스가 문제인가? 신체검사 기록이 잘못된 것인가?""라고 의혹을 제기했다. 강 의원은 ""주진우 의원은 2002년 사법연수원을 수료하고 검사로 임용된다. 당시 공무원채용신체검사규정으로는, 만성활동성간염이라면 임용될 수 없었다. 그러나 주진우 의원은 문제없이 검사로 임용되었다""라고 주장했다. 강 의원은 ""주진우 의원이 술을 즐긴다고 하는데, 32년째 치료 중이라는 주진우 의원의 B형 간염 바이러스는 참 희한하다. 병역은 면제받고, 검사 임용에도 문제없고, 술을 즐겨도 되는, 그야말로 효자 바이러스가 아닐 수 없다""라며 ""기록은 거짓말하지 않습니다. 주진우 의원은 기록으로 소명하시라. 1994년과 1995년 2번의 징병신체검사 기록, 2000년 사법연수원에 입소할 때 제출했던 신체검사 기록, 2002년 검사 임용 과정에서 제출했던 채용신체검사서, 간염 치료 관련 의료기록, 떳떳하다면 자료를 공개하라""고 요구했다. 강 의원은 ""주진우 의원의 병역 면제 과정과 희한한 바이러스의 실체를 반드시 밝히겠다""며 ""대를 이어 기득권을 누리며 세상을 자기 뜻대로 살아왔던 주진우 의원, 정치검사의 못된 버릇 그대로 김민석 후보자와 저를 악마화했던 것에 상응하는 대가를 반드시 치르게 될 것""이라고 말했다. 앞서 주진우 의원은 26일 페이스북을 통해 '주진우의 역제안, 이건 어때?'라는 글을 올리고 ""내가 총리 후보자는 아니지만, 양보한다. (김민석, 주진우) 둘이 동시에 국민 앞에 자료를 공개하는 것은 어떤가""라고 제안했다. 주 의원은 ""난 진짜 떳떳하고, 자신 있다. 내 아들 증여세 납부 내역 공개하면, 김민석 후보자 아들 유학비를 제3자가 아닌 전 배우자가 냈다는 아주 최소한의 자료만 공개해 줄 수 있나""라고 했고, 병역 의혹과 관련해 ""내 병무 자료 및 치료 내역 공개할 테니, 김민석 후보자가 내기로 약속..."
"순천서 부부 사망hellip;남편, 아내에 흉기 휘두르고 투신 추정",2025-06-28 15:34:34,미상,"최종편집 2025년 06월 28일 15시 04분 순천서 부부 사망…남편, 아내에 흉기 휘두르고 투신 추정 전남 순천에서 부부가 사망하는 사건이 발생해 경찰이 수사에 나섰다. 28일 순천경찰서 등에 따르면 전날 오후 11시 10분쯤 전남 순천시의 한 아파트에서 부부가 숨졌다. 가족의 신고를 받고 출동한 경찰과 소방은 아파트 외부에 쓰러져 있는 남편 A씨(40대)와 아파트 안에서 있던 아내 B씨(30대)를 발견하고 병원으로 이송했지만 2명 모두 숨졌다. 경찰은 가족의 119 신고 내역 등을 토대로 A씨가 아내 B씨를 흉기로 찌른 뒤 스스로 숨지려 한 것으로 보고 정확한 사건 경위를 조사 중이다. zzartsosa@hanmail.net 프레시안협동조합 | 사업자번호 101-81-69524 | 대표 전홍기혜 제호: 프레시안 | 신문사업·인터넷신문사업 등록번호 서울아00083 | 창간 2001.9.24 | 등록 2005.10.12 | 발행인·편집인 전홍기혜 | 청소년보호책임자 김봉규 (04043) 서울시 마포구 서교동 395-73 BK빌딩 101호(양화로 10길 49 BK빌딩 101호) | 02-722-8494 | FAX 02-6008-8400 Copyrightⓒ Pressian Coop. All rights reserved."
