제목,날짜,기자명,본문
"'버디폭격기 동생' 고지원도 줄버디…""언니와 경쟁 하고파""",2025-06-28 05:47:17,,"김경윤기자 구독 구독중 이전 다음 고지우·지원 자매, 맥콜·모나 용평 오픈서 나란히 선전 (평창=연합뉴스) 김경윤 기자 = 고지원(21)이 친언니인 '버디 폭격기' 고지우(22)를 따라 버디를 쏟아냈다. 고지원은 28일 강원도 평창 버치힐 컨트리클럽(파72·6천429야드)에서 열린 한국여자프로골프(KLPGA) 투어 맥콜·모나 용평 오픈(총상금 10억원) 2라운드에서 보기 없이 버디 7개를 몰아 치며 7언더파 65타를 쳤다. 1라운드에서 4언더파를 기록한 고지원은 중간 합계 11언더파 133타를 기록하며 상위권으로 도약했다. 단독 1위 고지원 등 주요 선수들이 경기를 마치지 않은 오후 2시 30분 현재 공동 5위다. 고지원은 그동안 투어 무대에서 큰 두각을 나타내지 못했다. 언니 고지우는 통산 2승을 거두는 등 출전하는 대회마다 좋은 성적을 냈으나 동생 고지원은 그러지 못했다. 2022년 KLPGA 투어에 준회원으로 입회한 고지원은 2023년 KLPGA 투어 풀시드를 확보했지만, 지난해 출전한 23개 대회 중 11개 대회에서 컷 탈락하며 시드를 잃었다. 그러나 올해 출전한 6차례 KLPGA 투어 중 두 차례 '톱15' 안에 들며 재기의 날개를 폈다. 언니와 함께 나선 이번 대회에선 자신의 실력을 증명하고 있다. 그는 1라운드에서 버디 6개를 기록하더니 2라운드에선 무결점 경기를 펼쳤다. 경기를 마친 고지원은 ""올 시즌 KLPGA 투어 출전 기회를 잡을 때마다 최선을 다하려고 노력한다""며 ""드림투어와 병행하고 있지만, 힘들거나 체력적인 부담은 없다""고 말했다. 고지원은 남은 라운드 성적에 따라 시즌 첫 '톱10'을 넘어 선두권 싸움을 펼칠 수도 있다. 아울러 언니 고지우와 경쟁 체제를 만들 수도 있다. 언니 고지우는 1라운드에서 8언더파 64타로 공동 1위에 올랐고, 2라운드에서도 전반에만 버디 7개를 잡아내며 단독 1위를 질주하고 있다. 고지원은 ""언니는 내게 길잡이 같은 존재""라며 ""우리는 둘 다 공격적인 성향이 있는데, 언니를 보고 많은 것을 배우고 있다""고 말했다. 아울러 ""어렸을 때부터 언니와 같은 대회에서 선두 경쟁을 펼친 적은 없었다""며 ""내가 남은 라운드에서 좀 더 좋은 성적을 거두면 언니와 재밌는 경기를 펼칠 수 있을 것 같다. 기대한다""고 덧붙였다. cycle@yna.co.kr 관련 뉴스 버디 폭격기 고지우, 환상적인 벙커버스터 투하…용평 오픈 선두 버디폭격기 고지우, 재이륙 성공…""내 스타일 찾으려 노력"" 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:47 송고 2025년06월28일 14시47분 송고 #고지원 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
"프로축구 제주 공격수 박동진, K리그2 김포FC로 이적",2025-06-28 05:37:58,,"배진남기자 구독 구독중 이전 다음 (서울=연합뉴스) 배진남 기자 = 베테랑 공격수 박동진(30)이 프로축구 K리그1 제주 SK와의 동행을 6개월 만에 끝내고 K리그2 김포FC에서 새 출발 한다. 김포는 28일 ""제주에서 박동진을 영입해 공격력을 보강했다""고 밝혔다. 박동진은 1, 2부를 오가며 K리그 통산 230경기에 출전해 30골 10도움의 성적을 낸 베테랑이다. 2016년 당시 K리그 클래식(현 K리그1) 광주FC에서 프로 선수 생활을 시작해 2018년 FC서울로 이적할 때까지 수비수였던 박동진은 2019년 서울에서 공격수로 포지션을 바꿔 K리그1 32경기 6득점 3도움을 기록했다. 지난해 여름 서울에서 K리그2 경남FC로 이적했던 그는 올해 1월 제주로 옮겨 현재까지 K리그1 10경기에 출전했다. hosu1@yna.co.kr 관련 뉴스 대전, K리그 개막전서 포항 완파…우승후보 서울은 제주에 완패(종합) K리그1 제주, 일본 가고시마 전지훈련 마무리…6일 재소집 K리그1 제주, 새 시즌 등번호 공개…구자철의 7번은 서진수에게 K리그1 제주, 베테랑 스트라이커 박동진 영입 이승우 등 349명, 2025년도 프로축구 FA 자격 얻는다 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:37 송고 2025년06월28일 14시37분 송고 #박동진 #K리그2 #프로축구 #김포FC #제주 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
대구 33.8도 폭염…도심 열기 치솟아 '헉헉',2025-06-28 05:32:55,,"28일 오후 대구 도심 번화가인 중구 동성로. 모자와 휴대용 선풍기 등을 챙겨나온 이씨의 친구 장다정씨는 ""저는 대구 시민이라 더위에 익숙하지만, 오늘은 정말 덥다""고 웃으며 말했다. 대구기상청에 따르면 이날 오후 현재 대구·경북 낮 최고기온은 대구 33.8도, 포항 33.5도, 청도 35.2도, 경주 35.1도, 경산 34.8도, 경주 34.5도, 구미 34.2도 등으로 나타났다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
[부고] 안청시(서울대 사회과학대학 정치외교학부 명예교수)씨 별세,2025-06-28 05:27:40,,"김영신기자 구독 구독중 이전 다음 ▲ 안청시(서울대 사회과학대학 정치외교학부 명예교수)씨 별세, 손봉숙(한국여성정치연구소 이사장)씨 남편상, 안정현(한림대 대외협력부처장)·안정민(한림대 융합과학수사학과 교수)씨 부친상, 김동욱(대원철강 재직)·임승휘(선문대 사학과 교수)씨 장인상 = 28일, 종로구 서울대학교병원장례식장 2호실, 발인 7월 1일 5시, 장지 서울시립승하원·춘천시 남면 선영. ☎02-2072-2010 (서울=연합뉴스) shiny@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:27 송고 2025년06월28일 14시27분 송고 #부고 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
부산서 뺑소니 사고로 7명 부상…음주운전 의심 30대 영장,2025-06-28 05:24:25,,부산에서 음주운전을 한 것으로 추정되는 스포츠유틸리티차가 추돌사고를 낸 뒤 달아나면서 다른 차량 3대를 잇달아 들이받는 바람에 7명이 부상하는 사건이 발생했다. 부산 강서경찰서는 28일 특정범죄 가중처벌 등에 관한 법률상 도주치상 혐의로 30대인 A씨의 구속영장을 신청했다고 밝혔다. 경찰에 따르면 A씨 전날 오후 11시 30분께 부산 강서구 송정동 신항입구 교차로에서 자신의 SUV를 운전하던 중 앞서가던 승용차를 추돌한 뒤 곧바로 달아나면서 다른 승용차 2대를 잇달아 추돌했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.
"SSG 앤더슨, 기록 정정으로 평균자책점 1위…2.05→1.94",2025-06-28 05:18:45,,"하남직기자 구독 구독중 이전 다음 (인천=연합뉴스) 하남직 기자 = 프로야구 SSG 랜더스 외국인 투수 드루 앤더슨이 '기록 정정'을 통해 평균자책점 1위로 올라섰다. SSG 구단은 28일 ""기록 정정 신청을 KBO가 받아들였다. 2루타로 기록됐던 타구가 실책으로 정정됐다""고 밝혔다. 앤더스은 지난 22일 인천 SSG랜더스필드에서 벌인 KIA 타이거즈와 홈 경기에 선발 등판해 0-0으로 맞선 5회초 2사 후 박찬호를 땅볼로 유도했다. 하지만, SSG 3루수 석정우가 공을 뒤로 빠뜨렸다. 당시 기록원은 이 타구를 '좌익수 쪽 2루타'로 기록했다. 공이 불규칙 바운드를 일으킨 것이 기록원이 2루타로 기록한 근거였다. 앤더슨은 다음 타자 오선우에게 볼넷을 내준 뒤, 2사 1, 2루에서 패트릭 위즈덤에게 좌전 적시타를 맞았다. 박찬호의 타구가 3루수 실책으로 기록됐다면 비자책이어야 하지만, 당시 기록원이 안타로 기록해 앤더슨의 자책점 1개가 생겼다. 22일 KIA전 앤더슨의 기록은 6이닝 6피안타 1실점이었다. SSG 구단은 23일에 KBO에 '기록 정정 신청'을 했다. KBO 기록위원회는 이를 심의해 '22일 5회 박찬호의 타구는 3루수 실책'이라고 정정했다. 결국, 앤더슨의 22일 KIA전 기록도 6이닝 5피안타 1실점 비자책으로 정정됐다. 앤더슨의 시즌 평균자책점도 2.05에서 1.94로 낮아졌다. 기록 정정을 통해 평균자책점을 낮춘 앤더슨은 한화 이글스의 코디 폰세(2.04)를 제치고, 이 부문 선두로 올라섰다. 공교롭게도 기록 정정이 확정된 28일, 앤더슨과 폰세는 인천에서 선발 맞대결을 펼친다. jiks79@yna.co.kr 관련 뉴스 KIA 김세일·김정엽·양수호, 미국 트레이닝 센터서 단기 연수 다저스 오타니, 시즌 29호 홈런·7번째 3루타…김혜성은 또 결장 이정후, 화이트삭스전 4타수 무안타 침묵…타율 0.248 고우석, 디트로이트 마이너리그 이적 후 첫 등판…1이닝 1실점 깜짝 활약하던 메츠 선발 캐닝, 아킬레스건 수술로 시즌 아웃 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:18 송고 2025년06월28일 14시18분 송고 #앤더슨 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
경북 경주 오존주의보 발령,2025-06-28 05:12:29,,"(대구=연합뉴스) 28일 오후 2시를 기해 경북 경주에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 2시 현재 0.1271ppm(100만분의 1)을 기록하고 있다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:12 송고 2025년06월28일 14시12분 송고 #오존 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
경남 진주 오존주의보 발령…하동은 오존주의보 해제,2025-06-28 05:12:19,,"(창원=연합뉴스) 28일 오후 2시를 기해 경남 진주에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 2시 현재 0.1429ppm(100만분의 1)을 기록하고 있다. 하동군에 내려졌던 오존주의보는 해제됐다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:12 송고 2025년06월28일 14시12분 송고 #오존 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
"KIA 김세일·김정엽·양수호, 미국 트레이닝 센터서 단기 연수",2025-06-28 05:08:11,,"김경윤기자 구독 구독중 이전 다음 (서울=연합뉴스) 김경윤 기자 = 프로야구 KIA 타이거즈의 기대주인 투수 김세일, 김정엽, 양수호가 미국 노스캐롤라이나주 샬럿 소재 야구 전문 트레이닝 센터인 트레드 애슬레틱스로 단기 연수를 떠난다. KIA는 28일 세 선수와 전력기획팀 프런트 2명, 트레이닝 코치 1명을 파견한다고 밝혔다. 세 선수는 29일 출국해 29박 31일 동안 집중적으로 훈련할 계획이다. KIA가 소속 팀 선수를 트레드 애슬레틱스에 파견하는 건 이번이 세 번째다. KIA는 지난 3월 트레드 애슬레틱스와 정식 업무 제휴 협약을 했다. cycle@yna.co.kr 관련 뉴스 프로야구 KIA, 미국 야구 트레이닝 센터와 업무 협약 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 14:08 송고 2025년06월28일 14시08분 송고 #KIA 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
진주 고물상서 불나 5개 점포 전소…4시간 만에 진화(종합),2025-06-28 05:04:43,,28일 오전 8시 21분께 경남 진주시 상평동 한 고물상에서 불이 나 약 4시간 만에 꺼졌다. 소방 당국은 이날 오전 8시 31분께 대응 1단계를 발령했다가 약 17분 뒤 해제하고 오전 9시 40분께 큰 불길을 잡았다. 이후 진화작업을 벌이던 소방 당국은 4시간 20분 만인 이날 낮 12시 41분께 불을 모두 껐다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다.
