제목,날짜,기자명,본문
"[속보]특검 “尹, 조사실 입실 안해…사실상 조사 거부”",2025-06-28 15:33:00,송은석,"내란 특별검사팀은 28일 윤석열 전 대통령이 오후 조사를 사실상 거부하고 있다고 밝혔다. 박지영 특검보는 이날 오후 언론 브리핑을 통해 “(윤 전 대통령이) 조사자 교체를 요구하면서 사실상 조사 받지 않고 대기실에 있는 상황”이라며 “출석을 거부하는 것과 같다”고 비판했다. 이어 “수사를 탄탄하게 하기 위해 경청할 수밖에 없지만 허위 사실로 수사 방해하는 것은 선을 넘는 행위”라고 말했다. 현재 윤 전 대통령은 점심 식사 후 대기실에서 조사실에 입실하지 않은 상황이다.박 특검보는 “통상 조사실에서는 진술을 거부할 수 있지만 대기실에서 조사실에 입실하지 않는 것은 출석을 거부하는 것과 같다”며 “법정에서 피고인 석에 서지 않고 피고인이 방청석에 앉아 있는 것과 똑같은 상황”이라고 비판했다.이에 특검팀은 수사 방해에 대한 수사 착수, 나아가 대한변호사협회 통보를 검토 중이다.박 특검보는 “내란 특검법에 보면 수사를 방해한 경우 처벌할 수 있는 규정이 있다”며 “변호인이 허위 사실을 유포"
"트럼프, 캐나다 ‘디지털세’ 부과에 분노…“무역협상 전면 중단할 것”",2025-06-28 15:21:00,사콘텐츠,"도널드 트럼프 미국 대통령이 캐나다와 무역 협상을 중단하고, 일주일 내에 일방적인 관세율을 통보하겠다고 27일(현지 시간) 밝혔다. 캐나다가 미국 기업을 상대로 ‘디지털 서비스세’를 부과한다는 이유에서다. 트럼프 대통령은 이날 소셜네트워크서비스(SNS) 트루스소셜에 “캐나다가 방금 미국 기술기업들에 디지털 서비스 세금을 부과한다고 발표했다는 사실을 통보받았다”며 “이는 우리나라에 대한 직접적이고 노골적인 공격이다”고 적었다.그는 “그들은 분명 동일한 조치를 취했던 유럽연합(EU)을 모방하고 있으며, EU는 우리와 그에 대해 협의 중이다”고 했다.그러면서 “이 부당한 세금에 기반해, 우리는 즉시 캐나다와의 모든 무역 협상을 중단할 예정이다”며 “앞으로 7일 이내에 캐나다가 미국과 거래하기 위해 지불해야 할 관세를 통보할 예정”고 밝혔다. 디지털 서비스세는 국가가 실물 상품에 부과하는 세금과는 달리 온라인 서비스에 세금을 부과하는 방식이다. 이 같은 세금을 부과하는 국가는 온라인 사업을"
"음주운전 적발될까봐…교통사고 내고 줄행랑 40대, 집유",2025-06-28 15:21:00,구독,신호위반으로 교통사고를 내고도 그대로 도주한 40대에게 징역형의 집행유예가 선고됐다.그는 음주운전 사실이 적발될 것을 우려해 도주한 것으로 조사됐다. 하지만 음주운전 혐의는 적용되지 못했다.의정부지법 남양주지원 형사1단독 최치봉 판사는 특정범죄 가중처벌 등에 관한 법률상 도주치상과 도로교통법상 사고후미조치 혐의로 기소된 A(41)씨에게 징역 1년에 집행유예 2년을 선고했다고 28일 밝혔다.최 판사는 A씨에게 200시간의 사회봉사와 80시간의 준법운전강의 수강도 명령했다.A씨는 지난해 12월28일 오전 1시30분께 음주상태로 자신의 승용차를 몰고 가던 중 남양주시 화도읍의 한 교차로에서 신호를 위반하고 직진하다가 정상 신호에 좌회전을 하던 B씨의 승용차를 추돌하고 그대로 도주한 혐의로 재판에 넘겨졌다.사고 당시 충격이 크지 않아 B씨는 전치 2주의 상해를 입었다. 차량 수리비도 100만원 정도에 그쳤다.최 판사는 “피해자의 정지요청에도 그대로 현장을 이탈했다. 특히 음주운전에 따른 처
"‘은퇴식’ 김강민, 특별엔트리로 선발 출전…그라운드에서 작별 인사",2025-06-28 15:21:00,구독,"친정팀 SSG 랜더스의 홈경기에서 은퇴식을 갖는 레전드 김강민이 ‘특별 엔트리’를 통해 팬들에게 인사를 건넨다.SSG는 28일 오후 5시 인천 SSG랜더스필드에서 한화 이글스와 홈 경기를 치른다. 이날 김강민은 1번 타자 중견수로 선발 출전한다.한국야구위원회(KBO)는 2021시즌부터 은퇴 경기를 소화하는 선수에 한해 특별 엔트리 운영을 허용하고 있는데, 김강민도 이 제도를 활용해 한시적으로 엔트리에 등록됐다.2001년 SSG의 전신 SK 와이번스에 입단해 22년 동안 원클럽맨으로 활약한 김강민은 2023시즌 종료 후 2차 드래프트를 통해 한화 이글스로 이적, 한 시즌을 뛴 후 은퇴했다.당시 김강민을 보호 선수 명단에서 제외한 구단의 안일한 일 처리가 도마위에 올랐고, 팬들로부터 거센 비판을 받기도 했다.이후 SSG가 김강민과 논의 끝에 이날 한화와 경기에서 은퇴식을 진행하기로 했다. 김강민은 특별 엔트리로 그라운드 위에서 친정팀 팬들에게 정식으로 인사하기로 했다.이날 경기 전 만난"
"尹 조사실, 고검 6층 일반 검사실 구조…청사 내부서 점심 해결",2025-06-28 15:00:00,구독,12·3 비상계엄 관련 내란·외환 사건 수사를 맡은 조은석 특별검사팀이 28일 윤석열 전 대통령이 4시간째 첫 소환 조사를 진행하고 있다.윤 전 대통령은 비공개 출석 요청이 불발되면서 제대로 첫 소환에 응할지에 대한 우려와 달리 이날 오전 9시 54분쯤 서울 서초구 서울고검 청사 앞에 모습을 드러냈다.윤 전 대통령은 대통령 경호처에서 보낸 검은 카니발 차량에서 내려서 취재진의 질문에 입을 꾹 다문 채 정면만 바라보고 곧장 청사 내부로 걸어 들어갔다. 김홍일·송진호·채명성 변호사는 뒤를 따랐다.청사 1층 현관에서 장영표 특검수사지원단장이 윤 전 대통령과 변호인단을 맞이했다. 이들은 장 단장의 안내를 받고 조사실이 마련된 청사 6층으로 올라갔다.본격 조사에 들어가기에 앞서 박억수·장우성 특검보는 조사실 옆에 마련된 공간에서 윤 전 대통령 및 변호인단과 10여분간 면담을 가졌다.두 특검보는 금일 조사 일정 등에 대해 간단히 설명했다. 윤 전 대통령 측은 공개 소환 조사 방식 등 특검의 법
"욕하고 승무원 폭행, 항공기 난동…승객 제지→결국 체포",2025-06-28 14:53:00,구독,김포발 제주행 항공기에서 난동을 부린 40대가 경찰에 붙잡혔다.제주 서부경찰서는 A(40대)씨를 항공보안법 혐의로 불구속 입건했다고 28일 밝혔다.A씨는 지난 27일 오후 6시30분께 김포국제공항에서 출발해 제주국제공항으로 향하던 티웨이 항공기에서 욕설을 하며 승무원을 폭행하는 등 난동을 부린 혐의를 받고 있다.당시 승무원과 승객들이 A씨를 제지했다. 그는 제주공항 착륙 직후 대기하던 경찰에 체포됐다.경찰은 정확한 사건 경위를 조사 중이다.[제주=뉴시스]
‘유치부~일반부’ 줄넘기 왕은 바로 나…대회는 열기 가득,2025-06-28 14:53:00,구독,"‘2025 대한민국 전국민건강줄넘기대회’가 열린 28일 오전 11시께 수원종합운동장 체육관은 대회장으로 들어가는 입구부터 인산인해를 이뤘다. 유치원생부터 성인까지 손에 줄넘기를 든 선수들과 대형 가방을 멘 학부모들이 줄지어 입장하는 모습이 보였다. 체육관 내부는 형형색색의 운동복을 입은 1800여명의 인파로 가득했다.줄넘기 대회를 홍보하는 대형 현수막이 경기장 벽면에 크게 펼쳐져 있는 가운데 경기장 중앙에는 선수들이 구슬땀을 흘릴 파란색 매트가 깔려 있었다. 관중석 곳곳에는 ‘JMC줄넘기’ ‘PJWR팀 선수단’ ‘자랑스런 오목천 파이팅’ ‘최고보다는 최선을 다하자’ 등 각 지역과 소속을 알리는 응원 현수막들이 펄럭였다. 어린 선수들은 빨간색, 파란색 등 유니폼을 맞춰 입고 팀별로 모여 앉아 경기 시작을 기다렸다. 이날 체육관은 전국 각지에서 몰린 줄넘기 동호인들로 마치 거대한 축제장을 방불케 했다. 내부 천장에는 원형 조명이 환하게 빛나고 경기장 주변으로는 심판석과 기록석이 차례로"
尹 측 “경찰 공무집행의 적법성 먼저 밝혀야…”,2025-06-28 14:34:00,"윤석열 전 대통령이 28일 오전 대면 조사를 받기 위해 서울 서초구 서울고검에 마련된 내란특검 사무실로 출석하고 있다. (공동취재) 2025.06.28. photo@newsis.com""","내란 특별검사팀이 28일 윤석열 전 대통령에 대한 오전 조사를 마친 가운데, 윤 전 대통령 측은 “형사소송법이 규정한 피의자의 인권보장과 적법절차를 따르길 촉구한다”고 밝혔다. 윤 전 대통령 측은 경찰 공무집행의 적법성이 먼저 밝혀져야 한다는 입장이다. 윤 전 대통령 측 법률대리인단은 이날 입장문을 통해 “가해자가 피해자를 조사하고 있다. 윤 전 대통령에 대한 체포 방해 혐의는 경찰 공무집행의 적법성과 영장의 위법성이 먼저 밝혀져야 한다”고 주장했다. 이어 “윤 전 대통령 측은 이미 경찰 관련자들을 고발했는데, 현재 조사를 진행하고 있는 박창환 총경 역시 불법체포를 지휘한 사람으로 고발돼 있다”고 했다. 그러면서 “경찰의 불법성에 면죄부를 주기 위한 것인지, 아니면 조사 준비가 되어 있지 않은 특검이 경찰에게 조사를 부탁해야 하는 민망한 상황인지 묻지 않을 수 없다”면서 “진술 규명을 위한 엄정하고 공정한 특검이 아니라 낙인찍기와 마녀사냥을 위해 피고발인으로 하여금 고발인을 조사하는"
장윤정 “술 먹고 매니저 대리운전? 고용노동부 신고 당해”,2025-06-28 14:30:00,구독,"가수 장윤정이 일상을 공개했다. 지난 27일 유튜브 채널 ‘도장TV’에는 ‘그릇 만들고 속눈썹 펌 하고 아귀수육에 소주 한잔하는 윤정이의 하루’라는 제목의 영상이 올라왔다.영상에서 장윤정은 아귀수육 식당을 찾아 여유롭게 식사를 즐기며 소주 한 잔을 곁들였다.장윤정은 매니저를 향해 “대리운전 해?”라고 물었고, 매니저가 거절하자 “그럼 2분 줄게, 고민해봐”라며 너스레를 떨었다. 이어 “댓글 중에 매니저랑 같이 술 마시고 대리 부르게 한다는 걸 신선하게 본 분들도 많더라”고 말했다.이를 들은 제작진이 “누가 매니저한테 대리운전을 시키느냐”고 반응하자, 장윤정도 “요즘 세상이 어떤 세상인데, 술 먹는데 매니저한테 기다리라고 하냐”고 공감했다.이어 “술 마실 거면 매니저는 퇴근시키고 혼자 먹고, 집도 스스로 알아서 가야 한다. 그렇지 않으면 고용노동부에 신고당한다”고 말했다.한편 1999년 강변가요제에서 대상을 수상하며 데뷔한 장윤정은 ‘꽃’ ‘짠짜라’ ‘어부바’ ‘이따이따요’ 등의 히"
“밤 보다 아침이 뜨겁다” 술 대신 카페인에 취하는 MZ들,2025-06-28 14:00:00,사콘텐츠,"술 없이도 커피에 취해 춤추는 ‘카페인 클럽’ 문화가 MZ세대 사이에서 확산되고 있다. ‘커피 레이브’로 불리는 이 트렌드는 카페에서 DJ 음악과 함께 아침을 여는 새로운 놀이 방식으로, 웰니스 열풍과 맞물려 전 세계로 퍼지고 있다."
