제목,날짜,기자명,본문
"[속보]특검 “尹, 조사실 입실 안해…사실상 조사 거부”",2025-06-28 15:33:00,김예슬 기자,"크게보기 윤석열 전 대통령이 28일 오전 대면 조사를 받기 위해 서울 서초구 서울고검에 마련된 내란특검 사무실로 출석하고 있다. 송은석 기자 silverstone@donga.com 내란 특별검사팀은 28일 윤석열 전 대통령이 오후 조사를 사실상 거부하고 있다고 밝혔다. 박지영 특검보는 이날 오후 언론 브리핑을 통해 “(윤 전 대통령이) 조사자 교체를 요구하면서 사실상 조사 받지 않고 대기실에 있는 상황”이라며 “출석을 거부하는 것과 같다”고 비판했다. 이어 “수사를 탄탄하게 하기 위해 경청할 수밖에 없지만 허위 사실로 수사 방해하는 것은 선을 넘는 행위”라고 말했다. 현재 윤 전 대통령은 점심 식사 후 대기실에서 조사실에 입실하지 않은 상황이다. 박 특검보는 “통상 조사실에서는 진술을 거부할 수 있지만 대기실에서 조사실에 입실하지 않는 것은 출석을 거부하는 것과 같다”며 “법정에서 피고인 석에 서지 않고 피고인이 방청석에 앉아 있는 것과 똑같은 상황”이라고 비판했다. 이에 특검팀은 수사 방해에 대한 수사 착수, 나아가 대한변호사협회 통보를 검토 중이다. 박 특검보는 “내란 특검법에 보면 수사를 방해한 경우 처벌할 수 있는 규정이 있다”며 “변호인이 허위 사실을 유포하면서 수사를 방해하는 것으로밖에 평가할 수 없어서 수사 방해에 대한 수사를 착수하고 변협에 통보를 검토 중”이라고 했다. 앞서 윤 전 대통령 측은 오전 조사를 마치고 “형사소송법이 규정한 피의자의 인권보장과 적법절차를 따르길 촉구한다”고 밝힌 바 있다. 윤 전 대통령 측은 불법 체포 혐의로 고발된 박 총경이 신문을 담당하는 것은 부당하고 검사가 윤 전 대통령을 신문해야 한다는 입장이다. 그러나 박 특검보는 “윤 전 대통령에 대한 1차 체포영장 집행 관련 박 총경이 현장에 없었고 지휘에도 관여한 바 없다”며 “박 총경과 윤 전 대통령 측 고발 사건은 이 조사와 전혀 무관하다”고 반박했다. 그러면서 “윤 전 대통령 측에서 경찰이 수사하는 것 자체에 대해 문제 제기를 하는 데 전직 대통령이라고 경찰 수사를 받지 않으리라는 법은 없다”며 “경찰 제도 자체를 인정하지 않는 것과 마찬가지”라고 덧붙였다."
"트럼프, 캐나다 ‘디지털세’ 부과에 분노…“무역협상 전면 중단할 것”",2025-06-28 15:21:00,김예슬 기자,"[헤이그=AP/뉴시스] 도널드 트럼프 미국 대통령이 25일(현지 시간) 네덜란드 헤이그에서 열린 북대서양조약기구(나토) 정상회의에 참석한 뒤 기자회견하고 있다. 트럼프 대통령은 이란이 더는 핵 개발에 나서지 않을 것이며, 내주 이란과 회담할 예정이라고 밝혔다. 2025.06.226. 도널드 트럼프 미국 대통령이 캐나다와 무역 협상을 중단하고, 일주일 내에 일방적인 관세율을 통보하겠다고 27일(현지 시간) 밝혔다. 캐나다가 미국 기업을 상대로 ‘디지털 서비스세’를 부과한다는 이유에서다. 트럼프 대통령은 이날 소셜네트워크서비스(SNS) 트루스소셜에 “캐나다가 방금 미국 기술기업들에 디지털 서비스 세금을 부과한다고 발표했다는 사실을 통보받았다”며 “이는 우리나라에 대한 직접적이고 노골적인 공격이다”고 적었다. 그는 “그들은 분명 동일한 조치를 취했던 유럽연합(EU)을 모방하고 있으며, EU는 우리와 그에 대해 협의 중이다”고 했다. 그러면서 “이 부당한 세금에 기반해, 우리는 즉시 캐나다와의 모든 무역 협상을 중단할 예정이다”며 “앞으로 7일 이내에 캐나다가 미국과 거래하기 위해 지불해야 할 관세를 통보할 예정”이라고 밝혔다. 디지털 서비스세는 국가가 실물 상품에 부과하는 세금과는 달리 온라인 서비스에 세금을 부과하는 방식이다. 이 같은 세금을 부과하는 국가는 온라인 사업을 하는 대기업으로부터 막대한 수익을 거둘 수 있다. 구글, 아마존, 마이크로소프트와 같은 미국 기업, 특히 빅테크(Big Tech) 기업들은 디지털세 영향을 많이 받는 것으로 알려졌다. 캐나다 재무부는 디지털세 첫 납부기한이 오는 30일이라고 밝힌 바 있다. 연간 글로벌 매출이 7억5000만 유로를 넘는 기업 중 캐나다 내 디지털 서비스 매출이 연간 2000만 캐나다 달러 이상인 기업에 3%의 세금을 부과한다. CNN에 따르면 일부 캐나다 기업과 단체는 캐나다 정부에 이 같은 세금 부과를 중단하라고 요구해 왔다. 해당 조치로 인해 미국과의 무역 갈등이 고조될 것을 우려했기 때문이다. 캐나다 기업협의회(BCCC) 회장 겸 CEO인 골디 하이더는 성명을 통해 “BCCC는 수년간 일방적인 디지털 서비스세 시행이 캐나다의 가장 중요한 무역 상대국인 미국과의 경제적 관계를 훼손할 위험이 있다고 경고해 왔다”라고 밝혔다. 그간 트럼프 행정부는 디지털 서비스세가 미국의 거대 기술기업을 겨냥해 일방적으로 부과되는 차별적인 관세라고 주장해 왔다. 트럼프 대통령은 무역협상을 중단하며 캐나다에 과세를 중단하도록 압박한 것으로 보인다. 하지만 캐나다가 이를 수용하지 않을 경우 양국간 관세 전쟁으로 이어질 가능성이 높다."
"음주운전 적발될까봐…교통사고 내고 줄행랑 40대, 집유",2025-06-28 15:21:00,기자명 없음,"법원, 40대에게 징역 1년·집행유예 2년 ⓒ뉴시스 신호위반으로 교통사고를 내고도 그대로 도주한 40대에게 징역형의 집행유예가 선고됐다. 그는 음주운전 사실이 적발될 것을 우려해 도주한 것으로 조사됐다. 하지만 음주운전 혐의는 적용되지 못했다. 의정부지법 남양주지원 형사1단독 최치봉 판사는 특정범죄 가중처벌 등에 관한 법률상 도주치상과 도로교통법상 사고후미조치 혐의로 기소된 A(41)씨에게 징역 1년에 집행유예 2년을 선고했다고 28일 밝혔다. 최 판사는 A씨에게 200시간의 사회봉사와 80시간의 준법운전강의 수강도 명령했다. A씨는 지난해 12월28일 오전 1시30분께 음주상태로 자신의 승용차를 몰고 가던 중 남양주시 화도읍의 한 교차로에서 신호를 위반하고 직진하다가 정상 신호에 좌회전을 하던 B씨의 승용차를 추돌하고 그대로 도주한 혐의로 재판에 넘겨졌다. 사고 당시 충격이 크지 않아 B씨는 전치 2주의 상해를 입었다. 차량 수리비도 100만원 정도에 그쳤다. 최 판사는 “피해자의 정지요청에도 그대로 현장을 이탈했다. 특히 음주운전에 따른 처벌을 면하기 위해서 범행을 저질러 죄가 가볍지 않다”며 “다만 초범이고 범행을 모두 인정한 점, 피해 정도가 경미하고 종합보험으로 물적 피해가 회복된 점, 뒤늦게나마 피해자를 위해 일정 금원을 형사공탁한 점을 감안해 이번에는 집행유예를 선고한다”고 양형 이유를 밝혔다. [남양주=뉴시스]"
"‘은퇴식’ 김강민, 특별엔트리로 선발 출전…그라운드에서 작별 인사",2025-06-28 15:21:00,기자명 없음,"한화전 1번 타자 중견수…경기 시작 후 최지훈으로 교체 이숭용 감독 “김강민은 ‘짐승 같은 선수’” 7일 오후 인천시 미추홀구 SSG 랜더스필드에서 열린 프로야구 ‘2022 신한은행 SOL KBO 포스트시즌’ 한국시리즈 5차전 키움 히어로즈와 SSG 랜더스의 경기 9회말 무사 1,3루 상황 SSG 김강민이 키움 최원태를 상대로 끝내기 3점 홈런을 치고 세리머니를 하고 있다. 2022.11.7/뉴스1 ⓒ News1 친정팀 SSG 랜더스의 홈경기에서 은퇴식을 갖는 레전드 김강민이 ‘특별 엔트리’를 통해 팬들에게 인사를 건넨다. SSG는 28일 오후 5시 인천 SSG랜더스필드에서 한화 이글스와 홈 경기를 치른다. 이날 김강민은 1번 타자 중견수로 선발 출전한다. 한국야구위원회(KBO)는 2021시즌부터 은퇴 경기를 소화하는 선수에 한해 특별 엔트리 운영을 허용하고 있는데, 김강민도 이 제도를 활용해 한시적으로 엔트리에 등록됐다. 2001년 SSG의 전신 SK 와이번스에 입단해 22년 동안 원클럽맨으로 활약한 김강민은 2023시즌 종료 후 2차 드래프트를 통해 한화 이글스로 이적, 한 시즌을 뛴 후 은퇴했다. 당시 김강민을 보호 선수 명단에서 제외한 구단의 안일한 일 처리가 도마위에 올랐고, 팬들로부터 거센 비판을 받기도 했다. 이후 SSG가 김강민과 논의 끝에 이날 한화와 경기에서 은퇴식을 진행하기로 했다. 김강민은 특별 엔트리로 그라운드 위에서 친정팀 팬들에게 정식으로 인사하기로 했다. 이날 경기 전 만난 이숭용 SSG 감독은 김강민을 ‘짐승 같은 선수’라고 표현했다. 그는 “함께 야구하지 못했지만 해설위원 때부터 얘기를 많이 나눴다”고 말한 뒤 “정말 남자다운 선수로 봤다. 진짜 짐승 같은 느낌을 받았다”고 회상했다. 이어 “안타까운 것은 본인이 가지고 있는 기량을 다 보여주지 못한 것 같다. 파워도 있고 스피드도 있기 때문에 20(홈런)-20(도루)도 충분히 가능할 거라고 봤기에 더 아쉬웠다”고 덧붙였다. 김강민은 1회초 수비 때 그라운드에 나섰다가 경기 시작과 함께 최지훈으로 교체될 예정이다. (인천=뉴스1)"
"尹 조사실, 고검 6층 일반 검사실 구조…청사 내부서 점심 해결",2025-06-28 15:00:00,기자명 없음,"서울고검, 정문 제한적 개방…1층 현관문 조사 1시간 전 폐쇄 ‘체포 방해’ 조사 집중…의결 방해·외환죄 혐의 조사도 윤석열 전 대통령이 28일 오전 서울 서초구 서울고검 청사에 마련된 내란특검에 피의자 신분으로 첫 출석하고 있다. (공동취재) 2025.6.28/뉴스1 12·3 비상계엄 관련 내란·외환 사건 수사를 맡은 조은석 특별검사팀이 28일 윤석열 전 대통령이 4시간째 첫 소환 조사를 진행하고 있다. 윤 전 대통령은 비공개 출석 요청이 불발되면서 제대로 첫 소환에 응할지에 대한 우려와 달리 이날 오전 9시 54분쯤 서울 서초구 서울고검 청사 앞에 모습을 드러냈다. 윤 전 대통령은 대통령 경호처에서 보낸 검은 카니발 차량에서 내려서 취재진의 질문에 입을 꾹 다문 채 정면만 바라보고 곧장 청사 내부로 걸어 들어갔다. 김홍일·송진호·채명성 변호사는 뒤를 따랐다. 청사 1층 현관에서 장영표 특검수사지원단장이 윤 전 대통령과 변호인단을 맞이했다. 이들은 장 단장의 안내를 받고 조사실이 마련된 청사 6층으로 올라갔다. 본격 조사에 들어가기에 앞서 박억수·장우성 특검보는 조사실 옆에 마련된 공간에서 윤 전 대통령 및 변호인단과 10여분간 면담을 가졌다. 두 특검보는 금일 조사 일정 등에 대해 간단히 설명했다. 윤 전 대통령 측은 공개 소환 조사 방식 등 특검의 법적·절차적 의무 위반 등에 강하게 불만을 토로한 것으로 알려졌다. 조사는 10시 14분부터 시작됐다. 조사실은 일반 검사실 구조와 유사하지만 윤 전 대통령의 경호 인력 대기 공간도 별도로 마련했다는 것이 특검팀 설명이다. 윤석열 전 대통령이 탄 차량이 28일 오전 내란특검 사무실이 입주한 서울 서초구 서울고검 주차 차단기를 통과하고 있다. (공동취재) 2025.6.28/뉴스1 오전 조사는 수사의 연속성을 위해 체포 방해·비화폰 삭제 지시 혐의를 수사해 온 박창환 경찰청 중대범죄수사과장 등 3명이 주도했다. 이들은 윤 전 대통령이 지난 1월 본인에 대한 경찰의 체포영장 집행을 방해(특수공무집행 방해)하고 비상계엄 직후 당시 김성훈 대통령경호처 차장에게 여인형 전 방첩사령관 등의 비화폰 통화기록을 삭제하라고 한 혐의(경호법상 직권남용 교사) 등에 대해 집중 조사 중으로 파악됐다. 윤 전 대통령 측에서는 채명성·송진호 변호사 두 명이 조사에 입회했다. 특검팀은 체포 방해 관련 조사가 마무리되는 대로 김정국 부장검사(사법연수원 35기), 조재철 부장검사(36기)를 중심으로 국회 의결 방해 및 외환죄 혐의 관련 조사까지도 진행할 계획이다. 윤 전 대통령 측이 동의 하면 심야 조사까지도 염두에 두고 있다. 특검팀은 이날 낮 12시 44분쯤 오전 조사가 잘 진행됐다고 공지했다. 윤 전 대통령 측은 청사 내에서 간단하게 점심 식사를 한 것으로 알려졌다. 한편 이날 서울고검 청사로 향하는 두 개 정문 중 법원삼거리 방면 동문만 개방된다. 직원 및 관계자, 사전 출입 등록한 언론인 외에는 출입이 제한된다. 청사 1층 현관문은 오전 9시부터 윤 전 대통령 측이 조사를 마치고 나갈 때까지 잠정 폐쇄됐다. (서울=뉴스1)"
"욕하고 승무원 폭행, 항공기 난동…승객 제지→결국 체포",2025-06-28 14:53:00,기자명 없음,"김포발 제주행 티웨이 항공기 경찰, 40대 불구속 입건…조사 ⓒ뉴시스 김포발 제주행 항공기에서 난동을 부린 40대가 경찰에 붙잡혔다. 제주 서부경찰서는 A(40대)씨를 항공보안법 혐의로 불구속 입건했다고 28일 밝혔다. A씨는 지난 27일 오후 6시30분께 김포국제공항에서 출발해 제주국제공항으로 향하던 티웨이 항공기에서 욕설을 하며 승무원을 폭행하는 등 난동을 부린 혐의를 받고 있다. 당시 승무원과 승객들이 A씨를 제지했다. 그는 제주공항 착륙 직후 대기하던 경찰에 체포됐다. 경찰은 정확한 사건 경위를 조사 중이다. [제주=뉴시스]"
‘유치부~일반부’ 줄넘기 왕은 바로 나…대회는 열기 가득,2025-06-28 14:53:00,기자명 없음,"대한민국 전국민 건강줄넘기대회 유치부·일반부 6개 종목에서 경쟁 우승팀은 100만원, 전원 메달수여 28일 경기 수원시 장안구 종합체육관에서 열린 ‘2025 대한민국 전국민 건강줄넘기대회‘에서 참가 선수들이 열띤 경연을 펼치고 있다. 수원시 줄넘기협회가 주최·주관하는이번 대회는 유치부부터 일반부까지 다양한 연령층의 선수들이 출전해 자신의 기량을 선보였다. 2025.06.28. 수원=뉴시스 ‘2025 대한민국 전국민건강줄넘기대회’가 열린 28일 오전 11시께 수원종합운동장 체육관은 대회장으로 들어가는 입구부터 인산인해를 이뤘다. 유치원생부터 성인까지 손에 줄넘기를 든 선수들과 대형 가방을 멘 학부모들이 줄지어 입장하는 모습이 보였다. 체육관 내부는 형형색색의 운동복을 입은 1800여명의 인파로 가득했다. 줄넘기 대회를 홍보하는 대형 현수막이 경기장 벽면에 크게 펼쳐져 있는 가운데 경기장 중앙에는 선수들이 구슬땀을 흘릴 파란색 매트가 깔려 있었다. 관중석 곳곳에는 ‘JMC줄넘기’ ‘PJWR팀 선수단’ ‘자랑스런 오목천 파이팅’ ‘최고보다는 최선을 다하자’ 등 각 지역과 소속을 알리는 응원 현수막들이 펄럭였다. 어린 선수들은 빨간색, 파란색 등 유니폼을 맞춰 입고 팀별로 모여 앉아 경기 시작을 기다렸다. 이날 체육관은 전국 각지에서 몰린 줄넘기 동호인들로 마치 거대한 축제장을 방불케 했다. 내부 천장에는 원형 조명이 환하게 빛나고 경기장 주변으로는 심판석과 기록석이 차례로 배치돼 있었다. 체육관 구석구석에서는 경기 준비에 여념이 없는 선수들의 모습이 눈에 띄었다. 어린 선수들은 코치의 지도 아래 마지막 연습을 하며 몸을 풀었고 학부모들은 물병과 수건을 챙겨 주며 자녀들을 격려했다. 선수 집결 장소에서는 배번표를 받은 선수들이 가슴에 번호를 달고 자신의 차례를 기다렸다. 개회식에는 개그맨 김원효와 이종훈도 대회를 축하하기 위해 찾아와 눈길을 끌었다. 김원효는 “지금 현재 대한민국에서 가장 열기가 뜨거운 곳이 수원체육관이지 않을까 싶다”라고 분위기를 전했다. 이종훈은 “대회 참가자들이 줄넘기라는 종목이 나이가 들면 들수록 정말 좋은 운동이라는 걸 알게 될 것”이라며 줄넘기 가치를 강조했다. 경기 초반부터 좋은 결과를 낸 학생 선수들은 환한 웃음을 감추지 못했다. 수원 일월초등학교 3학년 이유민군은 “30초 이중뛰기에서 전체 10등을 했다. 기분이 너무 좋다”며 “7살 때 태권도학원을 다니면서 줄넘기를 시작했는데 지금까지 4년 넘게 꾸준히 배우고 있다”고 소감을 전했다. 화성 푸른중학교 3학년 박하윤 학생은 “키 크는 데 도움이 된다고 해서 시작했는데 재미도 있고 심폐지구력 향상에 효과가 커서 즐겁게 하고 있다”며 “줄넘기의 매력은 다른 운동경기처럼 다른 사람들과 부딪히거나 싸우지 않고 즐겁게 운동할 수 있다는 것”이라고 설명했다. 그는 “대회에 오니까 잘하는 친구들이 많아서 더 열심히 해야겠다는 생각을 했다”고 덧붙였다. 수원금호초등학교 3학년 안태성군은 “태권도를 배우다 여름방학에 처음 줄넘기를 했는데 재미를 느끼고 학원까지 다녀 대회에 참여하게 됐다”며 “종목 중에서는 스피드가 제일 재밌고 대회도 스피드로 참여했다. 친구들한테도 줄넘기를 많이 하라고 추천해주고 싶다”고 말했다. 관중석을 가득 메운 학부모들은 자녀들의 경기가 시작될 때마다 “파이팅”을 외치며 열띤 응원을 보냈다. 수원에서 온 김영미(42)씨는 “아침 일찍부터 준비하느라 힘들었지만 아이가 즐거워하는 모습을 보니 보람있다”며 “안전하게 경기를 마치고 좋은 추억을 만들었으면 좋겠다”고 말했다. 용인에서 자녀와 함께 참가한 박정수(45)씨는 “다른 지역에서 온 친구들과 겨루면서 아이가 더 성장할 수 있는 좋은 기회”라며 “앞으로도 이런 대회가 자주 열렸으면 좋겠다”고 기대감을 나타냈다. 이번 대회는 수원시줄넘기협회와 경기도체육회가 공동 주최했다. 대회 후원에는 경기도와 경기도의회, 수원시, 경기도체육회, 수원시체육회를 비롯해 뉴시스 경기남부본부 등 20여개 기관과 기업이 참여했다. 전국에서 1800여명의 선수가 참가해 유치부부터 일반부까지 연령별로 개인전 5개 종목과 단체전 1개 종목으로 실력을 겨뤘다. 우승팀에는 상금 100만원과 함께 우승기 및 트로피가 수여된다. 참가자 전원에게는 참가메달과 기념품이 증정됐다. [수원=뉴시스]"
尹 측 “경찰 공무집행의 적법성 먼저 밝혀야…”,2025-06-28 14:34:00,김예슬 기자,"[서울=뉴시스] 이영환 기자 = 윤석열 전 대통령이 28일 오전 대면 조사를 받기 위해 서울 서초구 서울고검에 마련된 내란특검 사무실로 출석하고 있다. (공동취재) 2025.06.28. photo@newsis.com 내란 특별검사팀이 28일 윤석열 전 대통령에 대한 오전 조사를 마친 가운데, 윤 전 대통령 측은 “형사소송법이 규정한 피의자의 인권보장과 적법절차를 따르길 촉구한다”고 밝혔다. 윤 전 대통령 측은 경찰 공무집행의 적법성이 먼저 밝혀져야 한다는 입장이다. 윤 전 대통령 측 법률대리인단은 이날 입장문을 통해 “가해자가 피해자를 조사하고 있다. 윤 전 대통령에 대한 체포 방해 혐의는 경찰 공무집행의 적법성과 영장의 위법성이 먼저 밝혀져야 한다”고 주장했다. 이어 “윤 전 대통령 측은 이미 경찰 관련자들을 고발했는데, 현재 조사를 진행하고 있는 박창환 총경 역시 불법체포를 지휘한 사람으로 고발돼 있다”고 했다. 그러면서 “경찰의 불법성에 면죄부를 주기 위한 것인지, 아니면 조사 준비가 되어 있지 않은 특검이 경찰에게 조사를 부탁해야 하는 민망한 상황인지 묻지 않을 수 없다”면서 “진술 규명을 위한 엄정하고 공정한 특검이 아니라 낙인찍기와 마녀사냥을 위해 피고발인으로 하여금 고발인을 조사하는 것을 방치하고 있다”고 말했다. 또 대리인단은 “정치적 목적과 수사의 균형이 파괴된 준비되지 않은 특검은 진실을 밝힐 수 없다”며 “이제라도 형사소송법이 규정한 피의자의 인권보장과 적법절차를 따르길 촉구한다”고 덧붙였다. 앞서 특검은 이날 오전 윤 전 대통령 체포영장에 적시된 특수공무집행방해·직권남용 혐의부터 조사했다. 조사는 박창환 경찰청 중대범죄수사과장(총경)과 최상진·이장필 경감 등 특검에 파견된 경찰이 진행했다. 윤 전 대통령은 1월 3일 고위공직자범죄수사처(공수처)와 경찰의 1차 체포영장 집행 당시 대통령경호처에 이를 저지하라고 지시한 혐의(특수공무집행방해 및 형법상 직권남용)를 받고 있다. 윤 전 대통령 측은 공수처의 영장 자체가 무효이고 불법체포에 해당한다며 경찰 여럿을 고발한 상태다."
장윤정 “술 먹고 매니저 대리운전? 고용노동부 신고 당해”,2025-06-28 14:30:00,기자명 없음,"ⓒ뉴시스 가수 장윤정이 일상을 공개했다. 지난 27일 유튜브 채널 ‘도장TV’에는 ‘그릇 만들고 속눈썹 펌 하고 아귀수육에 소주 한잔하는 윤정이의 하루’라는 제목의 영상이 올라왔다. 영상에서 장윤정은 아귀수육 식당을 찾아 여유롭게 식사를 즐기며 소주 한 잔을 곁들였다. 장윤정은 매니저를 향해 “대리운전 해?”라고 물었고, 매니저가 거절하자 “그럼 2분 줄게, 고민해봐”라며 너스레를 떨었다. 이어 “댓글 중에 매니저랑 같이 술 마시고 대리 부르게 한다는 걸 신선하게 본 분들도 많더라”고 말했다. 이를 들은 제작진이 “누가 매니저한테 대리운전을 시키느냐”고 반응하자, 장윤정도 “요즘 세상이 어떤 세상인데, 술 먹는데 매니저한테 기다리라고 하냐”고 공감했다. 이어 “술 마실 거면 매니저는 퇴근시키고 혼자 먹고, 집도 스스로 알아서 가야 한다. 그렇지 않으면 고용노동부에 신고당한다”고 말했다. 한편 1999년 강변가요제에서 대상을 수상하며 데뷔한 장윤정은 ‘꽃’ ‘짠짜라’ ‘어부바’ ‘이따이따요’ 등의 히트곡을 냈다. 장윤정은 KBS 아나운서 출신 도경완과 2013년 결혼해 1남 1녀를 뒀다. [서울=뉴시스]"
“밤 보다 아침이 뜨겁다” 술 대신 카페인에 취하는 MZ들,2025-06-28 14:00:00,박태근 기자,"요즘 MZ들이 노는 방식 커피 한 잔 들고 춤추는 사람들. 클럽이 아닌 카페, 술 대신 커피에 취해 아침을 즐기는 ‘커피 레이브(coffee rave)’ 현장이 화제다. (사진=틱톡) 술을 마시지 않고 카페인에 취해 에너지 넘치는 파티를 즐기는 새로운 놀이 문화가 MZ세대 사이에서 유행이다. 최근 소셜미디어 틱톡에서는 ‘카페인 클럽’(Caffeine Club)‘이라는 해시태그를 단 영상들을 많이 볼 수 있다. 영상에는 젊은 남녀들이 클럽이 아닌 카페에서 술 대신 카페인에 취해 춤을 추는 모습이 담겨있다. 뉴욕포스트 등 외신들도 이런 문화에 주목했다. “나는 알콜프리, 근데 취해” 트와이스 노래 가사처럼, 요즘 MZ세대는 술 없이도 커피에 취해 음악을 즐긴다. ■카페인 클럽 ‘커피 레이브’ 문화 확산 이러한 놀이 문화를 일컬어 ’커피 레이브(Coffee Rave)‘라 칭한다. ‘광란의 파티’나 ‘열광’을 뜻하는 ‘Rave’에 커피를 결합한 신조어다. 아침 시간대 카페나 베이커리에서 DJ 파티를 열어 커피와 음악을 즐기며 하루를 시작하는 젊은 세대의 새로운 문화 트렌드다. 유럽에서는 아침에 헬스클럽 등의 모임에 참여하는 ‘모닝 레이브(Morning Rave’) 문화가 먼저 자리잡았다. 여기에 카페와 커피가 결합되며 커피 레이브로 진화했다. 커피 레이브 트렌드는 유럽, 미국, 호주를 비롯해 한국까지 전 세계로 확산되고 있으며, 틱톡과 인스타그램 등에는 이를 즐기는 영상이 연이어 올라온다. 한국의 한 모닝커피클럽은 주기적으로 카페를 빌려서 오전에 커피파티를 열고 있다. 뉴욕포스트는 커피 레이브 문화의 확산이 웰니스(wellness) 트렌드와도 깊게 맞닿아 있다고 보도했다. 웰니스는 몸과 마음 인간관계까지 건강한 삶의 균형을 지향하는 개념이다. 호주 언론사 ‘더 뉴데일리’는 코로나19 이후 웰빙에 집중하는 분위기가 이런 여가 문화를 이끌었다고 분석했다."
