제목,날짜,기자명,본문
"인천시설공단, 행정안전부 ‘일자리 정책 우수기관’ 선정",2025-04-22 15:06:00,수습,행안부는 전국 지방 공공기관을 대상으로 지역사회에 안정적인 일자리 정책책 운용을 통해 지역 경제에 기여하고 청년 및 신규 채용에 앞장선 우수기관을 선정해 표창한다. 공단은 지난 2024년부터 정규직 인력 채용 및...
"농어촌공사, 국제농업협력사업 총괄지원기관 지정",2025-02-10 12:58:00,인터뷰,"또한, ODA 해외사무소를 중심으로 현장 맞춤형 정책책을 실행하고 관련 기관과 협력을 강화할 예정이다. 아울러, 사업 효과를 객관적으로 분석·평가하고, 글로벌 세미나 등을 통해 운영 성과를 국내외에 공유할 계획이다...."
"인천시, '인천 아이(i) 바다패스' 시행…강화군·옹진군 25개 섬 대상",2025-01-02 15:42:00,김재경,2일 시에 따르면 ‘인천 아이(i) 바다패스’는 인천시민의 이동권을 보장하고 섬 관광 활성화를 통해 지역 경제에 활력을 불어넣기 위해 마련된 정책책이다. 강화군과 옹진군의 25개 섬을 대상으로 한다. 인천시민은...
"용인시, 경기 침체·폭설 한파 대비 '민생·안전 대책반' 편성",2024-12-15 12:44:00,편성,중소기업과 소상공인 경영 안정을 위해 특례보증과 2차보전 등 정시는 정책책 자금을 적극 활용하고 골목상권에 활력이 돌도록 골목형 상점가와 착한가격업소를 확대한다. 용인=
[기자수첩] 트럼프와 '액체 황금'의 귀환,2024-11-23 05:00:00,독자비평,이처럼 바이든 행정부의 기후·에너지 정책책은 다른 측면에서 트럼프와 결이 완전히 달라졌다. 고난의 시기를 거쳐 트럼프가 다시 대통령에 당선되면서 미국의 기후에너지 정책이 또다시 요동칠 조짐을 보이고 있다....
국감 출석 벤츠 대표 &quot;화재 원인 밝혀져야 보상 가능&quot; [국감 2024],2024-10-07 22:36:00,허인학,이소영 더불어민주당 의원은 지난 8월 인천광역시 청라 소재 아파트에서 발생한 EQE 전기차 화재로 인해 막대한 피해를 입었고 국내 전기차 보급 정책책이 큰 위기를 맞았다고 지적했다. 이에 바이틀 대표는 &quot;이번 사고에...
"[도쿄환시] 달러-엔, 안전수요에 하락…지정학적 위험에 한때 150엔대",2024-04-05 16:40:00,엔대,"RBC의 전략가인 앨빈 탄은 &quot;연준 고위 관계자들은 다양한 말을 했지만, 연준의 정책책 방향은 현 단계에서 경제지표에 크게 의존하고 있다&quot;면서 &quot;기준 금리를 인하하기 전에 추가적인 인플레이션 해소에 대해 좀 더 확신을..."
&quot;정선 송천 도암댐 방류량 유지 생물다양성 보호해야&quot;,2023-10-06 00:07:00,정보없음,수계별로 정책책 접근 노력을 기울여야 한다&quot;고 강조했다. 황 부회장은 또 박정호 케이에코 대표를 대신한 '송천수계 수생태계 실태와 활용 방안' 발표에서 &quot;도암댐 하류 송천수계 38㎞일원에 972종의 생물이 서식하고...
[심층취재] 아울렛 재유치 나선 경산…'지방생존 위기' 새해 최대 관심...,2023-01-05 15:34:00,권용현,"장 차관은 &quot;앞으로 산업단지 정책 방향이 정주 여건을 조금 회복시키고 개선시킴으로써 우리 청년들이 다시 돌아올 수 있는 그런 산업단지가 될 수 있도록 정책책인 노력을 기울이겠다&quot;고 덧붙였다. 한편, 윤석열 정부는..."
"한전·한수원, 무보·산은·수은·민간은행과 ‘원전수출 금융지원’ 맞...",2022-12-23 22:50:00,단상,"한전과 한수원, 무보는 23일 서울 여의도 산은 본점에서 정책책·민간금융기관과 해외 원전 수출사업 발굴 및 공동 금융지원 협력 강화를 위한 ‘원전금융 팀코리아(Team Korea) 업무협약(MOU)'을 체결했다고 밝혔다...."
