제목,날짜,기자명,본문
"“권오을 후보자, 유죄 확정 뒤에도 선거보전비 2.7억 반환 안 해”",2025-06-28,윤연정 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 권오을 국가보훈부 장관 후보자가 지난 25일 청문회 준비 사무실이 마련된 서울스퀘어 건물에 도착, 취재진 질문에 답하고 있다. 연합뉴스 권오을 국가보훈부 장관 후보자가 과거 공직선거법을 위반하면서 반환했어야 하는 선거보전비용 2억7400여만원을 현재까지 반환하지 않고 있다는 지적이 나왔다. 28일 국회 정무위원회 소속 이양수 의원은 보훈부로부터 받은 권 후보자 인사청문회 자료를 바탕으로 이와 같이 밝혔다. 권 후보자는 2018년 지방선거 당시 바른미래당 소속으로 경북도지사에 출마했다가 낙선했다. 이때 권 후보자는 선거운동원으로 신고하지 않은 활동가에게 선거 후 금품을 지급해 공직선거법 위반 혐의로 재판에 넘겨져 2021년 4월 대법원에서 징역 10개월에 집행유예 2년 선고가 확정됐다. 광고 공직선거법에 따르면 당선자나 후보자가 공직선거법 또는 정치자금법 위반 등의 사유로 당선 무효형이 확정되면 보전받은 선거비용 전부를 반환 사유 발생일로부터 30일 이내 반환해야 한다. 이 의원은 “권 후보자는 2021년 5월 경북선거관리위원회로부터 2억7천여만원을 반환하라는 명령을 받았는데 현재까지 전혀 내지 않고 해당 금액 전액을 채무 금액으로 신고했다”며 “법원의 확정판결이 나왔는데도 국민 혈세를 아직 반환하지 않는 것”이라고 지적했다. 광고 광고 권 후보자는 해당 공직선거법 사건에 대해 지난해 8.15 광복절에 특별 사면됐다. 윤연정 기자 yj2gaze@hani.co.kr"
"점령군 같던 미 정부효율부, “머스크 떠나자 힘 빠졌다”",2025-06-28,박수지 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 일론 머스크가 지난 3월9일(현지시각) 미국 워싱턴 백악관에 도착한 뒤 마린 원에서 내려 백악관 남쪽 뜰을 걸으며 ‘정부효율부(DOGE)’라고 적힌 티셔츠를 선보이고 있다. 워싱턴/AFP 연합뉴스 일론 머스크 테슬라 최고경영자(CEO)가 도널드 트럼프 미국 행정부를 떠난 뒤로 그가 이끌던 기관인 정부효율부(DOGE)의 영향력이 급속도로 줄고 있다고 워싱턴포스트(WP)가 27일(현지시각) 보도했다. 워싱턴포스트가 입수한 이메일과 복수의 소식통들에 따르면, 전날 연방정부 각 기관의 당국자들은 새로운 지원금 사업을 발표하기 전 정부효율부의 최종 승인을 받아야 했던 절차를 더 이상 거치지 않아도 된다는 내용의 지침을 받았다. 지난 4월 정부효율부는 각 정부 기관들이 지원금 사업을 진행하기 전에 검토를 받도록 만들었는데, 약 2달 만에 그 절차가 다시 사라지게 된 것이다. 미국의 정부 기관들은 지원금 사업 수혜자를 공개 모집할 때 ‘grant.gov’라는 공식 누리집에 그 내용을 고지한다. 광고 지난 수년 간은 각 부처의 담당자들이 직접 이 누리집에 접속해 지원금 사업 내용을 공개했지만, 지난 4월 정부효율부는 해당 누리집 승인 절차를 변경해 모든 지원금 사업을 공개 전에 자신들이 검토할 수 있도록 만들었다. 그러나 최소 30개의 지원 사업들이 정부효율부의 검토를 기다리는 채로 진행되지 못하고 쌓여갔으며, 지난 두달 간 트럼프 행정부가 고지한 지원금 사업 수는 크게 줄었다고 이 매체는 전했다. 이로 인해 홀로코스트 생존자 지원 사업부터 알츠하이머 환자 간병인 지원, 노인 낙상 사고 방지 등 수백만달러 규모의 정부 지원금 사업이 진행되지 못한 채 지연된 것으로 전해졌다. 워싱턴포스트는 이번에 정부효율부의 검토 절차가 삭제됐으나 수개월째 지연된 지원금 사업들이 다시 구제될 수 있을지는 불분명하다고 전했다. 광고 광고 그러면서 이번 조치는 이달 초 머스크가 트럼프 행정부와 공식적으로 결별한 이후로 행정부 내에서 정부효율부의 영향력이 줄고 있다는 것을 나타내는 사례 중 하나라고 짚었다. 머스크가 떠난 직후 그와 연관된 몇몇 핵심 보좌관들도 연달아 행정부를 떠났으며, 정부효율부 관계자들도 다른 정부 상근직으로 자리를 옮긴 것으로 전해졌다. 지난 수개월간 정부효율부의 감원 및 예산 삭감 압박에 시달리던 당국자들은 머스크가 떠난 직후 해고됐던 직원들을 다시 채용하려 하는 등 정부효율부 ‘흔적 지우기’에 나서고 있다. 이후 머스크가 트럼프 대통령과 소셜미디어(SNS)를 통해 요란한 공개 설전까지 벌이면서 트럼프 행정부 안에서 정부효율부의 입지는 더욱 위축된 것으로 보인다. 광고 이와 관련한 논평 요청에 백악관은 정부효율부가 앞으로도 각 정부 기관의 지원금 사업을 계속 조율할 것이라면서 “강력한 통제는 여전히 유지되고 있으며, 각 부처에는 정부효율부 인력이 배치되어 장관실을 도와 매일 보조금 심사를 진행하고 있다”고 밝혔다. 박수지 기자 suji@hani.co.kr"
1년 280명 ‘무작위 추첨 이민’…국민 절반이 신청했다,2025-06-28,윤연정 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 하와이와 호주 중간쯤에 있는 투발루는 4개의 암초섬과 5개 환초섬으로 이뤄져 있다. 태평양에 있는 작은 섬나라의 국민 절반이 다른 이웃 나라로 이민을 가겠다고 나섰다. 기후위기로 섬이 빠르게 잠기고 있어서다. 27일(현지시각) 영국 비비시(BBC) 등에 따르면 남태평양 폴리네시아 지역에 있는 섬나라 투발루 국민 약 1만 명 가운데 4천명 넘게 호주로 이민을 가기 위한 비자를 신청했다. 세계은행에 따르면 2023년 기준 이 섬나라에는 9816명이 살고 있는데, 국민 절반 가까이가 이민을 가겠다고 신청한 셈이다. 투발루는 호주와 하와이 중간쯤 있는 나라로 4개의 암초섬과 5개 환초섬(산호섬)으로 이뤄져 있다. 총면적은 26㎢로 서울 여의도(8.4㎢) 면적의 3배 이상 되는 크기다. 광고 투발루의 평균 해발고도는 2~3m로 해수면 상승에 매우 취약하다. 지형이 매우 평평하고 산호초로 이뤄진 섬으로 세계에서 가장 심한 기후 위협에 노출되어 있는 나라 중 하나다. 이 군도의 9개 산호섬 중 2개는 이미 파도에 잠식되어 거의 사라졌다. 미 항공우주국(나사) 과학자들은 2050년이면 투발루의 대부분 육지와 중요한 기반 시설이 모두 만조 수위(바다 수위가 하루 중 가장 높아진 시점) 밑으로 떨어질 것이라고 예측했다. 이에 투발루는 호주와 2023년 ”팔레필리 연합’이라는 기후·이주·안보 연대 협정을 맺어 지난해 8월 공식 발효됐다. 이에 따라 올해부터 투발루 국민들은 기후 이주 비자 프로그램을 통해 이민 신청을 할 수 있게 됐다. 비자를 받게 되면 무기한 호주 영주권을 취득할 수 있으며 호주 국민들과 동일하게 의료보험을 받을 수 있다. 이 밖에도 보육 보조금이나 학교, 직업시설에서 공부할 수 있는 기회 등을 누릴 수 있게 된다. 광고 광고 다만, 매년 무작위 추첨으로 영주권 비자를 받을 수 있는 신청자는 280명밖에 되지 않는다. 지난 16일 신청이 시작된 이후 지금까지 1124건(4052명)의 신청서가 제출됐다. 비자 신청비는 25 호주달러(약 2만2260원)이고 다음달 18일 신청이 마감된다. 윤연정 기자 yj2gaze@hani.co.kr"
"[속보] 특검 “윤석열, 오후 조사 거부…담당자 교체 요구”",2025-06-28,김영원 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 윤석열 전 대통령이 28일 오전 내란 특검 조사를 받기 위해 서울 서초구 서울고검에 출석하고 있다. 김영원 기자 forever@hani.co.kr 내란 사건을 수사하는 조은석 특별검사팀의 조사를 받고 있는 윤석열 전 대통령이 자신을 조사하는 담당자를 바꿔달라며 조사를 거부하고 있다. 특검팀은 28일 윤 전 대통령이 자신의 특수공무집행 방해 혐의를 조사하는 담당자 교체를 요구하며 조사를 거부하고 있다고 밝혔다. 이날 조사는 특검팀에 파견된 박창환 경찰청 중대범죄수사과장(총경)이 맡았다. 이에 윤 전 대통령이 박 총경은 윤 전 대통령 체포에 관여한 인물이라며 오후 조사를 거부하고 있는 것이다. 윤 전 대통령 쪽은 고위공직자범죄수사처와 경찰이 자신을 체포한 것을 불법이라고 주장하고 있다. 광고 박지영 특검보는 이날 오후 기자들을 만나 “(윤 전 대통령이) 현재 대기실에서 조사실에 입실하지 않고 있는 상황”이라며 “조사실에서 진술을 거부할 수는 있다. 그러나 대기실에서 조사실에 입실하지 않고 잇는 것은 출석을 거부하는 것과 같다”라고 말했다. 이어 윤 전 대통령 쪽의 주장이 허위사실이라고도 밝혔다. 박 총경은 윤 전 대통령 체포 시도가 있었던 지난 1월3일 서울 한남동 관저로 출동하지도 않았으며, 같은달 15일 체포 당시 현장에 나간 것은 윤 전 대통령이 아닌 김성훈 당시 경호처 차장 등 체포를 위한 것이라는 취지다. 박 특검보는 “변호인들이 허위사실 유포하면서 수사를 방해하는 것으로 밖에 평가 못한다”라며 “이와 관련해 수사에 착수하고 변협에 통보하는 것도 내부 검토 중에 있다”라고 덧붙였다. 곽진산 기자 kjs@hani.co.kr"
‘장시간 조사→구속영장 청구’…윤석열도 ‘전직 대통령 루트’ 밟을까,2025-06-28,정환봉 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 윤석열 전 대통령이 내란 사건을 수사하는 조은석 특별검사팀의 조사를 받기 위해 28일 오전 서울고검에 도착해 차에서 내리고 있다. 공동취재사진 내란 사건을 수사하는 조은석 특별검사팀이 윤석열 전 대통령을 상대로 대면조사에 나선 가운데 조사 마무리 시간과 이후 수순에도 관심이 쏠린다. 특검팀은 28일 윤 전 대통령을 불러 지난 1월3일 고위공직자범죄수사처와 경찰의 체포영장 집행 방해 혐의(특수공무집행방해)에 대해 조사 중이다. 특검팀은 시간이 가능하다면 윤 전 대통령의 외환 혐의와 비상계엄 국무회의 경위를 등도 조사할 계획이다. 문제는 윤 전 대통령이 심야조사에 동의하느냐다. 수사기관이 저녁 9시를 넘겨 조사를 이어가기 위해서는 피의자의 동의가 필요하기 때문이다. 윤 전 대통령이 심야조사에 동의한다면, 조사는 이튿날 오전까지 이어질 수도 있다. 박지영 특검보는 이날 오전 기자들에게 “윤 전 대통령의 심야 조사 이런 것은 그때 가서 확인”할 것이라고 밝혔다. 심야 조사를 시작해야 할 무렵 확인할 것이라는 취지다. 윤 전 대통령의 조사는 이날 오전 10시14분 시작됐다. 광고 앞서 국정농단 사건으로 조사를 받은 박근혜 전 대통령은 지난 2017년 3월21일 오전 9시24분께 서울 서초동 서울중앙지검에 도착해 같은날 밤 11시40분까지 14시간 넘게 조사를 받았다. 이어 검찰이 작성한 피의자 신문조서를 7시간가량 검토한 뒤 이튿날 오전 6시55분에야 검찰청사를 나섰다. 조서 열람 시간까지 포함해 21시간 동안 조사를 받은 것이다. 당시 검찰은 박 전 대통령 조사를 마치고 5일 뒤 구속영장을 청구했다. 이명박 전 대통령 역시 뇌물과 직권남용 혐의 등으로 21시간 가까이 검찰 조사를 받은 바 있다. 당시 이 전 대통령은 자신이 실소유주라는 의혹을 받고 있던 자동차 부품업체 ‘다스’의 소송 비용을 삼성과 현대자동차 등이 대신 지급했다는 의혹 등으로 수사를 받고 있었다. 그는 2018년 3월14일 오전 9시22분께 서울중앙지검에 모습을 드러낸 뒤 이튿날 오전 6시25분께 검찰청사를 빠져나왔다. 이 전 대통령 역시 조서 열람에만 6시간이 걸렸다. 당시 검찰은 이 전 대통령 조사 4일 뒤 구속영장을 청구한 바 있다. 광고 광고 이처럼 전직 대통령을 조사한 검찰은 ‘장시간 대통령 조사→구속영장 청구’라는 수순을 밟은 바 있다. 이 때문에 윤 전 대통령 조사 이후 특검팀의 행보에도 관심이 쏠린다. 특검팀은 앞서 윤 전 대통령에게 체포영장 집행 저지 혐의를 적용해 체포영장을 청구한 바 있다. 하지만 법원은 ‘윤 전 대통령이 특검 출석 요구가 있을 경우 이에 응할 것을 밝히고 있다’라는 취지로 체포영장을 기각했다. 이날 조사가 이뤄진 만큼 특검팀이 윤 전 대통령의 체포영장을 다시 청구할 가능성은 거의 없다. 대신 윤 전 대통령 조사를 마친 만큼 구속영장을 청구할 가능성은 크다. 특검은 앞서도 김용현 전 국방부 장관, 여인형 전 국군방첩사령관, 문상호·노상원 전 정보사령관을 추가 기소하고 법원에 구속영장 발부를 요청한 바 있다. 특검팀은 1심 구속기간 만료(6개월)을 앞둔 이들이 석방 뒤 증거인멸 등을 할 것을 우려해 이같은 조처를 취한 것으로 전해졌다. 특검은 이날 조사를 마무리한 뒤 윤 전 대통령에 대한 구속영장 청구 여부도 검토할 것으로 보인다. 정환봉 기자 bonge@hani.co.kr"
"“감독 상상력 부족” vs “압도적 피날레” 오징어게임 3, 당신의 평가는?",2025-06-28,박수지 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 넷플릭스 시리즈 ‘오징어 게임’ 시즌 3 장면. 넷플릭스 제공 넷플릭스 기대작 ‘오징어 게임’의 시즌3가 27일 공개된 가운데, 외신들이 엇갈린 평가를 내놓고 있다. 미 일간 뉴욕타임스(NYT)는 이날 리뷰 기사에서 반복되는 스토리 구조를 지적했다. 뉴욕타임스는 “창작물로 두번째 또는 세번째 시즌의 가치가 있게 하려면 우리를 놀라게 할 만한 무언가가 있어야 했다”며 “대부분 시리즈에 어느 정도 공식이 있을 수 있지만, 반복되는 공식이 방금 전에 스스로 만들어낸 것일 때, 그것을 눈치채지 않기는 더 어렵다”고 했다. 뉴욕타임스는 “서부극과 전쟁 영화의 오랜 역사에서 도출된 유형의 캐릭터들은 일차원적이고 예측 가능하다”고 했다. 이어 각본과 연출을 담당한 황동혁 감독에 대해 “여전히 능숙하게 액션을 조율하지만 그의 상상력은 부족하다”고 했다. 광고 영화계 전문지인 할리우드리포터는 “한때 열광을 일으켰던 넷플릭스의 큰 히트작이 실망스러운 결말로 힘겹게 마무리됐다”는 제목으로 후기를 전했다. 그러면서 “시즌1과 달리 끝까지 암울하고 절망적일뿐”이라며 “시즌2에 등장한 새로운 인물들이 실망스러울 정도로 빈약하게 느껴졌다면, 시즌3에서는 캐릭터들을 더욱 풍성하게 만들려는 시도조차 하지 않는다. 이들 모두의 공통점은 행동력과 내면을 가진 복잡한 인간이라기보다는 체스판 위에서 밀리는 말들처럼 보인다는 것”이라고 했다. 미 연예매체 버라이어티는 “시즌3은 게임의 반복적인 구조와 새로운 캐릭터의 부재로 인해 앞의 두 시즌만큼 뇌리에 깊이 남는 웅장한 작품은 아니다”라고 평가했다. 이어 “그래도 마지막 6편의 에피소드를 가치 있게 만드는 몇몇 설득력 있는 반전은 있다”고 했다. 광고 광고 호평도 적지 않았다. 타임지는 ‘오징어 게임’ 시즌3 공개 이후 “넷플릭스가 별 의미 없이 시즌 2의 결말을 미뤘던 건 큰 타격이었다. 하지만 다행히도 감독은 다시 작품의 주도권을 쥐었고, 마지막 시즌에서 다시 본연의 잔혹한 매력을 발휘한다”고 했다. 미국 연예매체 콜라이더는 “모든 강점을 극대화하고, 그 이상을 보여주는 압도적 피날레”라고 평가했다. 블룸버그는 “우리의 인간성에 무엇이 남아있는지에 대해 질문을 던지는 시리즈”라고 평했다. 미국의 영화·티브이(TV) 시리즈 평점 사이트 로튼토마토에서는 이날 한국 시각 오후 2시 기준 일반 시청자 500명 이상이 ‘오징어 게임’ 시즌3에 점수를 매겼다. 평점은 100점 만점에 50점을 기록했다. 박수지 기자 suji@hani.co.kr"
"타이 푸껫 공항·해변서 폭발물 6개 발견, 용의자 체포",2025-06-28,윤연정 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 타이 푸껫의 길거리에 택시들이 서있는 모습. 게티이미지뱅크 세계적인 관광지인 타이 남부 푸껫과 인근 지역에서 폭발물 테러를 시도한 용의자 2명이 적발됐다. 경찰 당국은 폭발물 6개를 찾아 제거했다. 28일 타이 매체 방콕포스트 등에 따르면 타이 경찰은 최근 푸껫 인근 팡응아주에서 용의자인 무슬림 20대 남성 2명을 체포하고 이들의 차량에서 폭발물을 압수했다. 경찰은 푸껫 일대에 4개 폭발물을 설치했다는 용의자 진술을 받고 사제 폭발물로 추정되는 장치 4개를 찾아내 해체했다. 폭발물은 대부분 관광객들이 많이 방문하는 장소에 설치돼 있었다. 이들은 푸껫 국제공항 여객터미널 근처에 세워둔 오토바이에 1개, 서쪽 빠통 해변에 2개 그리고 남단 쁘롬텝 곶에 1개 등 총 4개를 설치한 것으로 나타났다. 경찰은 이 밖에도 푸껫 인근 끄라비주의 해변 2곳에서 폭발물 의심 장치 2개를 추가로 찾아내 제거했다. 광고 이들의 범행 동기는 아직 불확실하다. 다만, 무슬림 인구가 많은 나라티왓, 빠따니, 얄라 등 타이 최남단 3개 주와 송클라주 일부에서는 무슬림 세력이 분리 독립을 주장하며 총기와 폭탄을 동원한 테러를 벌여 왔다. 이번에 범행을 저지른 용의자도 송클라주의 한 마을에서 차량과 폭탄으로 추정되는 물체를 운반하는 대가로 돈을 받았다고 경찰에 진술한 것으로 알려졌다. 패통탄 친니왓 총리는 이번 사건이 해당 지역에 불안을 조성하려는 시도로 보인다며 모든 관련 당국에 최고 경계 태세를 갖추도록 지시했다. 윤연정 기자 yj2gaze@hani.co.kr"
"8조원 기부한 워런 버핏, ‘부자 순위’ 6위로 하락…기부 총액 82조원",2025-06-28,박수지 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 2007년 11월 14일 워싱턴 디시(D.C.) 캐피톨 힐에서 열린 연방 상속세 관련 상원 재무위원회 청문회에서 버크셔 해서웨이의 회장이자 CEO인 워런 버핏이 증언하고 있다. 워싱턴/AFP 연합뉴스 ‘투자의 달인’ 워런 버핏(94) 버크셔 해서웨이 회장이 약 60억달러(약 8조원) 규모의 주식을 빌 게이츠 재단과 가족이 관여하는 재단들에 기부했다. 27일(현지시각) 로이터통신에 따르면 버핏은 이날 자신이 회장으로 있는 버크셔 해서웨이 주식 1236만주를 기부했다. 버핏은 빌 게이츠가 설립한 게이츠 재단에 943만주를, 사별한 첫 부인인 수전 톰슨 버핏의 이름을 딴 재단에 94만주를 기부했고, 자녀들인 하워드·수지·피터가각각 이끄는 3개 재단에 66만주씩을 기부했다. 수전 톰슨 버핏 재단은 모성 건강 등을 지원하고 있으며, 세 자녀가 이끄는 재단은 인신매매 근절과 분쟁 종식, 유아교육, 여성과 원주민공동체 등을 위한 자선사업을 펼치고 있다. 이번 기부 규모는 버핏이 2006년부터 재산을 기부해 오기 시작한 이래 가장 큰 액수의 연간 기부로, 그의 누적 기부액은 총 600억달러(약 82조원)를 넘겼다. 버핏은 지난해에도 6월 53억달러, 11월에 11억4천만 달러를 가족 재단에 기부한 바 있다. 광고 재산 대부분을 기부하겠다고 여러 차례 밝혀온 버핏은 이번 기부 이후에도 여전히 버크셔 해서웨이 지분의 13.8%를 보유 중이다. 버크셔 해서웨이는 네브래스카주 오마하에 본사를 둔 투자·보험 지주회사로 시가총액 1조500억 달러(1443조원 상당)에 달한다. 로이터에 따르면 버핏의 순자산은 1520억 달러(약 207조원) 가량으로 포브스 집계 기준으로 세계 5위 부자였지만, 이번 기부로 6위로 순위가 한 계단 하락할 것으로 보인다. 광고 광고 버핏은 지난달 초 깜짝 은퇴를 발표해 전 세계 투자자들을 놀라게 했다. 그는 자신이 60년간 버크셔 해서웨이의 최고경영자(CEO)직을 내년 1월1일자로 후계자인 그레그 에이블 부회장에게 물려주고 경영과 투자 일선에서 물러날 예정이다. 다만 버크셔 해서웨이의 이사회 회장 직함은 계속 유지하기로 했다. 박수지 기자 suji@hani.co.kr"
"‘이란 공격시 의회 승인’ 결의안, 미 상원서 부결",2025-06-28,박수지 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 워싱턴 디시(D.C.)에 있는 미국 국회의사당. 게티이미지 도널드 트럼프 미국 대통령의 ‘이란 공격’을 의회가 견제하는 내용의 결의안이 상원에서 부결됐다. 상원은 27일(현지시각) 민주당 팀 케인(버지니아) 상원의원 등이 발의한 ‘전쟁 권한 결의안’을 찬성 47표, 반대 53표로 부결시켰다. 가결을 위해서는 찬성표가 과반이어야 한다. 미 상원은 전체 100석 가운데 공화당이 53석으로 다수 우위를 차지하고 있다. 이번 표결에서는 민주당 존 페터먼 의원과 공화당 랜드 폴 의원이 소속당의 주류 의견을 따르지 않고 반란표를 던졌다. 결의안은 현재 이란에 대한 군의 적대 행위를 중단하고, 트럼프 대통령이 이란에 추가로 전쟁을 선포하거나 군사 행동을 하기 전에는 의회의 승인을 받도록 하는 내용이다. 앞서 21일 트럼프 대통령이 의회 승인 없이 이란의 핵시설 3곳을 직접 타격하자, 정치권에서는 대통령이 대외 군사행동을 결단할 때 의회 승인이 필요한지를 두고 논란이 불거졌다. 광고 미국 헌법은 의회가 전쟁 선포 권한을 갖는다고 명시하고 있지만, 실제로는 최고사령관인 대통령이 의회 승인 없이 군사 작전을 벌인 사례가 적지 않다. 민주당 의원들은 이란이 미국에 즉각적 위협을 가하지 않고 있었다면서, 이번 공격을 실행하기 전에 트럼프 대통령이 의회의 승인을 얻었어야 한다고 주장했다. 과거 이란·아프가니스탄 등의 전쟁에 장기간 휘말렸듯이, 또다른 장기전에 연루될 위험이 크다는 취지다. 결의안을 발의했던 케인 상원의원은 표결 전 연설에서 “누군가 1명의 기분, 변덕, 그날의 느낌에 맡기기에 전쟁은 너무도 중대한 문제”라고 강조했다. 공화당 의원들은 트럼프 대통령이 미군 통수권자로서 공격을 결단할 권한이 충분하다고 맞섰다. 공화당 윌리엄 해거티 상원의원은 “국익을 지키고 동맹과 군을 수호하기 위해 미국 대통령이 결단력을 발휘할 여지를 없애는 이런 결의안은 지지할 수 없다”고 말했다. 앞서 마이크 존슨 하원의장도 이 결의안에 위헌 소지가 있다고 주장한 바 있다. 박수지 기자 suji@hani.co.kr"
윤석열 변호인단 “검사가 직접 조사하라”…‘경찰 신문’에 반발,2025-06-28,곽진산 기자,"기사를 읽어드립니다 Your browser does not support the audio element. 0 내란과 외환 등 각종 의혹의 정점에 있는 윤석열 전 대통령에 대한 첫 특검 대면조사가 28일 오전 서울고검 마련된 특검 사무실에서 열렸다. 윤 전 대통령이 특검에 출석하기 위해 차량에서 내리고 있다. 공동취재사진 내란 사건을 수사하는 조은석 특별검사팀의 윤석열 전 대통령을 상대로 한 오전 조사가 마무리됐다. 내란 특검팀은 28일 낮 12시44분 언론에 “오전 조사는 잘 진행됐다”고 밝혔다. 특검팀은 이날 오전 10시14분부터 윤 전 대통령에 대해 지난 1월 고위공직자범죄수사처와 경찰의 체포영장 집행을 대통령 경호처에 막으라는 지시한 혐의를 먼저 조사했다. 조사는 그동안 이 사건을 수사해 온 박창환 경찰청 중대범죄수사과장(총경·사법연수원 42기)이 맡았다. 박 총경은 현재 특검에 파견되어 있다. 특검팀은 “체포방해 관련 조사가 마무리되면 김정국 부장검사(사법연수원 35기), 조재철 부장검사(36기)가 비상계엄 선포 국무회의 의결 및 외환 등 관련 부분 조사를 진행할 예정”이라고 밝혔다. 광고 특검팀의 오전 조사 마무리 내용이 공지된 직후 윤 전 대통령 법률대리인단은 입장문을 통해 “(특검은) 형사소송법에 맞지 않는 체포영장 청구, 경찰에 조사를 부탁해야 할 정도의 빈약한 수사능력을 보여주고 있다”며 “그럼에도 특검은 오전 조사가 잘 진행되었다는 자화자찬의 발표를 하고 있다”고 비판했다. 대리인단은 또 윤 전 대통령의 체포영장을 집행한 경찰이 특수공무집행방해, 특수건조물침입 등 혐의로 고발됐다고 지적하면서 경찰의 수사를 배제하고 검사가 직접 신문할 것을 요구했다고 밝혔다. 곽진산 기자 kjs@hani.co.kr"
