대수,대별,대별 및 소속정당(단체),이름,이름(한자),자,호,생년월일,본관,출생지,학력 및 경력,종교 및 취미,저서,상훈,기타정보(사망일),회원정보 확인 헌정회 홈페이지 URL
20,20대의원,제17대국회의원(울산울주) 열린우리당 제18대국회의원(울산울주) 한나라당 제19대국회의원(울산울주) 새누리당 제20대국회의원(울산울주) 무소속,강길부,姜吉夫,null,null,1942년 06월 05일,진주,경남 울산,"-성균관대학교 행정학과 -서울대학교 환경대학원 환경계획 -국방대학원 안보과정 (수료) -경원대학교 도시공학 (박사) -연세대학교 최고경영자과정 (수료) -숭실대학교 최고경영자과정 (수료) -고려대학교 최고위과정 (수료) - 제15회 보통고시 합격 - 제10회 행정고등고시 합격 - 건설부 해외국 해외2과 사무관 - 주요르단대사관 건설관 - 건설부 기획관리실 법무담당관 - 건설부 건설공무원교육원 원장 - 대전지방국토관리청 청장 - 한양대학교 환경과학대학원 강사(도시계획론) - 건설교통부 건설경제심의관 - 대통령비서실 경제수석실 건설교통비서관 - 한국감정원 원장 - 한국부동산컨설팅업협회 회장 - 성균관대학교 겸임교수 - 제6대 건설교통부 차관 -성균관대학교 행정대학원 겸임교수 -경기대학교 교수 -제부동산정책학회 회장 - 제17대 국회 예산결산특별위원회, 정무위원회, 건설교통위원회 위원 - 제18대 국회 기획재정위원회, 예산결산특별위원회, 국토해양위원회 위원 - 제19대 국회 전반기 기획재정위원회 위원장",불교,"향토와 지명/정음사, 땅이름 국토사랑/집문당 ","국무총리표창, 옥조근정훈장, 홍조근정훈장 ",null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2448
20,20대의원,제20대국회의원(서울 은평구을) 더불어민주당 제21대국회의원(서울 은평구을) 더불어민주당 ,강병원,姜炳遠,null,null,1971년 07월 09일,null,null,서울대학교 농경제학과 졸업(경제학사)  1994. 서울대학교 총학생회장 2003. 제16대 대통령직 인수위원회 행정관 2003~2007. 노무현대통령 대통령비서실 청와대 행정관 2011. (주)글로원시앤티 대표이사 2016. 더불어민주당 국정감사 우수의원 2016.2017. 국회사무처 입법 및 정책개발 최우수 국회의원 ,null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3033
20,20대의원,제20대국회의원(경상남도 산청군함양군거창군합천군) 새누리당 ,강석진,姜錫振,null,null,1959년 12월 07일,null,null,연세대학교 행정대학원 석사 연세대학교 정치외교학과 영남고등학교 가조중학교 가조초등학교  미래통합당 경상남도당 위원장 자유한국당 경상남도당 위원장 자유한국당 원내부대표 제20대 국회 후반기 농림축산식품해양수산위원회 위원 제20대 국회의원 (경남 산청군함양군거창군합천군/자유한국당) 제20대 국회 전반기 예산결산특별위원회 위원 제20대 국회 전반기 보건복지위원회 위원 제20대 국회 전반기 운영위원회 위원 제20대 국회의원 (경남 산청군함양군거창군합천군/새누리당) 새누리당 원내부대표 기술신용보증기금 전무이사 기술신용보증기금 상임이사 새누리당 원내대표 비서실장 청와대 정무수석실 선임행정관 제38대 경상남도 거창군 군수 제37대 경상남도 거창군 군수 한나라당 상근부대변인 연세대학교 총동문회 상임이사 한국정책포럼 연구위원 한나라당 총재 보좌역 한나라당 대통령후보 보좌역 한나라당 건설교통전문위원 국회 농림해양수산위원회 정책연구위원 제14대 대통령직인수위원회 정무담당관 삼성데이타시스템  ,null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2959
20,20대의원,제18대국회의원(경북 영양·영덕·봉화·울진) 한나라당 제19대국회의원(경북 영양·영덕·봉화·울진) 새누리당 제20대국회의원(경상북도 영양군영덕군봉화군울진군) 새누리당,강석호,姜碩鎬,null,null,1955년 12월 03일,진주 ,경북 포항,"· 중동고등학교 (서울) · 한국외국어대학교 서반아어과 (학사) · 대구대학교 사회개발대학원 전자정보처리 (석사)  · 포항시의회 의원·부의장 · 포항태권도협회 회장 · 해병대전우회 경북연합회 회장 · 경북도의회 의원 · 학교법인 벽산학원(포항영신중,고등학교) 이사장 · 스톨베르크&삼일 대표이사 사장 · 포항중앙로타리클럽 회장 · 자민련 부대변인 · 대한산악연맹 경북도연맹 회장 · 대한사이클연맹 부회장 ·  제18대 국회 농림수산식품위원회, 예산결산특별위원회 위원, 농림수산식품위원회 간사 · 한나라당 원내부대표 · 대한산악연맹 부회장 · 세계유교문화축전 고문 · (주)삼일 부회장",불교 / 등산,null,"국무총리·노동장관표창 (노동부). 노동부장관표창,  국무총리표창 (통상산업부),  민족통일협의회장상 (민통중앙협의회), 통상산업부장관표창 (통상산업부), 국세청장표창 (국세청),   모범납세자재경부장관상표창 (국세청)  ",null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2451
20,20대의원,제17대국회의원(제주 제주·북제주갑) 열린우리당 제18대국회의원(제주갑) 민주당 제19대국회의원(제주갑) 새정치민주연합 제20대국회의원(제주특별자치도 제주시갑) 더불어민주당,강창일,姜昌一,null,null,1952년 01월 28일,진주,제주,"· 오현고등학교(제주) · 서울대학교 국사학과 (학사) · 일본 동경대학교 대학원 동양사 (석사) · 일본 동경대학교 인문사회계열연구과 (박사) · 3선개헌 반대데모를 주동하여 대통령선거법위반으로 기소 · 서울대학교 제주학우회 회장 · 유신헌법 철폐를 위한 학생운동(민청학련사건)을 주동하여 구속 투옥,10년형 언도 · 아세아문화사 편집부 부장 · 배재대학교 외국학대학 일본학과 부교수 · 제주4.3연구소 소장 · 동아시아 평화·인권 한국위원회 사무국장 겸 운영위원 · 제주4·3진상규명과 명예회복을 위한 도민연대 공동대표 · 민주개혁 국민연합 현대사연구센타 위원장 · 서울 제주도민회장학회 이사 · 재단법인 5·18 기념재단 이사 · 서울제주도민 100년사 편집위원 · 일본교과서바로잡기운동본부 운영위원장 · 독도찾기운동본부 대외협력위원장 · 한일 양국의 합의에 의한 한·일역사공동연구위원회 위원 · 민주화운동기념사업회 연구소 연구자문위원 · 교육부 한일역사공동연구위원회 위원 · 민청학련 계승사업회 편집위원장 · 제주4·3연구소 이사장 · 제주개혁포럼 발기인 · 제주사회연구소 미래 이사장 · `과거사청산을 위한 국회의원 모임` 대표 · 제17대 국회 행정자치위원회, 예산결산특별위원회 위원 · 열린우리당 제주도당 위원장 · 서울대학교 사학과 총동문회 부회장 · 대통합민주신당 정책위 부의장 · 바다와 경제 국회포럼 공동대표 · 제18대 국회 국토해양위원회, 지식경제위원회  위원, 독도영토수호대책특별위원회 위원장 · 국민과 함께하는 국회의원모임(국민모임) 대표 · 민주당 새신연대 상임집행위원장 · 제19대 국회 전반기 지식경제위원회 위원장","불교 / 바둑, 독서","명성황후시해사건(공저),  오늘에 본 친일 문제와 일본의 조선침략론(공저),  친일파 99인전3권(공저) ",null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2456
20,20대의원,제20대국회의원(비례대표 ) 새누리당 ,강효상,姜孝祥,null,null,1961년 03월 01일,null,null,"아메리칸대학교 대학원 국제법 석사 서울대학교 법학 학사 대건고등학교 대구중학교 대봉초등학교  미래통합당 원내부대표 제20대 국회 운영위원회 위원 자유한국당 원내부대표 제20대 국회 후반기 환경노동위원회 위원 자유한국당 대구시당 달서구병 당원협의회 운영위원장 제20대 국회 사법개혁특별위원회 위원 자유한국당 당대표 비서실장 제20대 국회 전반기 과학기술정보방송통신위원회 위원 자유한국당 대변인 자유한국당 방송장악저지투쟁위원회 위원장 자유한국당 사드대책특별위원회 위원 국무총리 이낙연 후보 임명동의에 관한 인사청문특별위원회 위원 제19대 대통령선거 자유한국당 중앙선거대책위원회 미디어본부장 자유한국당 정책위원회 미래특별위원회 부위원장 제20대 국회 헌법개정 특별위원회 위원 제20대 국회 전반기 미래창조과학방송통신위원회 위원 새누리당 정책위원회 미래특별위원회 부위원장 제20대 국회의원 (비례대표/새누리당) 조선일보 미래전략실장, 논설위원 한국신문방송편집인협회 운영위원장 한국신문방송편집인협회 이사 조선일보 편집국장 TV조선 보도본부장 조선비즈 대표 조선일보 편집국 부국장 한국신문협회 기조협의회 회장 조선일보 경영기획실장 법무부 변호사시험법 제정 특별분과위원회 위원 조선일보 사회부장 하버드대학교 연수 조선일보 산업부장 조선일보 경제부장 대행 조선일보 워싱턴특파원 ",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2963
20,20대의원,제20대(충남 아산시을) 더불어민주당 제21대(충남 아산시을) 더불어민주당 제22대(충남 아산시을) 더불어민주당 ,강훈식,姜勳植,null,null,1973년 10월 24일,null,null,건국대학교 경영학 학사  제20대 국회 예산결산위원회 위원 제20대 국회 국토교통위원회 위원 제20대 국회 아동.여성.인권정책포럼 연구책임위원 제20대 더불어민주당 전략기획위원장 동국대언론정보대학원 신문방송학 겸임교수 뉴욕주립대학 한국학연구소 객원연구원 건국대학교 총학생회장,null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3038
20,20대의원,제19대국회의원(충북 증평군진천군괴산군음성군) 새누리당 제20대국회의원(충청북도 증평군진천군음성군) 새누리당 ,경대수,慶大秀,null,null,1958년 03월 18일,null,null,"서울대학교 대학원 법학과 수료	  서울중앙지방검찰청 제1,2차장검사 제주지방검찰청 검사장 대검찰청 마약조직범죄부장, 검사장 경대수법률사무소 변호사 한나라당 증평, 진천, 괴산, 음성군 당원협의회 운영위원장 한나라당 충청북도당위원회 위원장 새누리당 충청북도당위원회 위원장 새누리당 중앙윤리위원회 위원장 제19대국회 예산결산특별위원회,농림축산식품해양수산위원회 위원",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2784
20,20대의원,제20대국회의원(서울 노원구갑) 더불어민주당 제21대국회의원(서울 노원구갑) 더불어민주당  ,고용진,高榕？,null,null,1964년 08월 06일,null,null,"대광고등학교 서울대학교 언론정보학 학사 서울대학교 대학원 언론정보학 석사  1990. 국회부의장 비서관 1995. 서울특별시의회 의원 2003. 노무현 대통령비서실 행정관 2004. 한국환경자원공사 기획관리 이사 2004. 한국환경자원공사 기획관리 이사 2016~ 더불어민주당 대변인, 정책위원회 부의장, 원내부대표, 제3정책조정위원장 20대 국회 상임위-미래창조과학방송통신위원회, 과학기술정보방송통신위원회,",null,2020. Before 4차 산업혁명,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2994
20,20대의원,제20대국회의원(대구광역시 달서구갑) 새누리당 ,곽대훈,郭大勳,null,null,1955년 06월 05일,null,null,1978 ~ 1983  서울대학교 행정대학원 수료 1974 ~ 1978  고려대학교 법과대학 행정학과 학사 1970 ~ 1973  경북고등학교 1967 ~ 1970  대구중학교 1962 ~ 1967  대구초등학교 1961 ~ 1962  구지초등학교  2020.03 ~  제20대 국회의원 (대구 달서구갑/무소속) 2020.02 ~ 2020.03  제20대 국회의원 (대구 달서구갑/미래통합당) 2018.09 ~ 2019.09  자유한국당 대구광역시당 위원장 2018.07 ~   제20대 국회 후반기 산업통상자원중소벤처기업위원회 위원 2017.07  제20대 국회 전반기 산업통상자원중소벤처기업위원회 위원 2017.07  자유한국당 지방자치위원장 2017.06  제20대 국회 전반기 예산결산특별위원회 위원 2017.02 ~ 2020.02  제20대 국회의원 (대구 달서구갑/자유한국당) 2016.06 ~ 2017.07  제20대 국회 전반기 산업통상자원위원회 위원 2016.05 ~ 2017.02  제20대 국회의원 (대구 달서구갑/새누리당) 2014.07 ~ 2015.12  제13대 대구광역시 달서구 구청장 2010.07 ~ 2014.06  제12대 대구광역시 달서구 구청장 2006.07 ~ 2010.06  제11대 대구광역시 달서구 구청장 2006.06  국제당수도연맹 상임고문 2006.01  대구광역시 태권도협회 달서구지부 고문 2005.09  대구광역시 달서구청장 권한대행 부구청장 2003.05  대구광역시 달서구 부구청장(이사관) 2000.12  대구광역시 서구 부구청장 1999.01  대구광역시 행정관리 국장(부이사관) 1995.08  대구광역시의회사무처 의정담당관(서기관) 1995.01  대구광역시 동구 사회산업국장(서기관) 1985.04  서울올림픽 조직위원회 경기2국 운영2과장 1978.12  제22회 행정고등고시 합격 ,null,null,1989  근정포장 1986  체육부장관 표창 ,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2933
